Date,variant,net,stop_pts
2021-07-13,adr30,357.5,7.75
2021-07-13,atr,357.5,12.5
2021-07-13,hybMax,357.5,12.5
2021-07-13,hybMax15,357.5,18.75
2021-07-13,expand,357.5,7.75
2021-07-14,adr30,95.0,8.0
2021-07-14,atr,95.0,11.0
2021-07-14,hybMax,95.0,11.0
2021-07-14,hybMax15,95.0,16.5
2021-07-14,expand,95.0,9.0
2021-08-02,adr30,1132.5,11.25
2021-08-02,atr,1132.5,14.0
2021-08-02,hybMax,1132.5,14.0
2021-08-02,hybMax15,1132.5,20.75
2021-08-02,expand,1132.5,11.25
2021-08-02,adr30,545.0,11.25
2021-08-02,atr,545.0,11.5
2021-08-02,hybMax,545.0,11.5
2021-08-02,hybMax15,545.0,17.25
2021-08-02,expand,545.0,11.25
2021-08-17,adr30,-530.0,10.25
2021-08-17,atr,-880.0,17.25
2021-08-17,hybMax,-880.0,17.25
2021-08-17,hybMax15,-780.0,25.75
2021-08-17,expand,-655.0,12.75
2021-08-20,adr30,-555.0,10.75
2021-08-20,atr,-580.0,11.25
2021-08-20,hybMax,-580.0,11.25
2021-08-20,hybMax15,-342.5,16.75
2021-08-20,expand,-555.0,10.75
2021-08-20,adr30,120.0,10.75
2021-08-20,atr,120.0,6.5
2021-08-20,hybMax,120.0,10.75
2021-08-20,hybMax15,120.0,10.75
2021-08-20,expand,120.0,11.5
2021-08-25,adr30,-80.0,9.75
2021-08-25,atr,-80.0,4.5
2021-08-25,hybMax,-80.0,9.75
2021-08-25,hybMax15,-80.0,9.75
2021-08-25,expand,-80.0,9.75
2021-08-26,adr30,-505.0,9.75
2021-08-26,atr,257.5,14.5
2021-08-26,hybMax,257.5,14.5
2021-08-26,hybMax15,257.5,21.5
2021-08-26,expand,-505.0,9.75
2021-08-26,adr30,307.5,9.75
2021-08-26,atr,307.5,8.0
2021-08-26,hybMax,307.5,9.75
2021-08-26,hybMax15,307.5,12.0
2021-08-26,expand,307.5,9.75
2021-08-27,adr30,232.5,10.0
2021-08-27,atr,232.5,10.25
2021-08-27,hybMax,232.5,10.25
2021-08-27,hybMax15,232.5,15.25
2021-08-27,expand,232.5,10.0
2021-08-27,adr30,-142.5,10.0
2021-08-27,atr,-142.5,4.0
2021-08-27,hybMax,-142.5,10.0
2021-08-27,hybMax15,-142.5,10.0
2021-08-27,expand,-142.5,10.25
2021-08-30,adr30,-205.0,10.75
2021-08-30,atr,-205.0,7.0
2021-08-30,hybMax,-205.0,10.75
2021-08-30,hybMax15,-205.0,10.75
2021-08-30,expand,-205.0,10.75
2021-08-31,adr30,195.0,10.25
2021-08-31,atr,195.0,11.75
2021-08-31,hybMax,195.0,11.75
2021-08-31,hybMax15,195.0,17.75
2021-08-31,expand,195.0,10.25
2021-09-08,adr30,-330.0,6.25
2021-09-08,atr,-805.0,15.75
2021-09-08,hybMax,-805.0,15.75
2021-09-08,hybMax15,-717.5,23.5
2021-09-08,expand,-442.5,8.5
2021-09-16,adr30,-505.0,9.75
2021-09-16,atr,-905.0,17.75
2021-09-16,hybMax,-905.0,17.75
2021-09-16,hybMax15,-1342.5,26.5
2021-09-16,expand,-655.0,12.75
2021-09-16,adr30,7.5,9.75
2021-09-16,atr,7.5,10.0
2021-09-16,hybMax,7.5,10.0
2021-09-16,hybMax15,7.5,15.0
2021-09-16,expand,7.5,12.75
2021-09-17,adr30,332.5,10.5
2021-09-17,atr,332.5,12.0
2021-09-17,hybMax,332.5,12.0
2021-09-17,hybMax15,332.5,18.25
2021-09-17,expand,332.5,13.0
2021-09-27,adr30,-367.5,15.5
2021-09-27,atr,-367.5,14.0
2021-09-27,hybMax,-367.5,15.5
2021-09-27,hybMax15,-367.5,21.0
2021-09-27,expand,-367.5,15.5
2021-10-01,adr30,1507.5,15.75
2021-10-01,atr,1507.5,18.75
2021-10-01,hybMax,1507.5,18.75
2021-10-01,hybMax15,1507.5,28.25
2021-10-01,expand,1507.5,15.75
2021-10-04,adr30,-867.5,17.0
2021-10-04,atr,-792.5,21.0
2021-10-04,hybMax,-792.5,21.0
2021-10-04,hybMax15,-792.5,31.5
2021-10-04,expand,-792.5,23.25
2021-10-05,adr30,-867.5,17.0
2021-10-05,atr,-667.5,13.0
2021-10-05,hybMax,-867.5,17.0
2021-10-05,hybMax15,-842.5,19.5
2021-10-05,expand,-892.5,17.5
2021-10-18,adr30,282.5,17.75
2021-10-18,atr,282.5,4.25
2021-10-18,hybMax,282.5,17.75
2021-10-18,hybMax15,282.5,17.75
2021-10-18,expand,282.5,17.75
2021-10-19,adr30,1007.5,16.75
2021-10-19,atr,1007.5,15.0
2021-10-19,hybMax,1007.5,16.75
2021-10-19,hybMax15,1007.5,22.25
2021-10-19,expand,1007.5,16.75
2021-10-19,adr30,782.5,16.75
2021-10-19,atr,782.5,14.0
2021-10-19,hybMax,782.5,16.75
2021-10-19,hybMax15,782.5,21.0
2021-10-19,expand,782.5,16.75
2021-10-19,adr30,357.5,16.75
2021-10-19,atr,-267.5,5.0
2021-10-19,hybMax,357.5,16.75
2021-10-19,hybMax15,357.5,16.75
2021-10-19,expand,357.5,16.75
2021-10-20,adr30,-42.5,14.75
2021-10-20,atr,-480.0,9.25
2021-10-20,hybMax,-42.5,14.75
2021-10-20,hybMax15,-42.5,14.75
2021-10-20,expand,-42.5,14.75
2021-10-22,adr30,357.5,12.0
2021-10-22,atr,357.5,13.0
2021-10-22,hybMax,357.5,13.0
2021-10-22,hybMax15,357.5,19.5
2021-10-22,expand,357.5,12.0
2021-10-22,adr30,-617.5,12.0
2021-10-22,atr,-867.5,17.0
2021-10-22,hybMax,-867.5,17.0
2021-10-22,hybMax15,-505.0,25.5
2021-10-22,expand,-617.5,12.0
2021-10-27,adr30,-505.0,9.75
2021-10-27,atr,832.5,16.25
2021-10-27,hybMax,832.5,16.25
2021-10-27,hybMax15,832.5,24.25
2021-10-27,expand,-505.0,9.75
2021-10-27,adr30,-505.0,9.75
2021-10-27,atr,-355.0,6.75
2021-10-27,hybMax,-505.0,9.75
2021-10-27,hybMax15,-530.0,10.25
2021-10-27,expand,-505.0,9.75
2021-10-28,adr30,-480.0,9.25
2021-10-28,atr,-455.0,8.75
2021-10-28,hybMax,-480.0,9.25
2021-10-28,hybMax15,107.5,13.25
2021-10-28,expand,-480.0,9.25
2021-10-29,adr30,-467.5,9.0
2021-10-29,atr,-667.5,13.0
2021-10-29,hybMax,-667.5,13.0
2021-10-29,hybMax15,-992.5,19.5
2021-10-29,expand,-467.5,9.0
2021-11-04,adr30,-505.0,9.75
2021-11-04,atr,-505.0,9.75
2021-11-04,hybMax,-505.0,9.75
2021-11-04,hybMax15,-755.0,14.75
2021-11-04,expand,-505.0,9.75
2021-11-04,adr30,-505.0,9.75
2021-11-04,atr,-567.5,11.0
2021-11-04,hybMax,-567.5,11.0
2021-11-04,hybMax15,-642.5,16.5
2021-11-04,expand,-505.0,9.75
2021-11-05,adr30,332.5,9.5
2021-11-05,atr,332.5,15.0
2021-11-05,hybMax,332.5,15.0
2021-11-05,hybMax15,332.5,22.5
2021-11-05,expand,332.5,11.25
2021-11-09,adr30,-467.5,9.0
2021-11-09,atr,-355.0,14.75
2021-11-09,hybMax,-355.0,14.75
2021-11-09,hybMax15,-355.0,22.0
2021-11-09,expand,-355.0,11.0
2021-11-15,adr30,7.5,9.5
2021-11-15,atr,7.5,11.25
2021-11-15,hybMax,7.5,11.25
2021-11-15,hybMax15,7.5,17.0
2021-11-15,expand,7.5,9.5
2021-11-16,adr30,-205.0,9.5
2021-11-16,atr,-205.0,7.75
2021-11-16,hybMax,-205.0,9.5
2021-11-16,hybMax15,-205.0,11.75
2021-11-16,expand,-205.0,9.5
2021-11-16,adr30,-492.5,9.5
2021-11-16,atr,-330.0,6.25
2021-11-16,hybMax,-492.5,9.5
2021-11-16,hybMax15,-492.5,9.5
2021-11-16,expand,-492.5,9.5
2021-11-17,adr30,-505.0,9.75
2021-11-17,atr,-542.5,10.5
2021-11-17,hybMax,-542.5,10.5
2021-11-17,hybMax15,7.5,16.0
2021-11-17,expand,-505.0,9.75
2021-11-30,adr30,-555.0,10.75
2021-11-30,atr,257.5,36.75
2021-11-30,hybMax,257.5,36.75
2021-11-30,hybMax15,257.5,55.25
2021-11-30,expand,257.5,21.0
2021-12-06,adr30,-642.5,12.5
2021-12-06,atr,1207.5,35.75
2021-12-06,hybMax,1207.5,35.75
2021-12-06,hybMax15,1207.5,53.5
2021-12-06,expand,-642.5,12.5
2021-12-06,adr30,-642.5,12.5
2021-12-06,atr,-680.0,13.25
2021-12-06,hybMax,-680.0,13.25
2021-12-06,hybMax15,-1017.5,20.0
2021-12-06,expand,-842.5,21.25
2021-12-06,adr30,-642.5,12.5
2021-12-06,atr,-667.5,13.0
2021-12-06,hybMax,-667.5,13.0
2021-12-06,hybMax15,-992.5,19.5
2021-12-06,expand,-817.5,21.75
2021-12-13,adr30,357.5,13.75
2021-12-13,atr,-492.5,9.5
2021-12-13,hybMax,357.5,13.75
2021-12-13,hybMax15,357.5,14.25
2021-12-13,expand,357.5,13.75
2021-12-15,adr30,-755.0,14.75
2021-12-15,atr,-667.5,13.0
2021-12-15,hybMax,-755.0,14.75
2021-12-15,hybMax15,-992.5,19.5
2021-12-15,expand,-755.0,14.75
2021-12-15,adr30,4245.0,14.75
2021-12-15,atr,-605.0,11.75
2021-12-15,hybMax,4245.0,14.75
2021-12-15,hybMax15,4245.0,17.5
2021-12-15,expand,4245.0,14.75
2021-12-16,adr30,2270.0,17.0
2021-12-16,atr,2270.0,23.5
2021-12-16,hybMax,2270.0,23.5
2021-12-16,hybMax15,2270.0,35.5
2021-12-16,expand,2270.0,17.0
2021-12-16,adr30,1482.5,17.0
2021-12-16,atr,1482.5,20.0
2021-12-16,hybMax,1482.5,20.0
2021-12-16,hybMax15,1482.5,30.0
2021-12-16,expand,1482.5,17.0
2021-12-27,adr30,1045.0,17.75
2021-12-27,atr,1045.0,10.0
2021-12-27,hybMax,1045.0,17.75
2021-12-27,hybMax15,1045.0,17.75
2021-12-27,expand,1045.0,17.75
2021-12-29,adr30,-17.5,18.0
2021-12-29,atr,-17.5,16.0
2021-12-29,hybMax,-17.5,18.0
2021-12-29,hybMax15,-17.5,24.0
2021-12-29,expand,-17.5,18.0
2021-12-31,adr30,145.0,15.0
2021-12-31,atr,145.0,18.0
2021-12-31,hybMax,145.0,18.0
2021-12-31,hybMax15,145.0,27.25
2021-12-31,expand,145.0,15.0
2022-01-04,adr30,882.5,12.5
2022-01-04,atr,882.5,13.5
2022-01-04,hybMax,882.5,13.5
2022-01-04,hybMax15,882.5,20.25
2022-01-04,expand,882.5,12.5
2022-01-04,adr30,-642.5,12.5
2022-01-04,atr,-630.0,12.25
2022-01-04,hybMax,-642.5,12.5
2022-01-04,hybMax15,-942.5,18.5
2022-01-04,expand,-680.0,13.25
2022-01-05,adr30,3457.5,12.25
2022-01-05,atr,3457.5,10.0
2022-01-05,hybMax,3457.5,12.25
2022-01-05,hybMax15,3457.5,15.25
2022-01-05,expand,3457.5,12.25
2022-01-20,adr30,5757.5,18.0
2022-01-20,atr,5757.5,16.5
2022-01-20,hybMax,5757.5,18.0
2022-01-20,hybMax15,5757.5,24.75
2022-01-20,expand,5757.5,18.0
2022-01-20,adr30,4907.5,18.0
2022-01-20,atr,4907.5,15.75
2022-01-20,hybMax,4907.5,18.0
2022-01-20,hybMax15,4907.5,23.5
2022-01-20,expand,4907.5,18.0
2022-01-21,adr30,2445.0,20.25
2022-01-21,atr,2445.0,32.5
2022-01-21,hybMax,2445.0,32.5
2022-01-21,hybMax15,2445.0,48.5
2022-01-21,expand,2445.0,22.25
2022-02-01,adr30,-1830.0,36.25
2022-02-01,atr,-1955.0,38.75
2022-02-01,hybMax,-1955.0,38.75
2022-02-01,hybMax15,-2792.5,58.0
2022-02-01,expand,-1830.0,36.25
2022-02-02,adr30,-905.0,37.0
2022-02-02,atr,-805.0,15.75
2022-02-02,hybMax,-905.0,37.0
2022-02-02,hybMax15,-905.0,37.0
2022-02-02,expand,-905.0,37.0
2022-02-07,adr30,-80.0,33.75
2022-02-07,atr,-1030.0,20.25
2022-02-07,hybMax,-80.0,33.75
2022-02-07,hybMax15,-80.0,33.75
2022-02-07,expand,-80.0,33.75
2022-02-16,adr30,-1042.5,20.5
2022-02-16,atr,-1030.0,20.25
2022-02-16,hybMax,-1042.5,20.5
2022-02-16,hybMax15,-1530.0,30.25
2022-02-16,expand,-1042.5,20.5
2022-02-23,adr30,-1067.5,21.0
2022-02-23,atr,-1292.5,25.5
2022-02-23,hybMax,-1292.5,25.5
2022-02-23,hybMax15,2645.0,38.25
2022-02-23,expand,-1067.5,21.0
2022-03-01,adr30,1482.5,25.75
2022-03-01,atr,1482.5,34.75
2022-03-01,hybMax,1482.5,34.75
2022-03-01,hybMax15,1482.5,52.0
2022-03-01,expand,1482.5,25.75
2022-03-01,adr30,1007.5,25.75
2022-03-01,atr,1007.5,31.5
2022-03-01,hybMax,1007.5,31.5
2022-03-01,hybMax15,1007.5,47.25
2022-03-01,expand,1007.5,25.75
2022-03-02,adr30,70.0,27.75
2022-03-02,atr,70.0,29.25
2022-03-02,hybMax,70.0,29.25
2022-03-02,hybMax15,70.0,44.0
2022-03-02,expand,70.0,27.75
2022-03-02,adr30,-805.0,27.75
2022-03-02,atr,-805.0,17.5
2022-03-02,hybMax,-805.0,27.75
2022-03-02,hybMax15,-805.0,27.75
2022-03-02,expand,-805.0,27.75
2022-03-07,adr30,2145.0,27.75
2022-03-07,atr,2145.0,27.5
2022-03-07,hybMax,2145.0,27.75
2022-03-07,hybMax15,2145.0,41.25
2022-03-07,expand,2145.0,29.5
2022-03-14,adr30,-1367.5,27.0
2022-03-14,atr,-1580.0,31.25
2022-03-14,hybMax,-1580.0,31.25
2022-03-14,hybMax15,-2367.5,47.0
2022-03-14,expand,-1367.5,27.0
2022-03-14,adr30,-1367.5,27.0
2022-03-14,atr,-1417.5,28.0
2022-03-14,hybMax,-1417.5,28.0
2022-03-14,hybMax15,-2117.5,42.0
2022-03-14,expand,-1367.5,27.0
2022-03-23,adr30,-1255.0,24.75
2022-03-23,atr,-1005.0,19.75
2022-03-23,hybMax,-1255.0,24.75
2022-03-23,hybMax15,-1505.0,29.75
2022-03-23,expand,-1255.0,24.75
2022-03-30,adr30,207.5,19.0
2022-03-30,atr,207.5,14.0
2022-03-30,hybMax,207.5,19.0
2022-03-30,hybMax15,207.5,21.25
2022-03-30,expand,207.5,19.0
2022-04-07,adr30,-855.0,16.75
2022-04-07,atr,-1080.0,21.25
2022-04-07,hybMax,-1080.0,21.25
2022-04-07,hybMax15,-1617.5,32.0
2022-04-07,expand,-855.0,16.75
2022-04-07,adr30,-855.0,16.75
2022-04-07,atr,-955.0,18.75
2022-04-07,hybMax,-955.0,18.75
2022-04-07,hybMax15,-1430.0,28.25
2022-04-07,expand,-855.0,16.75
2022-04-07,adr30,-855.0,16.75
2022-04-07,atr,-930.0,18.25
2022-04-07,hybMax,-930.0,18.25
2022-04-07,hybMax15,-1392.5,27.5
2022-04-07,expand,-855.0,16.75
2022-04-13,adr30,1557.5,18.5
2022-04-13,atr,1557.5,21.5
2022-04-13,hybMax,1557.5,21.5
2022-04-13,hybMax15,1557.5,32.25
2022-04-13,expand,1557.5,18.5
2022-04-13,adr30,907.5,18.5
2022-04-13,atr,907.5,13.5
2022-04-13,hybMax,907.5,18.5
2022-04-13,hybMax15,907.5,20.5
2022-04-13,expand,907.5,18.5
2022-04-13,adr30,295.0,18.5
2022-04-13,atr,295.0,12.75
2022-04-13,hybMax,295.0,18.5
2022-04-13,hybMax15,295.0,19.25
2022-04-13,expand,295.0,18.5
2022-04-14,adr30,1832.5,18.75
