table,a,b,c,value
ALL 2E,net,fx2p,r05,-70800.0
ALL 2E,net,fx2p,r10,-75700.0
ALL 2E,net,fx2p,r15,-88200.0
ALL 2E,net,fx2p,r20,-91800.0
ALL 2E,net,fx2p,r30,-100300.0
ALL 2E,net,fx2p,r40,-101200.0
ALL 2E,net,fx2p,f2p,-75700.0
ALL 2E,net,fx2p,f4p,-91800.0
ALL 2E,net,fx2p,f6p,-100300.0
ALL 2E,net,fx2p,eod,-122550.0
ALL 2E,net,fx3p,r05,-67700.0
ALL 2E,net,fx3p,r10,-82400.0
ALL 2E,net,fx3p,r15,-96950.0
ALL 2E,net,fx3p,r20,-108650.0
ALL 2E,net,fx3p,r30,-122300.0
ALL 2E,net,fx3p,r40,-140450.0
ALL 2E,net,fx3p,f2p,-69700.0
ALL 2E,net,fx3p,f4p,-85100.0
ALL 2E,net,fx3p,f6p,-108650.0
ALL 2E,net,fx3p,eod,-125750.0
ALL 2E,net,fx4p,r05,-67000.0
ALL 2E,net,fx4p,r10,-76300.0
ALL 2E,net,fx4p,r15,-103200.0
ALL 2E,net,fx4p,r20,-109300.0
ALL 2E,net,fx4p,r30,-152700.0
ALL 2E,net,fx4p,r40,-194700.0
ALL 2E,net,fx4p,f2p,-67000.0
ALL 2E,net,fx4p,f4p,-76300.0
ALL 2E,net,fx4p,f6p,-103200.0
ALL 2E,net,fx4p,eod,-104762.0
ALL 2E,net,sb1,r05,-85844.0
ALL 2E,net,sb1,r10,-108000.0
ALL 2E,net,sb1,r15,-141544.0
ALL 2E,net,sb1,r20,-174212.0
ALL 2E,net,sb1,r30,-282550.0
ALL 2E,net,sb1,r40,-410138.0
ALL 2E,net,sb1,f2p,-67575.0
ALL 2E,net,sb1,f4p,-88200.0
ALL 2E,net,sb1,f6p,-123500.0
ALL 2E,net,sb1,eod,-71888.0
ALL 2E,net,sb4,r05,-95556.0
ALL 2E,net,sb4,r10,-121025.0
ALL 2E,net,sb4,r15,-167762.0
ALL 2E,net,sb4,r20,-209350.0
ALL 2E,net,sb4,r30,-355250.0
ALL 2E,net,sb4,r40,-502200.0
ALL 2E,net,sb4,f2p,-71988.0
ALL 2E,net,sb4,f4p,-93362.0
ALL 2E,net,sb4,f6p,-127550.0
