entry_id,Date,dir,regime,hour,fx4p_t8p,fx4p_eod,sb1_t8p,sb1_eod,er10,adx14,sb_ibs_o,sb_dirok,sb_rngx,ema_side_ok,warm
2021-06-18_14L2,2021-06-18,L,BEAR,09,-205.0,-205.0,-442.5,-442.5,0.05,,0.945945945945946,True,1.0277777777777777,False,True
2021-06-18_57S2,2021-06-18,S,BULL,13,395.0,1082.5,395.0,1082.5,0.043,18.0,0.5454545454545454,False,0.6790123456790124,True,True
2021-06-21_26L2,2021-06-21,L,BULL,10,395.0,657.5,-117.5,-117.5,0.279,,0.1818181818181818,False,0.7913669064748201,True,True
2021-06-21_37L2,2021-06-21,L,BULL,11,395.0,657.5,-105.0,-105.0,0.209,65.2,0.8,True,1.1111111111111112,True,True
2021-06-21_62L2,2021-06-21,L,BULL,13,-205.0,382.5,-105.0,-105.0,0.655,38.9,0.5,False,1.1904761904761905,True,True
2021-06-22_10L2,2021-06-22,L,NEUTRAL,09,395.0,1107.5,395.0,1107.5,,,0.8333333333333334,True,0.5806451612903225,True,False
2021-06-22_31L2,2021-06-22,L,BULL,12,395.0,482.5,395.0,482.5,0.22,43.5,0.2222222222222222,False,0.8910891089108911,True,True
2021-06-22_66L2,2021-06-22,L,BULL,15,-205.0,120.0,-155.0,120.0,0.472,24.4,0.9285714285714286,True,1.4,True,True
2021-06-23_11S2,2021-06-23,S,NEUTRAL,09,395.0,520.0,395.0,520.0,0.108,,0.3,False,0.591715976331361,False,False
2021-06-23_57L2,2021-06-23,L,NEUTRAL,13,-205.0,-205.0,-67.5,-67.5,0.111,14.0,0.7142857142857143,True,1.1111111111111112,True,True
2021-06-24_8L2,2021-06-24,L,NEUTRAL,09,-205.0,-205.0,-155.0,-155.0,,,0.7857142857142857,True,0.98,True,False
2021-06-24_19L2,2021-06-24,L,BULL,10,-205.0,-205.0,-67.5,-67.5,0.143,,0.1428571428571428,False,0.7608695652173914,True,True
2021-06-24_30S2,2021-06-24,S,NEUTRAL,11,-205.0,-205.0,-105.0,-105.0,0.471,12.9,0.9,True,1.1904761904761905,True,True
2021-06-24_52S2,2021-06-24,S,NEUTRAL,12,-205.0,-205.0,-42.5,-42.5,0.333,13.0,0.8,True,0.5882352941176471,True,True
2021-06-24_63S2,2021-06-24,S,BULL,13,-205.0,95.0,-30.0,95.0,0.895,15.4,0.25,False,0.5970149253731343,False,True
2021-06-25_23L2,2021-06-25,L,BULL,10,395.0,245.0,-42.5,-42.5,0.111,,0.6,False,0.7575757575757576,True,True
2021-06-25_77L2,2021-06-25,L,BULL,14,-205.0,20.0,-67.5,-67.5,0.053,30.0,0.1428571428571428,False,0.8333333333333333,True,True
2021-06-28_13L2,2021-06-28,L,BULL,09,-205.0,-205.0,-55.0,-55.0,0.184,,0.6666666666666666,True,0.4195804195804196,True,True
2021-06-28_37S2,2021-06-28,S,BEAR,11,-205.0,-205.0,-92.5,-92.5,0.059,14.9,0.6666666666666667,True,1.5517241379310345,True,True
