Date,yr,dir,regime,with_trend,adr,entry_px,mae_pts,eod_move,mfe_bstop,stopped,fill_hour,gap
2010-06-21,2010,L,BEAR,False,17.52,1777.75,19.0,-11.75,1.0,True,09,0.92
2010-06-22,2010,L,NEUTRAL,False,17.57,1764.5,19.5,-18.75,1.75,True,11,0.042
2010-06-23,2010,S,BEAR,True,17.88,1741.0,10.25,-1.5,3.0,True,09,0.086
2010-06-24,2010,S,BULL,False,16.77,1729.0,8.25,3.25,1.5,True,10,0.258
2010-06-25,2010,L,BEAR,False,16.9,1719.5,0.25,10.75,15.5,False,10,0.145
2010-06-25,2010,L,BULL,True,16.9,1732.0,6.0,-1.75,2.5,True,13,0.145
2010-06-28,2010,S,BULL,False,16.95,1727.75,6.25,1.75,0.0,True,09,0.043
2010-06-28,2010,S,BULL,False,16.95,1730.25,1.75,4.25,5.0,False,13,0.043
2010-06-28,2010,S,NEUTRAL,False,16.95,1730.75,1.25,4.75,5.5,False,13,0.043
2010-06-29,2010,L,BEAR,False,16.4,1696.0,10.25,-5.5,6.75,True,09,0.869
2010-06-29,2010,L,NEUTRAL,False,16.4,1695.75,10.0,-5.25,3.75,True,12,0.869
2010-06-30,2010,S,BEAR,True,16.93,1695.5,3.75,15.5,17.0,False,09,0.059
2010-07-01,2010,L,NEUTRAL,False,17.77,1674.5,3.25,3.0,7.25,False,12,0.104
2010-07-01,2010,L,BULL,True,17.77,1677.5,6.25,0.0,1.75,True,13,0.104
2010-07-02,2010,L,BEAR,False,18.85,1675.25,9.0,-5.5,0.25,True,10,0.238
2010-07-06,2010,L,BULL,True,17.77,1690.0,21.0,-10.5,1.25,True,09,1.154
2010-07-07,2010,S,BULL,False,17.77,1692.75,22.5,-22.0,1.5,True,09,0.104
2010-07-08,2010,L,BEAR,False,19.73,1713.25,3.75,9.25,10.75,False,10,0.306
2010-07-09,2010,S,BULL,False,19.45,1725.75,4.75,-2.0,4.75,False,09,0.044
2010-07-12,2010,S,BEAR,True,18.85,1726.25,6.5,-5.5,0.5,True,11,0.072
2010-07-14,2010,L,BULL,True,17.35,1748.5,9.5,-2.0,0.25,True,11,0.1
2010-07-15,2010,S,BEAR,True,16.48,1738.5,12.5,-7.25,3.75,True,10,0.014
2010-07-16,2010,S,NEUTRAL,False,16.02,1730.5,1.0,11.75,16.0,False,09,0.258
2010-07-19,2010,L,NEUTRAL,False,16.95,1717.75,2.0,1.75,8.75,False,11,0.116
2010-07-20,2010,L,BULL,True,18.05,1715.25,0.75,20.75,21.0,False,09,0.625
2010-07-20,2010,L,BEAR,False,18.05,1717.0,1.75,19.0,19.25,False,10,0.625
2010-07-20,2010,L,BULL,True,18.05,1727.5,0.75,8.5,8.75,False,13,0.625
2010-07-21,2010,S,BEAR,True,18.32,1733.75,3.25,14.5,17.25,False,10,0.259
2010-07-22,2010,L,NEUTRAL,False,17.27,1744.25,3.25,-0.25,5.75,False,09,0.843
2010-07-22,2010,L,BULL,True,17.27,1746.0,5.0,-2.0,4.0,False,10,0.843
2010-07-23,2010,L,BULL,True,17.48,1752.75,3.75,3.75,4.25,False,13,0.072
2010-07-26,2010,S,NEUTRAL,False,18.15,1764.0,3.25,-1.0,4.0,False,12,0.014
2010-07-27,2010,S,BEAR,True,18.48,1766.5,2.0,-0.25,4.0,False,11,0.411
2010-07-28,2010,L,NEUTRAL,False,18.48,1760.75,6.0,-2.75,2.75,True,13,0.184
2010-07-29,2010,S,BEAR,True,18.5,1749.0,11.0,-3.25,0.25,True,11,0.427
2010-07-30,2010,L,BULL,True,19.0,1750.75,5.0,5.0,8.25,False,10,0.585
2010-08-02,2010,S,BULL,False,18.15,1776.25,3.5,-0.75,1.25,False,13,0.812
2010-08-03,2010,S,NEUTRAL,False,18.15,1774.5,1.0,0.75,4.5,False,13,0.098
2010-08-04,2010,L,BULL,True,16.32,1777.25,2.5,3.0,4.25,False,12,0.113
2010-08-05,2010,L,NEUTRAL,False,14.85,1775.25,3.25,4.0,4.25,False,09,0.421
2010-08-05,2010,S,BEAR,True,14.85,1775.75,3.75,-3.5,2.5,False,10,0.421
2010-08-06,2010,S,BULL,False,14.05,1764.5,11.0,-10.75,3.25,True,10,0.646
2010-08-09,2010,S,NEUTRAL,False,13.97,1777.0,5.25,-4.25,0.25,True,09,0.225
2010-08-11,2010,L,BEAR,False,13.9,1750.25,10.25,-10.0,1.25,True,09,1.028
2010-08-12,2010,S,BULL,False,14.38,1735.25,5.0,0.5,0.5,True,09,0.776
2010-08-13,2010,L,BULL,True,13.38,1736.5,5.5,-5.25,1.0,True,13,0.115
2010-08-16,2010,S,BULL,False,12.35,1733.5,2.75,0.75,5.25,False,09,0.318
2010-08-18,2010,L,NEUTRAL,False,12.97,1740.5,0.25,1.0,13.5,False,09,0.057
2010-08-18,2010,L,BULL,True,12.97,1751.5,10.0,-10.0,1.25,True,13,0.057
2010-08-19,2010,S,BEAR,True,13.47,1731.25,2.25,4.75,7.25,False,10,0.029
2010-08-19,2010,S,BEAR,True,13.47,1726.5,7.0,0.0,1.75,True,11,0.029
2010-08-20,2010,S,BEAR,True,14.72,1720.75,6.25,-5.75,0.75,True,11,0.043
2010-08-23,2010,S,BEAR,True,14.03,1726.25,3.25,5.25,6.5,False,11,0.217
2010-08-24,2010,L,BEAR,False,14.75,1708.75,4.25,-3.5,4.0,False,11,0.683
2010-08-24,2010,S,BULL,False,14.75,1709.0,3.75,3.75,4.5,False,13,0.683
2010-08-25,2010,S,NEUTRAL,False,14.55,1698.75,14.5,-12.0,3.75,True,09,0.337
2010-08-26,2010,S,NEUTRAL,False,14.93,1709.0,1.0,8.75,10.5,False,10,0.205
2010-08-27,2010,L,NEUTRAL,False,15.22,1711.5,1.75,8.0,8.5,False,11,0.5
2010-08-27,2010,S,NEUTRAL,False,15.22,1711.25,8.75,-8.25,0.25,True,12,0.5
2010-08-30,2010,S,BEAR,True,17.07,1712.75,1.75,12.5,12.75,False,11,0.218
2010-08-30,2010,S,BEAR,True,17.07,1711.0,0.75,10.75,11.0,False,13,0.218
2010-08-31,2010,S,BEAR,True,17.52,1707.25,1.25,-0.75,9.25,False,13,0.074
2010-09-01,2010,S,BULL,False,17.5,1733.5,4.5,-4.0,3.0,False,10,0.527
2010-09-02,2010,L,NEUTRAL,False,18.18,1739.0,2.0,6.5,7.0,False,10,0.014
2010-09-03,2010,L,BULL,True,17.2,1757.0,2.5,1.75,3.0,False,13,0.559
2010-09-08,2010,S,BULL,False,15.5,1755.25,3.25,0.5,4.5,False,09,0.086
2010-09-08,2010,L,BULL,True,15.5,1755.25,4.5,-0.5,2.0,False,12,0.086
2010-09-09,2010,L,BEAR,False,14.5,1761.5,5.5,-3.25,3.25,True,09,0.655
2010-09-09,2010,S,NEUTRAL,False,14.5,1758.25,4.25,0.0,0.25,True,13,0.655
2010-09-10,2010,L,BULL,True,13.88,1762.5,2.75,2.5,3.5,False,10,0.171
2010-09-13,2010,S,BEAR,True,11.9,1768.75,4.5,-2.5,2.25,True,12,0.297
2010-09-14,2010,S,BEAR,True,10.82,1773.5,3.25,2.75,0.0,True,13,0.099
2010-09-15,2010,S,NEUTRAL,False,10.55,1771.5,5.0,-4.5,3.0,True,09,0.184
2010-09-17,2010,S,NEUTRAL,False,9.65,1776.5,1.25,2.0,3.25,False,11,0.197
2010-09-17,2010,S,NEUTRAL,False,9.65,1776.25,1.5,1.75,2.75,False,13,0.197
2010-09-22,2010,S,BEAR,True,11.6,1785.25,2.5,0.25,3.75,False,11,0.07
2010-09-23,2010,L,BULL,True,11.85,1783.75,11.5,-8.25,1.0,True,11,0.532
2010-09-24,2010,S,BULL,False,12.25,1795.5,4.0,-2.5,0.75,True,09,0.704
2010-09-28,2010,L,BULL,True,12.78,1793.75,2.25,3.0,7.25,False,12,0.112
2010-09-29,2010,S,BEAR,True,13.43,1793.25,6.25,-2.75,0.5,True,10,0.125
2010-09-29,2010,L,BULL,True,13.43,1796.5,5.5,-0.5,3.0,True,12,0.125
2010-09-30,2010,L,NEUTRAL,False,13.07,1792.0,2.0,-1.75,4.75,False,13,0.264
2010-10-01,2010,L,NEUTRAL,False,14.18,1796.25,6.75,1.0,0.25,True,09,0.545
2010-10-04,2010,S,BEAR,True,14.4,1785.25,4.75,-4.25,2.75,True,11,0.181
2010-10-05,2010,L,BULL,True,14.2,1804.75,0.25,5.25,9.0,False,10,0.489
2010-10-06,2010,S,NEUTRAL,False,14.5,1811.75,1.25,0.75,5.75,False,09,0.028
2010-10-06,2010,S,BEAR,True,14.5,1810.75,2.25,-0.25,4.75,False,10,0.028
2010-10-07,2010,S,BEAR,True,13.95,1808.25,4.0,-3.5,1.0,False,13,0.235
2010-10-08,2010,L,BULL,True,13.8,1810.5,4.0,5.0,8.5,False,09,0.041
2010-10-08,2010,S,BULL,False,13.8,1812.75,6.25,-2.75,0.5,True,10,0.041
2010-10-08,2010,L,NEUTRAL,False,13.8,1813.25,0.75,2.25,5.75,False,13,0.041
2010-10-11,2010,S,NEUTRAL,False,13.78,1817.0,2.25,-0.5,4.25,False,10,0.124
2010-10-12,2010,S,NEUTRAL,False,13.68,1812.25,11.75,-7.25,-1.0,True,09,0.234
2010-10-14,2010,L,BEAR,False,13.8,1822.75,5.25,5.5,1.25,True,11,0.068
2010-10-15,2010,L,NEUTRAL,False,12.88,1824.5,2.5,5.5,6.0,False,12,0.273
2010-10-18,2010,L,BULL,True,13.28,1830.25,1.75,3.5,7.0,False,10,0.123
2010-10-19,2010,S,BULL,False,12.75,1826.5,2.25,7.5,16.0,False,09,0.627
2010-10-19,2010,L,NEUTRAL,False,12.75,1826.75,16.25,-7.75,0.5,True,11,0.627
2010-10-20,2010,L,BULL,True,12.9,1831.75,3.5,-1.75,3.25,False,12,0.041
2010-10-21,2010,L,BULL,True,13.72,1839.5,17.25,-8.75,-0.5,True,10,0.232
2010-10-21,2010,S,NEUTRAL,False,13.72,1834.5,0.5,3.75,12.25,False,11,0.232
2010-10-21,2010,S,BEAR,True,13.72,1827.5,5.0,-3.25,0.25,True,13,0.232
2010-10-25,2010,S,BULL,False,13.62,1846.0,0.25,7.75,9.75,False,09,0.3
2010-10-25,2010,S,NEUTRAL,False,13.62,1842.0,1.25,3.75,5.75,False,10,0.3
2010-10-25,2010,S,BEAR,True,13.62,1842.75,0.5,4.5,6.5,False,10,0.3
2010-10-25,2010,S,BEAR,True,13.62,1839.75,3.5,1.5,3.5,False,12,0.3
2010-10-26,2010,L,BULL,True,14.07,1836.0,3.25,2.25,2.75,False,11,0.367
2010-10-26,2010,L,NEUTRAL,False,14.07,1834.0,1.25,4.25,4.75,False,13,0.367
2010-10-27,2010,S,BULL,False,13.32,1831.25,4.25,-2.75,8.5,True,09,0.49
2010-10-27,2010,S,BEAR,True,13.32,1827.75,7.75,-6.25,5.0,True,10,0.49
2010-10-28,2010,S,NEUTRAL,False,13.43,1833.75,3.5,-0.25,5.25,False,10,0.368
2010-10-28,2010,S,BEAR,True,13.43,1831.0,6.25,-3.0,0.0,True,12,0.368
2010-10-29,2010,S,NEUTRAL,False,13.43,1836.0,1.5,0.5,5.25,False,10,0.041
2010-11-01,2010,L,BULL,True,12.5,1844.5,15.75,-6.5,1.75,True,09,0.313
2010-11-03,2010,S,BEAR,True,12.12,1842.5,10.5,-10.25,5.0,True,12,0.041
2010-11-05,2010,S,NEUTRAL,False,11.7,1875.0,4.5,-2.25,0.0,True,09,0.0
2010-11-08,2010,S,BULL,False,11.85,1875.0,2.0,0.0,1.75,False,11,0.186
2010-11-09,2010,S,BEAR,True,11.4,1873.25,1.25,7.5,12.0,False,12,0.173
2010-11-10,2010,S,BULL,False,12.28,1862.0,10.0,-7.0,2.75,True,10,0.013
2010-11-12,2010,L,NEUTRAL,False,12.35,1860.5,14.0,-10.75,0.5,True,09,0.389
2010-11-16,2010,L,BEAR,False,12.6,1837.0,11.0,-7.0,0.75,True,09,0.419
2010-11-17,2010,S,NEUTRAL,False,13.78,1835.75,0.75,3.0,7.0,False,10,0.109
2010-11-18,2010,L,BULL,True,12.78,1851.5,3.0,1.5,2.5,False,10,0.587
2010-11-22,2010,S,NEUTRAL,False,13.1,1846.25,7.25,-6.0,8.75,True,10,0.324
2010-11-22,2010,S,BEAR,True,13.1,1846.5,7.0,-5.75,9.0,True,10,0.324
2010-11-22,2010,S,BEAR,True,13.1,1841.5,12.0,-10.75,0.0,True,12,0.324
2010-11-23,2010,L,BULL,True,13.97,1834.5,4.75,-1.75,3.5,True,09,0.783
2010-11-26,2010,L,NEUTRAL,False,12.18,1843.5,5.5,-5.25,1.75,True,10,0.728
2010-12-02,2010,L,BULL,True,11.9,1872.25,0.5,5.75,6.0,False,11,0.121
2010-12-03,2010,S,BEAR,True,12.55,1873.0,7.5,-5.75,1.75,True,09,0.346
2010-12-03,2010,S,NEUTRAL,False,12.55,1873.5,7.0,-5.25,1.0,True,11,0.346
2010-12-07,2010,L,BEAR,False,11.18,1885.25,8.25,-7.75,1.0,True,09,0.639
