Date,src,book,net
2021-07-13,REAL,WT-S,357.5
2021-07-13,PROXY,WT-S,357.5
2021-07-14,REAL,WT-S,95.0
2021-07-14,PROXY,WT-S,95.0
2021-08-02,REAL,WT-S,1132.5
2021-08-02,REAL,WT-S,545.0
2021-08-02,PROXY,WT-S,1132.5
2021-08-02,PROXY,WT-S,545.0
2021-08-17,REAL,WT-S,-530.0
2021-08-17,PROXY,WT-S,-530.0
2021-08-20,REAL,WT-S,-555.0
2021-08-20,REAL,WT-L,120.0
2021-08-20,PROXY,WT-S,-555.0
2021-08-20,PROXY,WT-L,120.0
2021-08-25,REAL,WT-L,-80.0
2021-08-25,PROXY,WT-L,-80.0
2021-08-26,REAL,WT-S,-505.0
2021-08-26,REAL,WT-S,307.5
2021-08-26,PROXY,WT-S,-505.0
2021-08-26,PROXY,WT-S,307.5
2021-08-27,REAL,WT-L,232.5
2021-08-27,REAL,WT-L,-142.5
2021-08-27,PROXY,WT-L,232.5
2021-08-27,PROXY,WT-L,-142.5
2021-08-30,REAL,WT-L,-205.0
2021-08-30,PROXY,WT-L,-205.0
2021-08-31,REAL,WT-L,195.0
2021-08-31,PROXY,WT-L,195.0
2021-09-08,REAL,WT-S,-330.0
2021-09-08,PROXY,WT-S,-330.0
2021-09-16,REAL,WT-S,-505.0
2021-09-16,REAL,WT-L,7.5
2021-09-16,PROXY,WT-S,-505.0
2021-09-16,PROXY,WT-L,7.5
2021-09-17,REAL,WT-S,332.5
2021-09-17,PROXY,WT-S,332.5
2021-09-27,REAL,WT-L,-367.5
2021-09-27,PROXY,WT-L,-367.5
2021-09-29,PROXY,WT-L,-780.0
2021-10-01,REAL,WT-L,1507.5
2021-10-01,PROXY,WT-L,1507.5
2021-10-04,REAL,WT-S,-867.5
2021-10-04,PROXY,WT-S,-867.5
2021-10-05,REAL,WT-L,-867.5
2021-10-05,PROXY,WT-L,-867.5
2021-10-12,PROXY,WT-S,-930.0
2021-10-15,PROXY,WT-L,257.5
2021-10-18,REAL,WT-L,282.5
2021-10-18,PROXY,WT-L,282.5
2021-10-19,REAL,WT-L,1007.5
2021-10-19,REAL,WT-L,782.5
2021-10-19,REAL,WT-L,357.5
2021-10-19,PROXY,WT-L,1007.5
2021-10-19,PROXY,WT-L,782.5
2021-10-19,PROXY,WT-L,357.5
2021-10-20,REAL,WT-L,-42.5
2021-10-20,PROXY,WT-L,-42.5
2021-10-22,REAL,WT-S,357.5
2021-10-22,REAL,WT-S,-617.5
2021-10-22,PROXY,WT-S,357.5
2021-10-22,PROXY,WT-S,-617.5
2021-10-27,REAL,WT-S,-505.0
2021-10-27,REAL,WT-L,-505.0
2021-10-27,PROXY,WT-S,-505.0
2021-10-27,PROXY,WT-L,-505.0
2021-10-28,REAL,WT-L,-480.0
2021-10-28,PROXY,WT-L,-480.0
2021-10-29,REAL,WT-S,-467.5
2021-10-29,PROXY,WT-S,-467.5
2021-11-04,REAL,WT-L,-505.0
2021-11-04,REAL,WT-S,-505.0
2021-11-04,PROXY,WT-L,-505.0
2021-11-04,PROXY,WT-S,-505.0
2021-11-05,REAL,WT-S,332.5
2021-11-05,PROXY,WT-S,332.5
2021-11-09,REAL,WT-S,-467.5
2021-11-09,PROXY,WT-S,-467.5
2021-11-15,REAL,WT-S,7.5
2021-11-15,PROXY,WT-S,7.5
2021-11-16,REAL,WT-L,-205.0
2021-11-16,REAL,WT-L,-492.5
2021-11-16,PROXY,WT-L,-205.0
2021-11-16,PROXY,WT-L,-492.5
2021-11-17,REAL,WT-S,-505.0
2021-11-17,PROXY,WT-S,-505.0
2021-11-30,REAL,WT-S,-555.0
2021-11-30,PROXY,WT-S,-555.0
2021-12-06,REAL,WT-L,-642.5
2021-12-06,REAL,WT-L,-642.5
2021-12-06,REAL,WT-L,-642.5
2021-12-06,PROXY,WT-L,-642.5
2021-12-06,PROXY,WT-L,-642.5
2021-12-06,PROXY,WT-L,-642.5
2021-12-13,REAL,WT-S,357.5
2021-12-13,PROXY,WT-S,357.5
2021-12-15,REAL,WT-S,-755.0
2021-12-15,REAL,WT-L,4245.0
2021-12-15,PROXY,WT-L,4345.0
2021-12-15,PROXY,WT-S,-755.0
2021-12-15,PROXY,WT-L,4245.0
2021-12-16,REAL,WT-S,2270.0
2021-12-16,REAL,WT-S,1482.5
2021-12-16,PROXY,WT-S,2270.0
2021-12-16,PROXY,WT-S,1482.5
2021-12-27,REAL,WT-L,1045.0
2021-12-27,PROXY,WT-L,1045.0
2021-12-29,REAL,WT-S,-17.5
2021-12-29,PROXY,WT-S,-17.5
2021-12-31,REAL,WT-S,145.0
