Date,sleeve,dir,net,cr0,ps0,hvl0,gw0,cr,ps,hvl,d1_min,d1_max,o,c,hi,lo,rw0,d1w,dh0,qb,qc,outside
2024-07-01,WT,S,-592.5,5530.0,5500.0,5525.0,5530.0,5600.0,5400.0,5525.0,5495.87,5568.13,5999.5,5994.5,6002.0,5967.0,30.0,72.26000000000022,474.5,Q4 far,Q1 narrow,True
2024-07-01,WT,S,-592.5,5530.0,5500.0,5525.0,5530.0,5600.0,5400.0,5525.0,5495.87,5568.13,5999.5,5994.5,6002.0,5967.0,30.0,72.26000000000022,474.5,Q4 far,Q1 narrow,True
2024-07-01,FADE,S,-217.5,5530.0,5500.0,5525.0,5530.0,5600.0,5400.0,5525.0,5495.87,5568.13,5999.5,5994.5,6002.0,5967.0,30.0,72.26000000000022,474.5,Q4 far,Q1 narrow,True
2024-07-03,WT,L,745.0,5600.0,5500.0,5550.0,5600.0,5600.0,5400.0,5545.0,5555.54,5627.46,6026.75,6053.5,6058.25,6026.25,100.0,71.92000000000007,476.75,Q4 far,Q3,True
2024-07-05,WT,L,157.5,5630.0,5490.0,5520.0,5630.0,5650.0,5400.0,5495.0,5578.54,5651.46,6054.75,6081.75,6088.5,6048.0,140.0,72.92000000000007,534.75,Q4 far,Q4 wide,True
2024-07-08,WT,S,20.0,5630.0,5610.0,5615.0,5630.0,5650.0,5400.0,5565.0,5592.05,5664.95,6091.5,6090.25,6100.0,6077.75,20.0,72.89999999999964,476.5,Q4 far,Q1 narrow,True
2024-07-08,WT,S,-142.5,5630.0,5610.0,5615.0,5630.0,5650.0,5400.0,5565.0,5592.05,5664.95,6091.5,6090.25,6100.0,6077.75,20.0,72.89999999999964,476.5,Q4 far,Q1 narrow,True
2024-07-08,WT,S,-255.0,5630.0,5610.0,5615.0,5630.0,5650.0,5400.0,5565.0,5592.05,5664.95,6091.5,6090.25,6100.0,6077.75,20.0,72.89999999999964,476.5,Q4 far,Q1 narrow,True
2024-07-10,WT,L,870.0,5725.0,5700.0,5700.0,5725.0,5750.0,5650.0,5650.0,5647.29,5721.71,6105.75,6146.5,6153.0,6102.75,25.0,74.42000000000007,405.75,Q4 far,Q1 narrow,True
2024-07-10,WT,L,695.0,5725.0,5700.0,5700.0,5725.0,5750.0,5650.0,5650.0,5647.29,5721.71,6105.75,6146.5,6153.0,6102.75,25.0,74.42000000000007,405.75,Q4 far,Q1 narrow,True
2024-07-15,WT,S,-605.0,5700.0,5650.0,5685.0,5700.0,5700.0,5600.0,5625.0,5649.8,5726.7,6153.0,6147.75,6181.25,6128.5,50.0,76.89999999999964,468.0,Q4 far,Q1 narrow,True
2024-07-16,WT,S,-630.0,5710.0,5675.0,5690.0,5710.0,5710.0,5600.0,5625.0,5676.94,5754.06,6160.75,6177.5,6183.75,6152.75,35.0,77.1200000000008,470.75,Q4 far,Q1 narrow,True
2024-07-19,WT,S,1232.5,5650.0,5550.0,5645.0,5650.0,5700.0,5550.0,5635.0,5507.71,5597.79,6049.75,6010.75,6067.25,6004.5,100.0,90.07999999999993,404.75,Q4 far,Q3,True
2024-07-19,WT,S,307.5,5650.0,5550.0,5645.0,5650.0,5700.0,5550.0,5635.0,5507.71,5597.79,6049.75,6010.75,6067.25,6004.5,100.0,90.07999999999993,404.75,Q4 far,Q3,True
2024-07-25,WT,L,-892.5,5600.0,5400.0,5500.0,5600.0,5700.0,5400.0,5540.0,5394.13,5495.37,5934.25,5907.0,5995.75,5895.0,200.0,101.23999999999978,434.25,Q4 far,Q4 wide,True
2024-07-25,WT,S,2007.5,5600.0,5400.0,5500.0,5600.0,5700.0,5400.0,5540.0,5394.13,5495.37,5934.25,5907.0,5995.75,5895.0,200.0,101.23999999999978,434.25,Q4 far,Q4 wide,True
2024-07-30,WT,S,3045.0,5500.0,5400.0,5455.0,5500.0,5500.0,5400.0,5495.0,5401.76,5502.24,5978.75,5906.5,5990.0,5895.5,100.0,100.47999999999956,523.75,Q4 far,Q3,True
