Date,sleeve,dir,net
2021-07-02,FADE,L,720.0
2021-07-13,FADE,L,-217.5
2021-07-13,WT,S,357.5
2021-07-14,WT,S,95.0
2021-07-15,FADE,S,-217.5
2021-08-02,WT,S,1132.5
2021-08-02,WT,S,545.0
2021-08-10,FADE,L,-55.0
2021-08-16,FADE,L,670.0
2021-08-17,WT,S,-530.0
2021-08-20,WT,S,-555.0
2021-08-20,WT,L,120.0
2021-08-25,FADE,L,-217.5
2021-08-25,WT,L,-80.0
2021-08-26,WT,S,-505.0
2021-08-26,WT,S,307.5
2021-08-27,WT,L,232.5
2021-08-27,WT,L,-142.5
2021-08-30,WT,L,-205.0
2021-08-31,WT,L,195.0
2021-08-31,FADE,L,-217.5
2021-09-08,WT,S,-330.0
2021-09-10,FADE,S,-217.5
2021-09-10,FADE,S,1257.5
2021-09-14,FADE,S,-217.5
2021-09-15,FADE,S,-217.5
2021-09-16,WT,S,-505.0
2021-09-16,WT,L,7.5
2021-09-17,WT,S,332.5
2021-09-27,WT,L,-367.5
2021-09-29,FADE,S,-217.5
2021-09-29,FADE,L,-217.5
2021-10-01,FADE,S,-217.5
2021-10-01,WT,L,1507.5
2021-10-04,WT,S,-867.5
2021-10-05,WT,L,-867.5
2021-10-12,FADE,L,-217.5
2021-10-13,FADE,L,-217.5
2021-10-18,WT,L,282.5
2021-10-19,WT,L,1007.5
2021-10-19,WT,L,782.5
2021-10-19,WT,L,357.5
2021-10-20,WT,L,-42.5
2021-10-22,WT,S,357.5
2021-10-22,WT,S,-617.5
2021-10-22,FADE,L,-217.5
2021-10-27,WT,S,-505.0
2021-10-27,FADE,S,-217.5
2021-10-27,WT,L,-505.0
2021-10-28,WT,L,-480.0
2021-10-29,WT,S,-467.5
2021-11-02,FADE,L,107.5
2021-11-04,WT,L,-505.0
2021-11-04,WT,S,-505.0
2021-11-05,WT,S,332.5
2021-11-08,FADE,S,-217.5
2021-11-09,WT,S,-467.5
2021-11-12,FADE,L,-217.5
2021-11-15,WT,S,7.5
2021-11-15,FADE,L,-217.5
2021-11-16,FADE,S,-217.5
2021-11-16,WT,L,-205.0
2021-11-16,WT,L,-492.5
2021-11-17,WT,S,-505.0
2021-11-30,WT,S,-555.0
2021-11-30,FADE,S,-217.5
2021-12-06,WT,L,-642.5
2021-12-06,FADE,S,-217.5
2021-12-06,WT,L,-642.5
2021-12-06,WT,L,-642.5
2021-12-13,FADE,S,845.0
2021-12-13,WT,S,357.5
2021-12-15,WT,S,-755.0
2021-12-15,WT,L,4245.0
2021-12-15,FADE,L,-217.5
2021-12-16,WT,S,2270.0
2021-12-16,WT,S,1482.5
2021-12-21,FADE,L,2645.0
2021-12-22,FADE,L,-217.5
2021-12-23,FADE,L,-217.5
2021-12-27,WT,L,1045.0
2021-12-28,FADE,S,-217.5
2021-12-29,WT,S,-17.5
2021-12-30,FADE,L,-217.5
2021-12-31,WT,S,145.0
2022-01-04,WT,S,882.5
2022-01-04,WT,S,-642.5
2022-01-05,WT,S,3457.5
2022-01-11,FADE,S,-217.5
2022-01-12,FADE,S,-217.5
2022-01-13,FADE,S,-217.5
2022-01-20,WT,S,5757.5
2022-01-20,WT,S,4907.5
2022-01-21,WT,S,2445.0
2022-01-28,FADE,L,4682.5
2022-01-31,FADE,L,-217.5
2022-02-01,WT,S,-1830.0
2022-02-01,FADE,S,-217.5
2022-02-02,WT,L,-905.0
2022-02-07,FADE,S,-217.5
2022-02-07,WT,S,-80.0
2022-02-08,FADE,L,-217.5
2022-02-14,FADE,S,-217.5
2022-02-14,FADE,S,-217.5
2022-02-16,WT,S,-1042.5
2022-02-16,FADE,L,-217.5
2022-02-18,FADE,S,-217.5
2022-02-23,WT,S,-1067.5
2022-02-23,FADE,S,-217.5
2022-03-01,WT,S,1482.5
2022-03-01,WT,S,1007.5
