tf,state,h,N,mean_bp,median_bp,up%,std_bp,t,excess_bp
30m,no_trade,1,7310,0.5,0.9,52.1,24.1,1.6,0.2
30m,bull,1,4784,-0.0,0.5,51.5,23.2,-0.13,-0.3
30m,bear,1,5203,0.4,0.5,51.2,26.9,1.2,0.2
30m,transition,1,643,-1.0,0.0,48.7,29.3,-0.84,-1.2
30m,no_trade,3,7310,1.2,2.4,54.2,42.2,2.52,0.4
30m,bull,3,4784,0.0,1.6,53.2,41.4,0.05,-0.8
30m,bear,3,5201,1.3,2.4,52.8,46.0,2.06,0.5
30m,transition,3,643,-2.6,0.0,49.8,47.8,-1.37,-3.4
30m,no_trade,5,7310,2.0,4.6,55.4,54.6,3.11,0.7
30m,bull,5,4784,0.1,2.3,53.4,53.9,0.17,-1.2
30m,bear,5,5199,2.1,3.4,53.2,58.1,2.63,0.8
30m,transition,5,643,-3.5,1.4,50.9,59.1,-1.49,-4.8
30m,no_trade,10,7310,3.7,7.2,55.6,76.4,4.1,1.0
30m,bull,10,4784,0.5,3.8,53.3,76.1,0.47,-2.1
30m,bear,10,5194,4.5,5.0,52.7,81.4,3.96,1.8
30m,transition,10,643,-7.4,0.7,50.2,77.7,-2.41,-10.0
30m,no_trade,20,7310,6.7,12.2,55.2,108.3,5.32,1.5
30m,bull,20,4784,1.1,7.4,54.2,101.3,0.77,-4.1
30m,bear,20,5185,9.8,8.5,54.0,111.5,6.32,4.5
30m,transition,20,642,-17.4,-6.5,47.5,131.7,-3.35,-22.7
