tf,state,h,N,mean_bp,median_bp,up%,std_bp,t,excess_bp
daily,no_trade,1,737,1.9,5.3,53.2,88.0,0.57,-1.9
daily,bull,1,288,-1.0,2.0,52.4,81.2,-0.2,-4.7
daily,bear,1,248,11.8,10.8,58.1,112.0,1.66,8.1
daily,transition,1,30,22.5,13.7,60.0,114.6,1.07,18.8
daily,no_trade,3,735,5.6,16.9,55.1,154.9,0.98,-5.2
daily,bull,3,288,-1.4,12.0,53.5,148.9,-0.16,-12.2
daily,bear,3,248,36.4,40.8,62.9,168.7,3.4,25.6
daily,transition,3,30,37.4,43.7,63.3,222.3,0.92,26.7
daily,no_trade,5,733,7.4,32.9,57.2,189.0,1.06,-10.4
daily,bull,5,288,-0.9,7.9,52.8,194.0,-0.08,-18.6
daily,bear,5,248,62.8,65.9,65.7,209.5,4.72,45.0
daily,transition,5,30,70.5,82.0,63.3,259.4,1.49,52.7
daily,no_trade,10,728,14.6,44.8,58.4,254.7,1.54,-20.0
daily,bull,10,288,-10.8,40.3,53.5,278.8,-0.66,-45.4
daily,bear,10,248,136.6,175.3,73.8,271.2,7.93,102.0
daily,transition,10,30,99.9,81.1,63.3,313.5,1.74,65.3
daily,no_trade,20,718,52.1,111.8,62.1,340.1,4.11,-15.6
daily,bull,20,288,-50.7,-23.3,49.0,359.5,-2.39,-118.4
daily,bear,20,248,225.8,269.9,76.2,416.3,8.54,158.0
daily,transition,20,30,262.2,299.7,83.3,353.1,4.07,194.5
