null,state,h,N,mean_bp,median_bp,up%,std_bp,t,excess_bp
rw,no_trade,1,663,-2.2,1.9,50.7,90.2,-0.64,-1.6
rw,bull,1,288,0.1,-4.7,47.9,96.5,0.01,0.7
rw,bear,1,318,-0.6,4.9,52.5,88.4,-0.11,0.1
rw,transition,1,34,24.5,7.5,52.9,84.1,1.7,25.1
rw,no_trade,3,661,-4.3,-8.5,47.8,161.1,-0.69,-2.3
rw,bull,3,288,-2.5,-7.1,45.8,168.5,-0.25,-0.5
rw,bear,3,318,-2.1,-1.9,49.4,153.5,-0.24,-0.0
rw,transition,3,34,54.2,71.3,61.8,128.5,2.46,56.3
rw,no_trade,5,659,-3.7,-2.4,49.5,208.1,-0.46,-0.8
rw,bull,5,288,-10.1,-24.2,44.8,210.7,-0.82,-7.2
rw,bear,5,318,-5.3,-17.0,48.1,194.4,-0.49,-2.4
rw,transition,5,34,99.1,137.1,70.6,211.9,2.73,102.0
rw,no_trade,10,654,-5.1,1.9,50.2,315.8,-0.41,0.8
rw,bull,10,288,-27.0,-37.0,42.0,274.3,-1.67,-21.1
rw,bear,10,318,-5.5,-16.5,47.5,274.6,-0.36,0.4
rw,transition,10,34,163.0,214.5,61.8,413.9,2.3,168.9
rw,no_trade,20,644,-25.0,-8.5,49.5,433.3,-1.46,-14.7
rw,bull,20,288,-15.1,-39.6,45.8,347.8,-0.74,-4.8
rw,bear,20,318,5.5,-33.1,45.0,402.4,0.25,15.8
rw,transition,20,34,167.7,85.2,52.9,598.4,1.63,178.0
shuffle,no_trade,1,705,-0.1,2.1,51.6,87.3,-0.04,-3.8
shuffle,bull,1,251,0.7,3.9,52.6,84.3,0.14,-3.0
shuffle,bear,1,301,12.7,16.2,59.8,110.1,2.0,9.0
shuffle,transition,1,46,17.6,18.0,63.0,79.8,1.49,13.9
shuffle,no_trade,3,705,-0.9,3.1,51.5,158.7,-0.16,-11.7
shuffle,bull,3,251,1.6,-9.0,47.4,142.0,0.18,-9.1
shuffle,bear,3,299,40.9,46.4,60.2,197.9,3.57,30.1
shuffle,transition,3,46,35.1,71.0,65.2,164.0,1.45,24.3
shuffle,no_trade,5,705,-1.5,2.7,51.1,205.4,-0.19,-18.8
shuffle,bull,5,251,3.2,-16.8,47.0,180.0,0.28,-14.2
shuffle,bear,5,297,71.5,81.2,62.3,268.8,4.58,54.1
shuffle,transition,5,46,24.1,43.0,60.9,234.3,0.7,6.7
shuffle,no_trade,10,705,4.6,-12.5,48.5,301.3,0.41,-29.9
shuffle,bull,10,251,-0.7,-22.4,46.6,247.3,-0.05,-35.2
shuffle,bear,10,292,145.0,112.0,61.3,425.4,5.83,110.6
shuffle,transition,10,46,-35.9,28.9,56.5,330.4,-0.74,-70.3
shuffle,no_trade,20,705,37.4,7.3,50.2,466.3,2.13,-29.9
shuffle,bull,20,251,-34.6,-68.3,43.4,320.9,-1.71,-101.9
shuffle,bear,20,282,248.5,154.0,62.4,660.0,6.32,181.2
shuffle,transition,20,46,-48.9,-6.1,50.0,475.4,-0.7,-116.2
ar1,no_trade,1,619,1.4,3.4,51.7,89.7,0.4,0.6
ar1,bull,1,295,1.7,4.4,51.2,88.0,0.34,0.9
ar1,bear,1,352,-2.8,1.9,50.9,97.1,-0.53,-3.6
ar1,transition,1,37,15.6,18.0,62.2,86.6,1.1,14.8
ar1,no_trade,3,619,3.2,-5.9,48.3,176.9,0.45,0.8
ar1,bull,3,295,5.7,13.4,54.2,166.7,0.59,3.4
ar1,bear,3,350,-4.5,-1.6,49.7,179.8,-0.47,-6.9
ar1,transition,3,37,21.2,24.1,59.5,155.4,0.83,18.8
ar1,no_trade,5,619,6.7,15.0,52.2,242.4,0.69,3.3
ar1,bull,5,295,5.5,19.4,53.2,215.0,0.44,2.1
ar1,bear,5,348,-7.6,-15.7,48.6,232.1,-0.61,-11.0
ar1,transition,5,37,31.8,42.8,54.1,171.3,1.13,28.4
ar1,no_trade,10,619,19.0,19.2,52.0,349.7,1.35,13.5
ar1,bull,10,295,4.9,19.9,53.9,304.4,0.28,-0.5
ar1,bear,10,343,-33.8,-37.6,45.2,322.3,-1.94,-39.3
ar1,transition,10,37,156.1,61.2,67.6,284.9,3.33,150.7
ar1,no_trade,20,619,16.5,43.3,52.2,490.9,0.84,5.5
ar1,bull,20,295,69.7,48.8,55.3,377.5,3.17,58.7
ar1,bear,20,334,-61.4,-103.8,39.2,454.2,-2.47,-72.4
ar1,transition,20,36,115.0,76.8,58.3,373.6,1.85,104.0
