book,instrument,exp$/tr,net5yr,net/yr,maxDD,PF,acct_needed,fits$4.5k
adr.30,MES@$5.00RT,2.46,2124,420,-3200,1.06,3300,YES
adr.30,MES@$2.50RT,4.96,4286,847,-2411,1.13,2511,YES
adr.30,ES@$5RT,69.6,60162,11890,-20372,1.18,31559,n/a
abr3.0,MES@$5.00RT,3.44,3006,594,-4089,1.08,4189,YES
abr3.0,MES@$2.50RT,5.94,5194,1026,-3050,1.14,3150,YES
abr3.0,ES@$5RT,79.4,69438,13723,-27128,1.2,41691,n/a
abr1.5,MES@$5.00RT,1.65,1445,286,-3578,1.05,3678,YES
abr1.5,MES@$2.50RT,4.15,3632,718,-2702,1.13,2802,YES
abr1.5,ES@$5RT,61.5,53825,10637,-21078,1.2,32616,n/a
fx4p,MES@$5.00RT,-1.16,-1014,-200,-3408,0.94,3508,YES
fx4p,MES@$2.50RT,1.34,1174,232,-2480,1.07,2580,YES
fx4p,ES@$5RT,33.4,29238,5778,-18790,1.2,29185,n/a
