Date,dir,net
2021-06-18,S,-205.0
2021-06-21,L,607.5
2021-06-22,L,432.5
2021-06-25,L,245.0
2021-07-06,S,-205.0
2021-07-07,S,-205.0
2021-07-07,L,-205.0
2021-07-09,S,-205.0
2021-07-09,L,270.0
2021-07-12,L,470.0
2021-07-13,S,-205.0
2021-07-14,S,-205.0
2021-07-15,S,-205.0
2021-07-16,S,-205.0
2021-07-16,S,-205.0
2021-07-16,S,-205.0
2021-07-16,S,957.5
2021-07-19,S,-205.0
2021-07-19,S,-205.0
2021-07-20,L,-205.0
2021-07-26,S,-205.0
2021-08-10,S,-205.0
2021-08-10,S,-205.0
2021-08-17,S,-205.0
2021-08-17,S,-205.0
2021-08-18,S,-205.0
2021-08-18,S,-205.0
2021-08-19,S,-205.0
2021-08-19,S,-205.0
2021-08-20,L,-205.0
2021-08-20,L,-205.0
2021-08-20,S,-205.0
2021-08-26,L,-205.0
2021-08-26,S,232.5
2021-08-30,L,-205.0
2021-08-31,L,-205.0
2021-09-03,L,-205.0
2021-09-03,L,70.0
2021-09-07,S,-205.0
2021-09-08,L,-205.0
2021-09-08,L,195.0
2021-09-08,L,120.0
2021-09-13,L,-205.0
2021-09-13,S,-205.0
2021-09-14,S,-205.0
2021-09-14,S,-205.0
2021-09-14,S,-205.0
2021-09-14,S,-205.0
2021-09-14,S,-205.0
2021-09-16,S,-205.0
2021-09-16,L,57.5
2021-09-17,S,570.0
2021-09-17,S,-205.0
2021-09-20,S,-205.0
2021-09-22,S,-205.0
2021-09-22,L,-205.0
2021-09-22,S,-205.0
2021-09-27,L,-205.0
2021-09-27,S,-205.0
2021-09-27,S,-205.0
2021-09-27,S,-205.0
2021-09-28,S,-205.0
2021-09-29,S,-205.0
2021-09-29,L,-205.0
2021-09-29,L,-205.0
2021-09-30,S,-205.0
2021-09-30,L,-205.0
2021-09-30,L,-205.0
2021-09-30,L,-205.0
2021-10-01,S,-205.0
2021-10-01,L,407.5
2021-10-01,L,-205.0
2021-10-04,S,-42.5
2021-10-05,L,-205.0
2021-10-06,S,-205.0
2021-10-06,L,-205.0
2021-10-06,S,-205.0
2021-10-11,L,-205.0
2021-10-11,L,-205.0
2021-10-13,S,-205.0
2021-10-14,L,982.5
2021-10-19,L,-205.0
2021-10-21,S,-205.0
2021-10-21,L,770.0
2021-10-22,S,357.5
2021-10-22,S,-205.0
2021-10-26,L,-205.0
2021-10-26,S,-205.0
2021-10-27,L,-205.0
2021-10-28,L,-205.0
2021-11-03,L,1120.0
2021-11-09,S,-205.0
2021-11-09,S,-205.0
2021-11-11,S,-205.0
2021-11-12,S,-205.0
2021-11-16,L,-205.0
2021-11-17,S,-205.0
2021-11-22,S,-205.0
2021-11-30,L,-205.0
2021-11-30,L,-205.0
2021-11-30,S,-205.0
2021-11-30,S,-205.0
2021-12-06,S,-205.0
2021-12-06,S,-205.0
2021-12-07,L,-205.0
2021-12-08,S,-205.0
2021-12-08,L,-205.0
2021-12-13,S,-205.0
2021-12-14,S,-205.0
2021-12-15,L,-205.0
2021-12-16,S,-205.0
2021-12-16,S,-205.0
2021-12-16,L,-205.0
2021-12-17,S,-205.0
2021-12-17,L,-205.0
2021-12-17,L,-205.0
2021-12-20,S,-205.0
2021-12-20,L,-205.0
2021-12-21,S,-205.0
2021-12-21,L,2345.0
2021-12-21,L,1557.5
2021-12-21,L,820.0
2021-12-23,L,-205.0
2021-12-23,L,-205.0
2021-12-28,S,-205.0
2021-12-31,S,-205.0
2022-01-04,S,-205.0
2022-01-05,S,-205.0
2022-01-06,S,-205.0
2022-01-06,L,-205.0
2022-01-10,L,-205.0
2022-01-10,S,-205.0
2022-01-10,L,3282.5
2022-01-10,L,2920.0
2022-01-11,L,-205.0
2022-01-11,L,-205.0
2022-01-11,L,-205.0
2022-01-12,L,-205.0
2022-01-12,L,770.0
2022-01-12,L,-205.0
2022-01-12,L,-205.0
2022-01-13,S,3307.5
2022-01-13,L,-205.0
2022-01-14,L,-205.0
2022-01-18,S,-205.0
2022-01-18,L,-205.0
2022-01-18,L,-205.0
2022-01-18,L,-205.0
2022-01-20,S,-205.0
2022-01-20,S,-205.0
2022-01-21,S,3482.5
2022-01-21,S,-205.0
2022-01-21,L,-205.0
2022-01-24,L,-205.0
2022-01-24,L,-205.0
2022-01-24,S,-205.0
2022-01-24,L,-205.0
2022-01-24,L,-205.0
2022-01-24,S,-205.0
2022-01-24,L,-205.0
2022-01-24,S,-205.0
2022-01-25,S,-205.0
2022-01-25,L,2157.5
2022-01-26,L,-205.0
2022-01-26,L,-205.0
2022-01-27,S,-205.0
2022-01-27,L,-205.0
2022-01-27,S,-205.0
2022-01-28,L,-205.0
2022-01-28,L,-205.0
2022-01-31,L,-205.0
2022-01-31,L,1657.5
2022-01-31,L,-205.0
2022-01-31,L,-205.0
2022-02-01,S,-205.0
2022-02-02,S,-205.0
2022-02-03,L,-205.0
2022-02-03,L,-205.0
2022-02-04,S,-205.0
2022-02-07,L,-205.0
2022-02-08,S,-205.0
2022-02-09,L,-205.0
2022-02-09,S,-205.0
2022-02-09,L,-205.0
2022-02-09,L,-205.0
2022-02-10,S,-205.0
2022-02-14,S,-205.0
2022-02-15,L,-205.0
2022-02-15,L,-205.0
2022-02-16,S,-205.0
2022-02-16,L,-205.0
2022-02-16,S,-205.0
2022-02-18,L,857.5
2022-02-22,S,-205.0
2022-02-23,S,4020.0
2022-02-23,S,-205.0
2022-02-24,L,-205.0
2022-02-24,S,-205.0
2022-02-24,L,-205.0
2022-02-25,L,1295.0
2022-02-25,L,-205.0
2022-02-25,L,-205.0
2022-03-01,S,-205.0
