Date,dir,stop,target,dist_pts,net
2021-06-21,L,abr1.0,eod,3.5,657.5
2021-06-21,L,abr1.0,t2x,3.5,345.0
2021-06-21,L,abr1.0,t3x,3.5,520.0
2021-06-21,L,abr1.5,eod,5.25,657.5
2021-06-21,L,abr1.5,t2x,5.25,520.0
2021-06-21,L,abr1.5,t3x,5.25,-267.5
2021-06-21,L,abr2.0,eod,7.25,657.5
2021-06-21,L,abr2.0,t2x,7.25,-367.5
2021-06-21,L,abr2.0,t3x,7.25,-367.5
2021-06-21,L,abr3.0,eod,10.75,657.5
2021-06-21,L,abr3.0,t2x,10.75,-542.5
2021-06-21,L,abr3.0,t3x,10.75,-542.5
2021-06-21,L,abr4.0,eod,14.25,657.5
2021-06-21,L,abr4.0,t2x,14.25,-717.5
2021-06-21,L,abr4.0,t3x,14.25,-717.5
2021-06-21,L,fx4p,eod,4.0,657.5
2021-06-21,L,fx4p,t2x,4.0,395.0
2021-06-21,L,fx4p,t3x,4.0,595.0
2021-06-21,L,abr1.0,eod,2.25,-117.5
2021-06-21,L,abr1.0,t2x,2.25,-117.5
2021-06-21,L,abr1.0,t3x,2.25,-117.5
2021-06-21,L,abr1.5,eod,3.25,657.5
2021-06-21,L,abr1.5,t2x,3.25,320.0
2021-06-21,L,abr1.5,t3x,3.25,482.5
2021-06-21,L,abr2.0,eod,4.25,657.5
2021-06-21,L,abr2.0,t2x,4.25,420.0
2021-06-21,L,abr2.0,t3x,4.25,632.5
2021-06-21,L,abr3.0,eod,6.5,657.5
2021-06-21,L,abr3.0,t2x,6.5,645.0
2021-06-21,L,abr3.0,t3x,6.5,-330.0
2021-06-21,L,abr4.0,eod,8.75,657.5
2021-06-21,L,abr4.0,t2x,8.75,-442.5
2021-06-21,L,abr4.0,t3x,8.75,-442.5
2021-06-21,L,fx4p,eod,4.0,657.5
2021-06-21,L,fx4p,t2x,4.0,395.0
2021-06-21,L,fx4p,t3x,4.0,595.0
2021-06-21,L,abr1.0,eod,2.0,-105.0
2021-06-21,L,abr1.0,t2x,2.0,-105.0
2021-06-21,L,abr1.0,t3x,2.0,-105.0
2021-06-21,L,abr1.5,eod,3.0,382.5
2021-06-21,L,abr1.5,t2x,3.0,295.0
2021-06-21,L,abr1.5,t3x,3.0,-155.0
2021-06-21,L,abr2.0,eod,4.0,382.5
2021-06-21,L,abr2.0,t2x,4.0,-205.0
2021-06-21,L,abr2.0,t3x,4.0,-205.0
