Date,book,dir,gap,gross_20,net_20,gross_30,net_30,gross_40,net_40
2021-07-08,WT,S,1.112,-200.0,-217.5,-300.0,-317.5,-400.0,-417.5
2021-07-13,WT,S,0.174,375.0,357.5,375.0,357.5,375.0,357.5
2021-07-14,WT,S,0.354,-275.0,-292.5,112.5,95.0,112.5,95.0
2021-07-15,FADE,S,0.29,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2021-07-19,WT,S,0.939,-312.5,-330.0,-475.0,-492.5,-637.5,-655.0
2021-08-02,WT,S,0.072,1150.0,1132.5,1150.0,1132.5,1150.0,1132.5
2021-08-02,WT,S,0.072,562.5,545.0,562.5,545.0,562.5,545.0
2021-08-17,WT,S,0.536,-337.5,-355.0,-512.5,-530.0,-675.0,-692.5
2021-08-20,WT,S,0.024,-362.5,-380.0,-537.5,-555.0,-325.0,-342.5
2021-08-20,WT,L,0.024,137.5,120.0,137.5,120.0,137.5,120.0
2021-08-25,WT,L,0.066,-62.5,-80.0,-62.5,-80.0,-62.5,-80.0
2021-08-26,WT,S,0.071,-325.0,-342.5,-487.5,-505.0,275.0,257.5
2021-08-26,WT,S,0.071,325.0,307.5,325.0,307.5,325.0,307.5
2021-08-27,WT,L,0.128,250.0,232.5,250.0,232.5,250.0,232.5
2021-08-27,WT,L,0.128,-125.0,-142.5,-125.0,-142.5,-125.0,-142.5
2021-08-30,WT,L,0.17,-187.5,-205.0,-187.5,-205.0,-187.5,-205.0
2021-08-31,WT,L,0.038,212.5,195.0,212.5,195.0,212.5,195.0
2021-09-08,WT,S,0.066,-200.0,-217.5,-312.5,-330.0,-412.5,-430.0
2021-09-10,FADE,S,0.047,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2021-09-10,FADE,S,0.047,1275.0,1257.5,1275.0,1257.5,1275.0,1257.5
2021-09-13,FADE,S,0.542,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2021-09-14,FADE,S,0.213,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2021-09-16,WT,S,0.133,-325.0,-342.5,-487.5,-505.0,-650.0,-667.5
2021-09-16,WT,L,0.133,25.0,7.5,25.0,7.5,25.0,7.5
2021-09-17,WT,S,0.128,350.0,332.5,350.0,332.5,350.0,332.5
2021-09-21,FADE,S,0.607,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2021-09-22,WT,L,0.622,-487.5,-505.0,237.5,220.0,237.5,220.0
2021-09-27,WT,L,0.233,-512.5,-530.0,-350.0,-367.5,-350.0,-367.5
2021-10-01,FADE,S,0.245,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2021-10-01,WT,L,0.245,1525.0,1507.5,1525.0,1507.5,1525.0,1507.5
