Session,setup,dir,fill_h,net
2021-06-18,2E,L,21.25,-205.0
2021-06-18,2E,S,10.25,-205.0
2021-06-21,2E,S,1.0,-205.0
2021-06-21,2E,S,23.08,-205.0
2021-06-21,2E,S,23.0,-205.0
2021-06-21,2E,L,11.33,632.5
2021-06-21,2E,L,11.5,632.5
2021-06-21,2E,L,13.58,357.5
2021-06-22,2E,L,0.25,-205.0
2021-06-22,2E,L,5.5,-205.0
2021-06-22,2E,L,7.42,-205.0
2021-06-23,2E,L,2.42,-205.0
2021-06-23,2E,L,23.0,-205.0
2021-06-23,2E,L,22.83,-205.0
2021-06-23,2E,S,0.58,-205.0
2021-06-23,2E,L,2.0,-205.0
2021-06-23,2E,L,7.5,-205.0
2021-06-23,2E,L,8.25,-205.0
2021-06-24,2E,L,21.83,1020.0
2021-06-24,2E,S,1.08,-205.0
2021-06-24,2E,L,7.75,632.5
2021-06-24,2E,L,5.0,545.0
2021-06-24,2E,L,6.17,520.0
2021-06-24,2E,L,9.08,-205.0
2021-06-24,2E,L,10.0,-205.0
2021-06-25,2E,L,23.58,-205.0
2021-06-25,2E,L,23.08,-205.0
2021-06-28,2E,S,2.0,-205.0
2021-06-28,2E,L,5.25,-205.0
2021-06-29,f2EL,S,19.0,-205.0
2021-06-29,2E,L,9.33,-205.0
2021-06-29,2E,L,10.5,-205.0
2021-06-30,2E,L,0.83,-205.0
2021-06-30,2E,S,22.42,-205.0
2021-06-30,2E,S,2.0,-205.0
2021-06-30,2E,S,4.67,-205.0
2021-06-30,2E,S,12.92,-205.0
2021-07-01,2E,S,0.58,-205.0
2021-07-01,2E,L,9.25,-205.0
2021-07-01,2E,L,9.75,-205.0
2021-07-05,2E,S,5.83,-205.0
2021-07-05,2E,S,20.0,-205.0
2021-07-05,2E,L,3.92,170.0
2021-07-05,2E,L,5.42,107.5
2021-07-05,2E,L,8.25,-67.5
2021-07-06,2E,S,8.5,845.0
2021-07-06,2E,S,23.33,745.0
2021-07-08,2E,L,11.83,-205.0
2021-07-08,2E,L,12.67,-205.0
2021-07-08,2E,L,15.75,-17.5
2021-07-09,2E,L,22.67,-205.0
2021-07-09,2E,S,23.83,-205.0
2021-07-09,2E,L,12.08,507.5
2021-07-09,2E,L,14.67,45.0
2021-07-09,2E,L,15.75,57.5
2021-07-12,f2EL,S,2.08,-205.0
2021-07-12,2E,S,6.0,-205.0
2021-07-13,2E,S,3.5,-205.0
