X,1R,1.5R,2R,2.5R,3R,4R,5R,EOD
2,2.42,-0.38,-1.26,-0.26,-1.84,-0.15,0.19,3.02
3,2.42,0.62,0.74,-0.76,-5.84,-4.15,-3.81,-0.98
4,2.65,1.85,-3.03,-4.53,-9.61,-7.92,-7.58,-4.75
5,1.65,-5.43,-10.32,-11.82,-16.9,-15.21,-14.87,-12.04
6,0.65,-8.44,-13.32,-14.82,-19.9,-18.21,-17.86,-15.04
8,1.65,-9.44,-15.32,-18.82,-24.24,-21.55,-25.65,-22.83
10,2.65,-7.43,-12.84,-15.84,-20.76,-17.07,-20.18,-10.63
15,2.22,-8.36,-12.27,-14.6,-19.88,-15.19,-18.55,-9.01
20,4.22,-4.36,-6.27,-11.4,-15.68,-13.99,-16.35,18.19
none,6.87,-1.72,-4.62,-8.25,-11.48,-12.79,-17.74,16.8
