n,date,time,bar,dir,type,lmt,stop,risk,bars_to_fill
1,2026-06-04,10:50:00,28,S,BO,7640.75,7646.75,6.0,2
2,2026-06-05,09:30:00,12,S,BO,7582.25,7594.75,12.5,9
3,2026-06-05,09:45:00,15,S,Trap,7586.0,7592.75,6.75,2
4,2026-06-05,11:35:00,37,S,Trap,7532.75,7541.25,8.5,2
5,2026-06-05,11:55:00,41,L,Trap,7521.5,7510.25,11.25,16
6,2026-06-05,14:30:00,72,L,IB,7454.75,7441.0,13.75,7
7,2026-06-05,15:05:00,79,S,BO,7458.5,7484.25,25.75,
8,2026-06-08,10:35:00,25,S,BO,7515.0,7535.5,20.5,15
9,2026-06-08,13:40:00,62,S,Trap,7501.25,7508.25,7.0,2
10,2026-06-09,10:00:00,18,L,Trap,7448.75,7428.75,20.0,5
11,2026-06-09,14:15:00,69,S,Trap,7447.0,7460.0,13.0,8
12,2026-06-09,15:00:00,78,L,BO,7446.0,7408.5,37.5,
13,2026-06-10,11:00:00,30,L,Trap,7398.25,7366.25,32.0,2
14,2026-06-10,11:50:00,40,S,BO,7385.75,7405.25,19.5,8
15,2026-06-10,12:15:00,45,S,BO,7377.25,7395.75,18.5,2
16,2026-06-10,13:35:00,61,S,IB,7375.75,7386.5,10.75,2
17,2026-06-11,09:15:00,9,S,IB,7378.5,7397.0,18.5,2
18,2026-06-11,10:40:00,26,L,Trap,7359.0,7347.75,11.25,3
19,2026-06-11,12:20:00,46,S,Trap,7342.75,7353.25,10.5,2
20,2026-06-11,12:30:00,48,L,Trap,7342.75,7333.0,9.75,
21,2026-06-11,14:35:00,73,L,BO,7463.25,7452.25,11.0,4
22,2026-06-15,09:00:00,6,S,Trap,7617.25,7622.5,5.25,2
23,2026-06-15,10:45:00,27,L,IB,7635.0,7629.25,5.75,28
24,2026-06-15,13:25:00,59,S,Trap,7632.5,7635.5,3.0,2
25,2026-06-16,09:00:00,6,S,IB,7630.0,7636.25,6.25,
26,2026-06-16,09:10:00,8,L,IB,7629.5,7621.75,7.75,2
27,2026-06-16,10:45:00,27,S,Trap,7608.0,7616.25,8.25,2
28,2026-06-17,09:35:00,13,S,IB,7597.25,7604.25,7.0,
29,2026-06-17,11:35:00,37,S,IB,7590.0,7593.25,3.25,18
30,2026-06-18,09:40:00,14,L,Trap,7555.5,7541.25,14.25,8
31,2026-06-18,10:55:00,29,L,Trap,7551.0,7541.0,10.0,40
32,2026-06-18,12:05:00,43,L,Trap,7564.25,7559.25,5.0,12
33,2026-06-22,11:15:00,33,L,IB,7539.75,7532.25,7.5,4
34,2026-06-22,12:20:00,46,L,IB,7542.25,7535.5,6.75,3
35,2026-06-22,14:55:00,77,L,BO,7535.5,7528.0,7.5,
36,2026-06-23,12:15:00,45,L,Trap,7465.5,7460.5,5.0,8
37,2026-06-23,12:45:00,51,S,Trap,7470.25,7475.75,5.5,
38,2026-06-23,13:00:00,54,S,BO,7455.5,7470.5,15.0,2
39,2026-06-23,13:35:00,61,S,IB,7448.75,7454.75,6.0,7
40,2026-06-23,15:10:00,80,L,Trap,7437.0,7431.5,5.5,
41,2026-06-24,10:10:00,20,S,Trap,7488.0,7496.5,8.5,2
42,2026-06-24,13:10:00,56,L,IB,7425.25,7412.5,12.75,8
43,2026-06-25,09:10:00,8,L,BO,7430.25,7390.5,39.75,2
44,2026-06-25,09:35:00,13,L,IB,7455.75,7441.25,14.5,5
45,2026-06-25,09:55:00,17,L,Trap,7463.0,7444.0,19.0,
46,2026-06-25,10:25:00,23,L,Trap,7435.0,7414.25,20.75,8
47,2026-06-25,11:25:00,35,S,Trap,7450.25,7458.75,8.5,25
48,2026-06-25,12:15:00,45,L,Trap,7423.5,7416.5,7.0,2
