trade_id,strategy,event,side_action,occ_root,expiry,strike,right,time_of_day_et,time_source,our_fill_price,quote_status,quote_timestamp,quote_lag_s,quote_stale,bid_size,bid,ask_size,ask,bid_exchange,ask_exchange
auto_20260806_084323,eodic_c,entry,SELL,SPXW,20260806,7800.0,C,09:43:15,flex_et_sec,0.75,ok,2026-08-06T09:43:14.993,0.007,False,253,0.75,107,0.80,5,5
auto_20260806_084323,eodic_c,entry,BUY,SPXW,20260806,7825.0,C,09:43:15,flex_et_sec,0.35,ok,2026-08-06T09:43:14.985,0.015,False,333,0.30,91,0.35,5,5
auto_20260806_084246,eodic_p,entry,SELL,SPXW,20260806,7645.0,P,09:42:42,flex_et_sec,1.45,ok,2026-08-06T09:42:42.000,0.0,False,133,1.45,163,1.50,5,5
auto_20260806_084246,eodic_p,entry,BUY,SPXW,20260806,7620.0,P,09:42:42,flex_et_sec,0.8,ok,2026-08-06T09:42:41.986,0.014,False,161,0.75,213,0.80,5,5
auto_20260806_084344,eodfly_p,entry,SELL,SPXW,20260806,7725.0,P,09:43:43,flex_et_sec,13.6,ok,2026-08-06T09:43:42.999,0.001,False,77,13.40,92,13.60,5,5
auto_20260806_084344,eodfly_p,entry,BUY,SPXW,20260806,7700.0,P,09:43:43,flex_et_sec,6.5,ok,2026-08-06T09:43:43.000,0.0,False,6,6.40,225,6.50,5,5
auto_20260806_084404,eodfly_c,entry,BUY,SPXW,20260806,7750.0,C,09:44:00,flex_et_sec,7.8,ok,2026-08-06T09:43:59.998,0.002,False,62,7.70,78,7.80,5,5
auto_20260806_084404,eodfly_c,entry,SELL,SPXW,20260806,7725.0,C,09:44:00,flex_et_sec,19.4,ok,2026-08-06T09:43:59.987,0.013,False,7,19.40,48,19.50,5,5
auto_20260806_090522,openic_p,entry,BUY,SPXW,20260806,7635.0,P,10:05:16,flex_et_sec,0.6,ok,2026-08-06T10:05:15.727,0.273,False,69,0.55,376,0.60,5,5
auto_20260806_084404,eodfly_c,exit,SELL,SPXW,20260806,7750.0,C,09:54:11,flex_et_sec,9.2,ok,2026-08-06T09:54:10.999,0.001,False,90,9.20,149,9.40,5,5
auto_20260806_084404,eodfly_c,exit,BUY,SPXW,20260806,7725.0,C,09:54:11,flex_et_sec,22.0,ok,2026-08-06T09:54:11.000,0.0,False,19,21.90,50,22.10,5,5
auto_20260806_090543,openic_c,entry,BUY,SPXW,20260806,7840.0,C,10:05:37,flex_et_sec,0.25,ok,2026-08-06T10:05:36.932,0.068,False,221,0.20,624,0.25,5,5
auto_20260806_090522,openic_p,entry,SELL,SPXW,20260806,7660.0,P,10:05:16,flex_et_sec,1.15,ok,2026-08-06T10:05:15.985,0.015,False,46,1.15,241,1.20,5,5
auto_20260806_090543,openic_c,entry,SELL,SPXW,20260806,7815.0,C,10:05:37,flex_et_sec,0.4,ok,2026-08-06T10:05:36.912,0.088,False,526,0.40,40,0.45,5,5
auto_20260806_090604,openfly_p,entry,BUY,SPXW,20260806,7710.0,P,10:05:58,flex_et_sec,6.6,ok,2026-08-06T10:05:57.999,0.001,False,124,6.50,175,6.70,5,5
auto_20260806_090641,openfly_c,entry,BUY,SPXW,20260806,7760.0,C,10:06:31,flex_et_sec,4.7,ok,2026-08-06T10:06:30.999,0.001,False,72,4.60,177,4.70,5,5
auto_20260806_090604,openfly_p,entry,SELL,SPXW,20260806,7735.0,P,10:05:58,flex_et_sec,15.0,ok,2026-08-06T10:05:58.000,0.0,False,74,15.00,85,15.20,5,5
auto_20260806_090701,gx_bps,entry,BUY,SPXW,20260806,7675.0,P,10:06:57,flex_et_sec,1.85,ok,2026-08-06T10:06:56.960,0.04,False,288,1.70,240,1.80,5,5
auto_20260806_090641,openfly_c,entry,SELL,SPXW,20260806,7735.0,C,10:06:31,flex_et_sec,13.7,ok,2026-08-06T10:06:31.000,0.0,False,83,13.60,88,13.80,5,5
auto_20260806_090722,gx_bcs,entry,SELL,SPXW,20260806,7800.0,C,10:07:17,flex_et_sec,0.85,ok,2026-08-06T10:07:16.986,0.014,False,155,0.85,162,0.90,5,5
auto_20260806_090722,gx_bcs,entry,BUY,SPXW,20260806,7825.0,C,10:07:17,flex_et_sec,0.4,ok,2026-08-06T10:07:16.824,0.176,False,2,0.35,572,0.40,5,5
auto_20260806_090701,gx_bps,entry,SELL,SPXW,20260806,7700.0,P,10:06:57,flex_et_sec,4.2,ok,2026-08-06T10:06:56.992,0.008,False,41,4.10,176,4.20,5,5
auto_20260806_090641,openfly_c,exit,BUY,SPXW,20260806,7735.0,C,10:17:31,flex_et_sec,16.7,ok,2026-08-06T10:17:30.993,0.007,False,39,16.70,29,16.90,5,5
auto_20260806_090604,openfly_p,exit,SELL,SPXW,20260806,7710.0,P,10:35:44,flex_et_sec,5.6,ok,2026-08-06T10:35:43.969,0.031,False,182,5.60,154,5.80,5,5
auto_20260806_090641,openfly_c,exit,SELL,SPXW,20260806,7760.0,C,10:17:31,flex_et_sec,5.7,ok,2026-08-06T10:17:30.996,0.004,False,123,5.70,214,5.80,5,5
auto_20260806_090604,openfly_p,exit,BUY,SPXW,20260806,7735.0,P,10:35:44,flex_et_sec,14.4,ok,2026-08-06T10:35:43.969,0.031,False,88,14.30,64,14.50,5,5
auto_20260807_083034,eodic_p,entry,BUY,SPXW,20260807,7610.0,P,09:30:31,flex_et_sec,0.65,ok,2026-08-07T09:30:30.832,0.168,False,280,0.55,379,0.65,5,5
auto_20260806_084344,eodfly_p,exit,SELL,SPXW,20260806,7700.0,P,11:25:02,flex_et_sec,7.1,ok,2026-08-06T11:25:01.979,0.021,False,91,7.10,133,7.30,5,5
auto_20260807_083034,eodic_p,entry,SELL,SPXW,20260807,7635.0,P,09:30:31,flex_et_sec,1.1,ok,2026-08-07T09:30:30.980,0.02,False,125,1.05,115,1.15,5,5
auto_20260807_083055,eodic_c,entry,BUY,SPXW,20260807,7810.0,C,09:30:48,flex_et_sec,0.95,ok,2026-08-07T09:30:47.984,0.016,False,88,0.90,32,0.95,5,5
auto_20260807_083055,eodic_c,entry,SELL,SPXW,20260807,7785.0,C,09:30:48,flex_et_sec,2.55,ok,2026-08-07T09:30:47.997,0.003,False,78,2.55,103,2.70,5,5
auto_20260806_084344,eodfly_p,exit,BUY,SPXW,20260806,7725.0,P,11:25:02,flex_et_sec,18.3,ok,2026-08-06T11:25:01.885,0.115,False,12,18.10,28,18.30,5,5
auto_20260807_083117,eodfly_p,entry,BUY,SPXW,20260807,7685.0,P,09:31:10,flex_et_sec,4.7,ok,2026-08-07T09:31:09.928,0.072,False,103,4.50,128,4.70,5,5
auto_20260807_083138,eodfly_c,entry,SELL,SPXW,20260807,7710.0,C,09:31:35,flex_et_sec,33.2,ok,2026-08-07T09:31:34.980,0.02,False,1,33.20,7,33.50,5,5
auto_20260807_083159,openic_p,entry,BUY,SPXW,20260807,7630.0,P,09:31:57,flex_et_sec,0.8,ok,2026-08-07T09:31:56.995,0.005,False,246,0.75,48,0.80,5,5
auto_20260807_083138,eodfly_c,entry,BUY,SPXW,20260807,7735.0,C,09:31:35,flex_et_sec,17.7,ok,2026-08-07T09:31:34.987,0.013,False,28,17.50,20,17.70,5,5
