trade_id,event,strategy,nlegs,net_fill,pkg_worst,pkg_best,achievable,within_band
auto_20260806_084323,entry,eodic_c,2,0.4,0.4,0.4,True,True
auto_20260806_084246,entry,eodic_p,2,0.65,0.65,0.65,True,True
auto_20260806_084344,entry,eodfly_p,2,7.1,6.8,7.2,True,True
auto_20260806_084404,entry,eodfly_c,2,11.6,11.3,11.8,True,True
auto_20260806_090522,entry,openic_p,2,0.55,0.55,0.55,True,True
auto_20260806_084404,exit,eodfly_c,2,-12.8,-13.0,-12.7,True,True
auto_20260806_090543,entry,openic_c,2,0.15,0.15,0.15,True,True
auto_20260806_090604,entry,openfly_p,2,8.4,8.2,8.5,True,True
auto_20260806_090641,entry,openfly_c,2,9.0,8.8,9.2,True,True
auto_20260806_090701,entry,gx_bps,2,2.35,2.25,2.4,True,True
auto_20260806_090722,entry,gx_bcs,2,0.45,0.45,0.45,True,True
auto_20260806_090641,exit,openfly_c,2,-11.0,-11.3,-11.0,True,True
auto_20260806_090604,exit,openfly_p,2,-8.8,-8.9,-8.6,True,True
auto_20260807_083034,entry,eodic_p,2,0.45,0.4,0.45,True,True
auto_20260806_084344,exit,eodfly_p,2,-11.2,-11.5,-10.9,True,True
auto_20260807_083055,entry,eodic_c,2,1.6,1.6,1.65,True,True
auto_20260807_083117,entry,eodfly_p,2,5.0,4.8,5.3,True,True
auto_20260807_083138,entry,eodfly_c,2,15.5,15.3,15.7,True,True
auto_20260807_083159,entry,openic_p,2,0.7,0.65,0.7,True,True
auto_20260807_083236,entry,openic_c,2,0.6,0.55,0.6,True,True
auto_20260807_083257,entry,openfly_p,2,7.9,7.7,8.0,True,True
auto_20260807_083318,entry,openfly_c,2,12.3,12.0,12.6,True,True
auto_20260807_083138,exit,eodfly_c,2,-17.4,-17.7,-17.1,True,True
auto_20260807_083318,exit,openfly_c,2,-12.5,-12.8,-12.2,True,True
auto_20260810_090137,entry,eodfly_p,2,7.7,7.5,7.7,True,True
auto_20260810_090247,entry,openfly_p,2,7.7,7.5,7.7,True,True
auto_20260810_090158,entry,eodfly_c,2,7.9,7.8,7.9,True,True
auto_20260810_090219,entry,openic_p,2,0.1,0.1,0.15,True,True
auto_20260810_090308,entry,openfly_c,2,7.9,7.8,7.9,True,True
auto_20260810_090329,entry,gx_bps,2,1.5,1.5,1.5,True,True
auto_20260810_090350,entry,gx_bcs,2,3.1,2.95,3.1,True,True
auto_20260810_090158,exit,eodfly_c,2,-9.9,-9.9,-9.9,True,True
auto_20260810_090308,exit,openfly_c,2,-9.9,-9.9,-9.9,True,True
auto_20260810_090137,exit,eodfly_p,2,-6.5,-6.5,-6.35,True,True
auto_20260811_083044,entry,eodic_p,2,0.15,0.15,0.15,True,True
auto_20260811_083105,entry,eodic_c,2,0.15,0.15,0.15,True,True
auto_20260810_090247,exit,openfly_p,2,-6.35,-6.45,-6.3,True,True
auto_20260811_083203,entry,eodfly_c,2,10.4,10.1,10.5,True,True
auto_20260811_083142,entry,eodfly_p,2,6.6,6.4,6.7,True,True
auto_20260811_083224,entry,openic_p,2,0.35,0.35,0.35,True,True
auto_20260811_083327,entry,openfly_c,2,6.85,6.6,7.0,True,True
auto_20260811_083348,entry,gx_bps,2,0.65,0.55,0.65,True,True
auto_20260811_083254,entry,openfly_p,2,10.1,10.0,10.2,True,True
auto_20260811_083409,entry,gx_bcs,2,3.85,3.75,3.9,True,True
auto_20260811_083254,exit,openfly_p,2,-10.5,-10.7,-10.3,True,True
auto_20260811_083203,exit,eodfly_c,2,-9.8,-9.95,-9.7,True,True
auto_20260812_083031,entry,eodic_p,2,0.15,0.15,0.15,True,True
auto_20260812_083053,entry,eodic_c,2,1.8,1.7,1.8,True,True
auto_20260811_083142,exit,eodfly_p,2,-8.9,-8.9,-8.9,True,True
auto_20260812_083130,entry,eodfly_p,2,3.95,3.7,4.1,True,True
auto_20260812_083151,entry,eodfly_c,2,15.8,15.5,16.1,True,True
auto_20260812_090521,entry,openic_p,2,0.3,0.3,0.3,True,True
auto_20260812_083151,exit,eodfly_c,2,-16.0,-16.3,-15.9,True,True
auto_20260812_090542,entry,openic_c,2,0.15,0.15,0.15,True,True
auto_20260812_090603,entry,openfly_p,2,6.5,6.3,6.6,True,True
auto_20260812_090624,entry,openfly_c,2,11.0,10.9,11.2,True,True
auto_20260812_090703,entry,gx_bcs,2,0.45,0.45,0.45,True,True
auto_20260812_090624,exit,openfly_c,2,-11.6,-11.9,-11.6,True,True
auto_20260813_083113,entry,eodic_p,2,0.1,0.05,0.1,True,True
auto_20260813_083134,entry,eodic_c,2,0.35,0.35,0.4,True,True
auto_20260813_083155,entry,eodfly_p,2,3.45,3.3,3.45,True,True
auto_20260813_083238,entry,openic_p,2,0.2,0.2,0.2,True,True
auto_20260813_083216,entry,eodfly_c,2,15.0,14.9,15.2,True,True
auto_20260813_083305,entry,openfly_p,2,6.2,5.9,6.3,True,True
auto_20260813_083347,entry,gx_bps,2,0.85,0.85,0.9,True,True
auto_20260813_083327,entry,openfly_c,2,10.5,10.3,10.9,True,True
auto_20260813_083408,entry,gx_bcs,2,16.6,16.3,17.0,True,True
auto_20260813_083216,exit,eodfly_c,2,-19.1,-19.3,-18.7,True,True
auto_20260813_083408,exit,gx_bcs,2,-19.1,-19.3,-18.7,True,True
auto_20260814_083031,entry,eodic_p,2,0.2,0.15,0.2,True,True
auto_20260813_083327,exit,openfly_c,2,-13.7,-13.8,-13.5,True,True
auto_20260814_083052,entry,eodic_c,2,0.15,0.15,0.15,True,True
auto_20260814_083150,entry,eodfly_c,2,9.3,9.1,9.5,True,True
auto_20260814_083129,entry,eodfly_p,2,6.8,6.7,7.1,True,True
auto_20260814_090523,entry,openic_p,2,0.1,0.1,0.1,True,True
auto_20260814_083150,exit,eodfly_c,2,-9.4,-9.45,-9.3,True,True
auto_20260814_090625,entry,openfly_c,2,7.2,7.15,7.2,True,True
auto_20260814_090604,entry,openfly_p,2,7.05,6.95,7.05,True,True
auto_20260814_090705,entry,gx_bcs,2,11.3,11.2,11.3,True,True
auto_20260814_090604,exit,openfly_p,2,-9.3,-9.3,-9.1,True,True
auto_20260814_090705,exit,gx_bcs,2,-9.55,-9.6,-9.45,True,True
auto_20260817_083046,entry,eodic_p,2,0.2,0.2,0.25,True,True
auto_20260814_083129,exit,eodfly_p,2,-9.2,-9.2,-9.1,True,True
auto_20260817_083202,entry,eodfly_c,2,8.5,8.5,8.6,True,True
