price,volume
7575.75,14
7576.00,371
7576.25,735
7576.50,647
7576.75,297
7577.00,453
7577.25,1250
7577.50,1222
7577.75,1351
7578.00,1858
7578.25,1379
7578.50,1868
7578.75,2800
7579.00,1905
7579.25,1821
7579.50,2334
7579.75,3458
7580.00,3489
7580.25,3209
7580.50,3648
7580.75,4265
7581.00,5261
7581.25,6502
7581.50,7968
7581.75,9711
7582.00,11111
7582.25,10771
7582.50,9766
7582.75,8314
7583.00,8073
7583.25,9554
7583.50,10309
7583.75,11231
7584.00,10399
7584.25,12952
7584.50,12105
7584.75,17329
7585.00,18819
7585.25,17744
7585.50,18553
7585.75,18979
7586.00,19620
7586.25,19004
7586.50,17462
7586.75,16134
7587.00,17383
7587.25,20437
7587.50,19775
7587.75,19820
7588.00,18560
7588.25,18858
7588.50,14214
7588.75,13750
7589.00,15765
7589.25,20924
7589.50,23424
7589.75,14970
7590.00,16635
7590.25,14675
7590.50,14595
7590.75,10665
7591.00,9225
7591.25,8727
7591.50,6661
7591.75,4400
7592.00,3748
7592.25,2805
7592.50,2707
7592.75,2767
7593.00,2033
7593.25,2548
7593.50,2545
7593.75,2248
7594.00,3130
7594.25,4031
7594.50,2423
7594.75,3254
7595.00,3226
7595.25,3353
7595.50,2838
7595.75,3057
7596.00,2973
7596.25,3080
7596.50,3720
7596.75,3821
7597.00,1645
7597.25,1535
7597.50,1616
7597.75,1693
7598.00,781
7598.25,1166
7598.50,812
7598.75,702
7599.00,846
7599.25,501
7599.50,632
7599.75,427
7600.00,495
7600.25,1464
7600.50,815
7600.75,907
7601.00,611
7601.25,877
7601.50,1236
7601.75,614
7602.00,789
7602.25,485
7602.50,776
7602.75,497
7603.00,245
7603.25,697
7603.50,978
7603.75,1046
7604.00,1652
7604.25,1935
7604.50,2345
7604.75,1782
7605.00,1101
7605.25,1480
7605.50,2172
7605.75,2597
7606.00,2330
7606.25,2049
7606.50,2411
7606.75,2151
7607.00,2369
7607.25,2993
7607.50,2505
7607.75,2002
7608.00,2467
7608.25,1663
7608.50,2971
7608.75,3251
7609.00,3306
7609.25,3294
7609.50,2730
7609.75,3520
7610.00,4501
7610.25,3505
7610.50,4693
7610.75,4150
7611.00,4067
7611.25,3596
7611.50,2802
7611.75,2843
7612.00,2568
7612.25,2157
7612.50,1724
7612.75,1667
7613.00,1933
7613.25,1900
7613.50,1478
7613.75,1575
7614.00,993
7614.25,1292
7614.50,1198
7614.75,1483
7615.00,1424
7615.25,1395
7615.50,582
7615.75,908
7616.00,969
7616.25,693
7616.50,809
7616.75,671
7617.00,594
7617.25,670
7617.50,480
7617.75,376
7618.00,307
7618.25,345
7618.50,457
7618.75,387
7619.00,212
7619.25,5
