bar,close,HOD_in%,LOD_in%,either_in%,both_in%
1,08:35,12.3,14.0,26.3,0.0
2,08:40,15.3,18.0,33.2,0.1
3,08:45,18.0,21.6,39.5,0.1
4,08:50,21.8,24.7,46.4,0.2
5,08:55,23.7,27.2,50.8,0.2
6,09:00,25.1,28.8,53.8,0.2
7,09:05,28.4,31.7,59.7,0.4
8,09:10,29.7,33.4,62.5,0.6
9,09:15,30.6,35.5,65.4,0.8
10,09:20,32.4,36.5,68.0,1.0
11,09:25,33.9,37.9,70.7,1.2
12,09:30,34.7,38.7,71.8,1.6
13,09:35,36.1,40.4,74.3,2.2
14,09:40,36.9,41.1,75.5,2.4
15,09:45,37.6,41.9,76.9,2.6
16,09:50,38.6,43.0,78.5,3.1
17,09:55,39.1,44.1,79.3,3.8
18,10:00,39.3,45.2,80.4,4.0
19,10:05,40.3,45.7,81.5,4.4
20,10:10,41.3,46.3,82.5,5.1
21,10:15,42.2,47.2,83.9,5.5
22,10:20,43.1,48.1,84.9,6.3
23,10:25,44.1,48.6,85.5,7.2
24,10:30,44.6,49.0,85.9,7.7
25,10:35,45.4,50.0,87.0,8.4
26,10:40,45.8,50.9,87.9,8.9
27,10:45,46.5,51.7,88.5,9.6
28,10:50,46.8,52.4,89.0,10.2
29,10:55,47.2,53.0,89.5,10.7
30,11:00,47.5,53.7,89.6,11.5
31,11:05,48.1,54.3,90.1,12.3
32,11:10,48.8,55.3,90.7,13.4
33,11:15,49.2,55.7,90.9,14.0
34,11:20,49.7,56.0,91.3,14.5
35,11:25,50.0,56.7,91.7,15.0
36,11:30,50.4,57.4,91.9,15.9
37,11:35,51.0,58.0,92.5,16.6
38,11:40,51.3,58.6,92.8,17.1
39,11:45,51.5,59.0,93.0,17.6
40,11:50,52.6,59.8,93.7,18.6
41,11:55,53.0,60.6,94.1,19.6
42,12:00,53.7,61.0,94.4,20.3
43,12:05,54.5,62.1,94.8,21.8
44,12:10,55.0,62.5,95.0,22.6
45,12:15,55.9,62.9,95.1,23.7
46,12:20,56.1,63.4,95.2,24.2
47,12:25,56.9,64.5,95.7,25.8
48,12:30,57.3,65.0,95.8,26.4
49,12:35,58.0,65.8,96.2,27.6
50,12:40,58.4,66.6,96.6,28.3
51,12:45,58.9,67.1,96.9,29.1
52,12:50,59.4,67.7,96.9,30.2
53,12:55,60.1,68.5,97.1,31.5
54,13:00,60.8,69.5,97.4,32.9
55,13:05,62.1,70.1,97.9,34.3
56,13:10,62.5,71.2,98.3,35.5
57,13:15,63.2,71.7,98.3,36.6
58,13:20,63.5,72.5,98.4,37.6
59,13:25,63.9,73.1,98.6,38.4
60,13:30,64.8,73.5,98.7,39.6
61,13:35,65.2,74.7,98.9,41.1
62,13:40,66.5,75.0,99.0,42.5
63,13:45,67.2,75.9,99.2,44.0
64,13:50,68.1,76.4,99.2,45.2
65,13:55,68.8,77.2,99.3,46.7
66,14:00,69.4,77.8,99.3,47.8
67,14:05,70.5,78.3,99.3,49.4
68,14:10,71.5,79.2,99.4,51.3
69,14:15,72.7,79.6,99.5,52.8
70,14:20,73.8,80.8,99.6,55.0
71,14:25,74.7,81.9,99.7,56.9
72,14:30,75.7,82.9,99.8,58.7
73,14:35,76.8,83.7,99.9,60.6
74,14:40,78.2,84.5,99.9,62.8
75,14:45,79.2,85.8,99.9,65.1
76,14:50,80.7,87.0,99.9,67.8
77,14:55,85.6,89.2,99.9,74.9
78,15:00,92.1,93.3,99.9,85.5
79,15:05,95.7,97.2,100.0,92.8
80,15:10,97.2,98.1,100.0,95.2
81,15:15,100.0,100.0,100.0,100.0
