Q,n,win%,expR,CIR,PF,SQN,totR,net$,avgW_R,avgL_R,maxDD_R
2021Q2,8.0,62.5,0.467,0.544,2.19,1.68,3.7,1275.0,1.0,-0.42,-1.0
2021Q3,66.0,63.6,0.282,0.178,2.43,3.11,18.6,15325.0,0.78,-0.58,-2.0
2021Q4,52.0,53.8,0.049,0.212,1.63,0.45,2.5,6862.0,0.66,-0.67,-4.5
2022Q1,60.0,76.7,0.351,0.179,3.34,3.84,21.1,39838.0,0.69,-0.78,-2.7
2022Q2,79.0,58.2,0.168,0.169,1.79,1.95,13.2,25425.0,0.73,-0.62,-3.4
2022Q3,59.0,72.9,0.273,0.179,3.19,2.98,16.1,24900.0,0.63,-0.7,-2.8
2022Q4,57.0,64.9,0.181,0.169,1.93,2.1,10.3,11650.0,0.57,-0.54,-3.1
2023Q1,56.0,66.1,0.285,0.162,3.59,3.44,16.0,23412.0,0.64,-0.41,-1.0
2023Q2,50.0,60.0,0.102,0.202,1.62,0.99,5.1,6150.0,0.61,-0.66,-3.9
2023Q3,80.0,66.2,0.228,0.162,1.96,2.75,18.3,12575.0,0.68,-0.65,-2.7
2023Q4,54.0,75.9,0.286,0.181,2.47,3.1,15.4,13012.0,0.6,-0.72,-2.0
2024Q1,69.0,63.8,0.208,0.191,1.91,2.13,14.3,13150.0,0.77,-0.78,-2.2
2024Q2,71.0,60.6,0.178,0.172,1.98,2.02,12.6,15388.0,0.69,-0.61,-2.0
2024Q3,62.0,64.5,0.325,0.177,3.39,3.61,20.2,31425.0,0.77,-0.48,-2.0
2024Q4,56.0,57.1,0.064,0.182,1.31,0.69,3.6,4800.0,0.57,-0.61,-3.5
2025Q1,62.0,71.0,0.383,0.171,3.16,4.38,23.7,35975.0,0.76,-0.53,-2.0
2025Q2,51.0,70.6,0.274,0.207,2.09,2.59,14.0,23288.0,0.68,-0.7,-2.0
2025Q3,65.0,63.1,0.22,0.168,2.06,2.56,14.3,11475.0,0.67,-0.55,-2.0
2025Q4,59.0,67.8,0.274,0.163,2.87,3.3,16.1,24838.0,0.63,-0.47,-2.2
2026Q1,53.0,62.3,0.092,0.185,1.37,0.98,4.9,8275.0,0.54,-0.65,-3.6
2026Q2,27.0,66.7,0.149,0.233,2.73,1.25,4.0,10262.0,0.5,-0.55,-3.6
