SignalNum,Type,Dir,SignalDT,BarNum,SBbar_idx,SBbar_close,SB_extreme,SignalPrice,CSV_extreme,Stop,EntryLimit,T1_scalp,T2_full,Filled,TouchSB_ts,Entry,Entry_ts,ActualRisk_pt,Scalp_exit,Scalp_px,Scalp_ts,Scalp_R,Scalp_pnl,Full_exit,Full_px,Full_ts,Full_R,Full_pnl
6035,Trap,Long,2026-03-06 09:05:00,7,6,6857.25,6837.5,6857.25,6826.75,6826.5,6837.75,6857.25,6888.0,True,2026-03-06 09:10:51.737315081,6837.75,2026-03-06 09:10:51.751469373,11.25,TARGET,6857.25,2026-03-06 09:13:13.059023007,1.7333333333333332,866.6666666666666,TARGET,6888.0,2026-03-06 09:38:59.019476535,4.466666666666666,2233.333333333333
6036,OB,Long,2026-03-06 09:20:00,10,9,6863.25,6855.25,6863.25,6837.0,6836.75,6855.5,6863.25,6889.75,True,2026-03-06 09:52:16.405141321,6855.5,2026-03-06 09:52:17.947936381,18.75,TARGET,6863.25,2026-03-06 09:54:58.973413295,0.41333333333333333,206.66666666666666,TARGET,6889.75,2026-03-06 10:04:17.138295043,1.8266666666666667,913.3333333333334
6037,BO,Short,2026-03-06 09:50:00,16,15,6867.5,6878.75,6867.5,6889.0,6889.25,6878.5,6867.5,6845.75,True,2026-03-06 09:56:09.663039813,6878.5,2026-03-06 09:56:09.663039813,10.75,STOP,6889.25,2026-03-06 10:04:14.138272641,-1.0,-500.0,STOP,6889.25,2026-03-06 10:04:14.138272641,-1.0,-500.0
6038,IB,Short,2026-03-06 10:15:00,21,20,6871.25,6879.75,6871.25,6889.75,6890.0,6879.5,6871.25,6852.5,True,2026-03-06 10:16:18.073876969,6879.5,2026-03-06 10:16:18.139056611,10.5,TARGET,6871.25,2026-03-06 10:17:51.471802657,0.7857142857142857,392.85714285714283,STOP,6890.0,2026-03-06 10:51:28.685907079,-1.0,-500.0
6039,Sneaky,Long,2026-03-06 10:50:00,28,27,6883.5,6874.25,6883.5,6865.25,6865.0,6874.5,6883.5,6902.0,True,2026-03-06 10:55:09.581068675,6874.5,2026-03-06 10:55:09.786838123,9.5,TARGET,6883.5,2026-03-06 10:57:50.925692477,0.9473684210526315,473.6842105263158,STOP,6865.0,2026-03-06 11:16:12.123338989,-1.0,-500.0
6040,Trap,Long,2026-03-06 11:50:00,40,39,6863.0,6855.75,6863.0,6850.0,6849.75,6856.0,6863.0,6876.25,True,2026-03-06 14:25:27.616565273,6856.0,2026-03-06 14:25:27.616565273,6.25,STOP,6849.75,2026-03-06 14:27:56.713139129,-1.0,-500.0,STOP,6849.75,2026-03-06 14:27:56.713139129,-1.0,-500.0
6041,BO,Short,2026-03-06 12:30:00,48,47,6876.25,6883.75,6876.25,6891.25,6891.5,6883.5,6876.25,6861.0,True,2026-03-06 13:14:06.352590087,6883.5,2026-03-06 13:14:07.201458945,8.0,TARGET,6876.25,2026-03-06 13:18:31.557038433,0.90625,453.125,TARGET,6861.0,2026-03-06 14:21:20.888979489,2.8125,1406.25
6042,OB,Long,2026-03-06 13:15:00,57,56,6881.75,6874.5,6881.75,6867.5,6867.25,6874.75,6881.75,6896.25,True,2026-03-06 13:18:33.917674721,6874.75,2026-03-06 13:18:33.956228301,7.5,TARGET,6881.75,2026-03-06 13:19:52.149217333,0.9333333333333332,466.66666666666663,STOP,6867.25,2026-03-06 14:11:13.417671397,-1.0,-500.0
6043,BO,Short,2026-03-06 14:15:00,69,68,6869.0,6880.75,6869.0,6889.75,6890.0,6880.5,6869.0,6848.0,False,,,,,,,,,,,,,,
6044,Trap,Long,2026-03-09 09:20:00,10,9,6767.25,6757.0,6767.25,6752.0,6751.75,6757.25,6767.25,6782.75,False,,,,,,,,,,,,,,
6045,Trap,Short,2026-03-09 11:55:00,41,40,6844.5,6850.0,6844.5,6852.0,6852.25,6849.75,6844.5,6836.75,True,2026-03-09 14:19:37.393855943,6849.75,2026-03-09 14:19:37.393855943,2.5,STOP,6852.25,2026-03-09 14:19:42.185805799,-1.0,-500.0,STOP,6852.25,2026-03-09 14:19:42.185805799,-1.0,-500.0
6046,Sneaky,Short,2026-03-09 14:00:00,66,65,6830.25,6838.25,6830.25,6841.5,6841.75,6838.0,6830.25,6818.75,True,2026-03-09 14:17:03.553185175,6838.0,2026-03-09 14:17:03.553185175,3.75,STOP,6841.75,2026-03-09 14:17:06.303907737,-1.0,-500.0,STOP,6841.75,2026-03-09 14:17:06.303907737,-1.0,-500.0
6047,OB,Long,2026-03-09 14:25:00,71,70,6881.25,6859.25,6881.25,6832.25,6832.0,6859.5,6881.25,6930.5,False,,,,,,,,,,,,,,
6048,BO,Short,2026-03-10 12:40:00,50,49,6942.25,6950.75,6942.25,6963.0,6963.25,6950.5,6942.25,6921.25,True,2026-03-10 12:48:40.019651771,6950.5,2026-03-10 12:49:28.310298351,12.75,TARGET,6942.25,2026-03-10 13:09:34.310748569,0.6470588235294117,323.52941176470586,TARGET,6921.25,2026-03-10 13:14:43.756967259,2.2941176470588234,1147.0588235294117
6049,BO,Long,2026-03-11 09:45:00,15,14,6901.25,6893.0,6901.25,6879.5,6879.25,6893.25,6901.25,6923.25,True,2026-03-11 10:11:16.719331017,6893.25,2026-03-11 10:11:16.746035929,14.0,STOP,6879.25,2026-03-11 10:17:05.824547289,-1.0,-500.0,STOP,6879.25,2026-03-11 10:17:05.824547289,-1.0,-500.0
6050,Trap,Long,2026-03-11 10:55:00,29,28,6877.0,6867.5,6877.0,6864.0,6863.75,6867.75,6877.0,6890.25,True,2026-03-11 11:00:09.712875229,6867.75,2026-03-11 11:00:09.718126715,4.0,STOP,6863.75,2026-03-11 11:02:10.152934621,-1.0,-500.0,STOP,6863.75,2026-03-11 11:02:10.152934621,-1.0,-500.0
6051,Sneaky,Long,2026-03-11 11:35:00,37,36,6885.25,6874.0,6885.25,6864.75,6864.5,6874.25,6885.25,6906.0,True,2026-03-11 12:37:40.389708593,6874.25,2026-03-11 12:37:40.602000261,9.75,STOP,6864.5,2026-03-11 12:38:17.726518503,-0.9999999999999999,-499.99999999999994,STOP,6864.5,2026-03-11 12:38:17.726518503,-0.9999999999999999,-499.99999999999994
6052,Sneaky,Short,2026-03-11 12:15:00,45,44,6885.25,6889.75,6885.25,6893.25,6893.5,6889.5,6885.25,6877.0,True,2026-03-11 12:24:25.102514389,6889.5,2026-03-11 12:24:25.128909187,4.0,STOP,6893.5,2026-03-11 12:27:44.411892885,-1.0,-500.0,STOP,6893.5,2026-03-11 12:27:44.411892885,-1.0,-500.0
6053,BO,Short,2026-03-11 12:40:00,50,49,6871.5,6890.75,6871.5,6895.5,6895.75,6890.5,6871.5,6847.25,True,2026-03-11 14:54:40.013144971,6890.5,2026-03-11 14:54:40.013144971,5.25,,,,,,,,,,
