side,swingL_t,swingL_px,swingH_t,swingH_px,leg_confirmed,e50,stop618,tgt123,fill_t,fill_px,exit_t,why,R,known_before_fill
S,05-29 14:30,7660.25,06-01 08:30,7656.25,06-01 09:15,7652.88,7656.5,7630.24,06-01 10:15,7652.88,06-01 10:30,stop,-1.0,True
S,06-01 12:30,7668.0,06-02 08:30,7666.5,06-02 09:15,7675.12,7679.46,7648.08,06-02 09:30,7675.12,06-02 09:45,stop,-1.0,True
S,06-03 09:30,7652.0,06-03 11:30,7634.75,06-03 12:15,7641.12,7645.23,7615.55,06-03 12:30,7641.12,06-03 12:45,stop,-1.0,True
L,06-03 11:30,7623.75,06-03 13:30,7649.25,06-03 14:15,7636.5,7633.49,7655.27,06-03 14:30,7636.5,06-03 14:45,stop,-1.0,True
S,06-03 13:30,7643.75,06-04 08:30,7622.75,06-04 09:15,7626.12,7631.58,7592.09,06-04 09:30,7626.12,06-04 10:00,stop,-1.0,True
L,06-05 15:00,7425.5,06-08 10:00,7538.0,06-08 10:45,7481.75,7468.48,7564.55,06-08 14:00,7481.75,06-08 14:15,stop,-1.0,True
S,06-09 08:45,7525.25,06-09 11:30,7368.75,06-09 12:15,7430.38,7459.14,7250.98,06-09 13:15,7430.38,06-09 14:00,stop,-1.0,True
L,06-09 11:30,7308.5,06-09 15:00,7460.25,06-10 09:00,7384.38,7366.47,7496.06,06-10 10:15,7384.38,06-10 10:45,stop,-1.0,True
L,06-12 11:00,7461.25,06-12 12:00,7509.75,06-12 12:45,7485.5,7479.78,7521.2,06-12 13:00,7485.5,06-12 15:00,mtm,3.36,True
S,06-12 12:00,7491.5,06-12 13:15,7494.0,06-12 14:00,7497.12,7500.1,7478.54,06-12 14:15,7497.12,06-12 15:00,stop,-1.0,True
S,06-15 11:00,7642.0,06-15 14:45,7631.5,06-16 08:45,7632.62,7636.43,7608.89,06-16 09:00,7632.62,06-16 09:30,target,6.24,True
S,06-18 14:45,7564.25,06-19 09:00,7560.0,06-19 09:45,7567.12,7570.34,7547.07,06-19 10:00,7567.12,06-19 11:45,mtm,3.38,True
L,06-19 09:00,7553.5,06-19 10:00,7568.5,06-19 10:45,7561.0,7559.23,7572.04,06-19 11:00,7561.0,06-19 11:45,stop,-1.0,True
S,06-22 10:45,7539.0,06-22 11:00,7546.5,06-22 11:45,7545.75,7548.94,7525.88,06-22 12:00,7545.75,06-22 12:15,stop,-1.0,True
S,06-22 13:15,7544.25,06-23 08:30,7447.0,06-23 09:15,7484.5,7500.84,7382.56,06-23 09:30,7484.5,06-23 15:00,mtm,2.8,True
S,06-23 12:15,7464.5,06-24 12:30,7424.5,06-24 13:15,7442.12,7450.24,7391.52,06-24 13:30,7442.12,06-24 15:00,stop,-1.0,True
L,06-24 14:00,7404.25,06-25 08:30,7490.5,06-25 09:15,7447.38,7437.2,7510.85,06-25 09:30,7447.38,06-25 10:00,stop,-1.0,True
L,06-25 08:45,7390.5,06-25 09:45,7475.75,06-25 10:30,7433.12,7423.07,7495.87,06-25 11:00,7433.12,06-25 11:30,stop,-1.0,True
S,06-25 11:15,7435.25,06-25 13:00,7435.5,06-25 13:45,7433.5,7439.46,7396.33,06-25 14:00,7433.5,06-25 15:00,stop,-1.0,True
L,06-26 08:30,7360.0,06-26 10:30,7459.5,06-26 11:15,7409.75,7398.01,7482.98,06-26 13:45,7409.75,06-26 14:45,stop,-1.0,True
