date,n_bars,adr,thr,d_range,net,legs_closed,legs_total,year
2010-06-17,81,19.3125,2.8969,13.0,-1.25,12,13,2010
2010-06-18,81,17.9688,2.6953,7.75,-3.25,13,14,2010
2010-06-21,81,16.1875,2.4281,24.25,-16.0,14,15,2010
2010-06-22,81,15.9062,2.3859,25.0,-19.5,24,25,2010
2010-06-23,81,17.0312,2.5547,15.5,-4.75,21,22,2010
2010-06-24,81,16.9375,2.5406,17.25,-12.25,17,18,2010
2010-06-25,81,16.9062,2.5359,16.75,2.0,26,27,2010
2010-06-28,81,16.4688,2.4703,12.0,-5.0,19,20,2010
2010-06-29,81,16.4375,2.4656,25.5,-20.5,21,22,2010
2010-06-30,81,18.0,2.7,20.75,-9.5,18,19,2010
2010-07-01,81,19.625,2.9438,23.75,-4.25,24,25,2010
2010-07-02,81,19.5625,2.9344,18.25,-11.75,14,15,2010
2010-07-05,24,18.7188,2.8078,3.0,-1.75,1,2,2010
2010-07-06,81,17.1562,2.5734,25.0,-7.25,22,23,2010
2010-07-07,81,18.125,2.7188,35.0,33.5,13,14,2010
2010-07-08,81,20.4062,3.0609,14.5,2.5,15,16,2010
2010-07-09,81,20.7188,3.1078,10.75,6.0,9,10,2010
2010-07-12,81,18.875,2.8312,10.75,5.25,9,10,2010
2010-07-13,81,17.625,2.6437,11.75,3.25,12,13,2010
2010-07-14,81,16.125,2.4187,12.0,3.25,18,19,2010
2010-07-15,81,15.3438,2.3016,19.25,-1.0,16,17,2010
2010-07-16,81,17.375,2.6062,27.5,-22.5,16,17,2010
2010-07-19,81,17.6875,2.6531,14.0,-1.25,16,17,2010
2010-07-20,81,15.0625,2.2594,27.75,27.25,19,20,2010
2010-07-21,81,16.7188,2.5078,24.5,-21.25,19,20,2010
2010-07-22,81,18.4375,2.7656,16.5,10.25,14,15,2010
2010-07-23,81,19.1562,2.8734,17.5,13.75,17,18,2010
2010-07-26,81,19.875,2.9812,14.0,8.75,6,7,2010
2010-07-27,81,20.125,3.0187,11.75,-5.5,9,10,2010
2010-07-28,81,19.1875,2.8781,12.25,-5.5,13,14,2010
2010-07-29,81,17.2812,2.5922,24.25,-13.25,16,17,2010
2010-07-30,81,18.5625,2.7844,19.0,13.75,18,19,2010
2010-08-02,81,17.4688,2.6203,14.0,7.0,5,6,2010
2010-08-03,81,16.1562,2.4234,9.5,-1.5,10,11,2010
2010-08-04,81,15.2812,2.2922,9.75,4.5,9,10,2010
2010-08-05,81,14.3125,2.1469,8.5,6.5,12,13,2010
2010-08-06,81,13.625,2.0437,16.75,7.5,15,16,2010
2010-08-09,81,14.25,2.1375,8.75,2.0,9,10,2010
2010-08-10,81,13.8125,2.0719,16.25,4.25,14,15,2010
2010-08-11,81,12.8125,1.9219,17.0,-16.5,19,20,2010
2010-08-12,81,12.5625,1.8844,14.25,8.0,22,23,2010
2010-08-13,81,12.5938,1.8891,8.75,-1.5,20,21,2010
2010-08-16,81,12.5,1.875,14.5,7.0,13,14,2010
2010-08-17,81,13.0938,1.9641,15.25,2.5,13,14,2010
2010-08-18,81,13.9375,2.0906,14.75,-3.75,19,20,2010
2010-08-19,81,13.6875,2.0531,21.0,-15.5,22,23,2010
2010-08-20,81,15.2188,2.2828,9.75,0.75,13,14,2010
2010-08-23,81,14.4062,2.1609,16.0,-9.25,16,17,2010
2010-08-24,81,14.2812,2.1422,14.25,-4.0,21,22,2010
2010-08-25,81,14.2812,2.1422,20.75,11.25,21,22,2010
2010-08-26,81,15.7812,2.3672,17.25,-14.0,21,22,2010
2010-08-27,81,16.125,2.4187,27.25,10.75,16,17,2010
2010-08-30,81,17.625,2.6437,19.0,-15.5,8,9,2010
2010-08-31,81,18.1562,2.7234,15.0,9.0,22,23,2010
2010-09-01,81,17.4062,2.6109,21.5,20.5,12,13,2010
2010-09-02,81,18.875,2.8312,11.25,8.25,7,8,2010
2010-09-03,81,18.2812,2.7422,10.75,3.5,9,10,2010
2010-09-06,24,17.8438,2.6766,2.5,-1.5,0,0,2010
2010-09-07,81,15.5625,2.3344,9.75,-6.75,16,17,2010
2010-09-08,81,14.625,2.1938,10.75,6.5,11,12,2010
2010-09-09,81,12.5625,1.8844,11.0,-8.0,15,16,2010
2010-09-10,81,11.5625,1.7344,7.5,3.75,16,17,2010
2010-09-13,81,10.625,1.5938,8.25,1.0,16,17,2010
2010-09-14,81,8.9688,1.3453,12.25,1.25,25,26,2010
2010-09-15,81,9.0938,1.3641,12.5,8.5,24,25,2010
2010-09-16,81,9.3125,1.3969,11.25,5.75,31,32,2010
2010-09-17,81,10.4062,1.5609,9.75,-6.25,16,17,2010
2010-09-20,81,10.4062,1.5609,19.0,12.5,13,14,2010
2010-09-21,81,11.4375,1.7156,13.75,-3.5,23,24,2010
2010-09-22,81,11.7812,1.7672,13.25,-3.5,23,24,2010
