date,adr,thr,early_legs_60,early_legs_90,full_legs,eff,close_loc,loc_from_mid,early_range,rest_range,expansion,rest_range_adr,continue,trend_day
2010-06-17,19.31,2.9,5,7,12,0.0962,0.8462,0.3462,12.5,11.75,1.04,0.608,0,0
2010-06-18,17.97,2.7,2,4,13,0.4194,0.1613,0.3387,7.75,6.75,1.0,0.376,0,0
2010-06-21,16.19,2.43,3,3,14,0.6598,0.299,0.201,7.25,20.0,3.345,1.236,1,1
2010-06-22,15.91,2.39,7,9,25,0.78,0.03,0.47,10.0,23.25,2.5,1.462,1,1
2010-06-23,17.03,2.55,6,9,21,0.3065,0.4355,0.0645,12.0,13.25,1.292,0.778,0,0
2010-06-24,16.94,2.54,5,5,16,0.7101,0.2174,0.2826,11.25,15.25,1.533,0.9,1,1
2010-06-25,16.91,2.54,3,6,26,0.1194,0.7164,0.2164,10.75,15.75,1.558,0.932,0,0
2010-06-28,16.47,2.47,5,6,19,0.4167,0.3333,0.1667,10.0,8.75,1.2,0.531,1,0
2010-06-29,16.44,2.47,6,6,21,0.8039,0.1863,0.3137,18.25,17.0,1.397,1.034,1,1
2010-06-30,18.0,2.7,5,6,18,0.4578,0.0723,0.4277,9.25,20.75,2.243,1.153,0,0
2010-07-01,19.62,2.94,7,9,25,0.1789,0.6737,0.1737,22.25,20.25,1.067,1.032,0,0
2010-07-02,19.56,2.93,4,4,14,0.6438,0.1918,0.3082,9.75,15.25,1.872,0.78,1,1
2010-07-05,18.72,2.81,1,1,1,0.5833,0.25,0.25,2.0,2.5,1.5,0.134,1,1
2010-07-06,17.16,2.57,3,5,22,0.29,0.42,0.08,9.75,22.25,2.564,1.297,0,0
2010-07-07,18.12,2.72,4,5,12,0.9571,0.9857,0.4857,17.0,24.0,2.059,1.324,1,1
2010-07-08,20.41,3.06,5,5,14,0.1724,0.8966,0.3966,8.5,14.5,1.706,0.711,0,0
2010-07-09,20.72,3.11,5,6,9,0.5581,0.7442,0.2442,7.5,9.5,1.433,0.459,1,1
2010-07-12,18.88,2.83,2,2,9,0.4884,0.907,0.407,7.75,10.75,1.387,0.57,1,0
2010-07-13,17.62,2.64,3,4,11,0.2766,0.4468,0.0532,6.75,9.0,1.741,0.511,1,0
2010-07-14,16.12,2.42,4,8,18,0.2708,0.625,0.125,7.25,12.0,1.655,0.744,0,0
2010-07-15,15.34,2.3,4,4,15,0.0519,0.7273,0.2273,15.5,16.75,1.242,1.092,0,0
2010-07-16,17.38,2.61,2,2,16,0.8182,0.1545,0.3455,16.0,17.0,1.719,0.978,1,1
2010-07-19,17.69,2.65,4,7,16,0.0893,0.5,0.0,12.25,12.25,1.143,0.693,0,0
2010-07-20,15.06,2.26,4,6,20,0.982,0.991,0.491,8.75,21.25,3.171,1.411,1,1
2010-07-21,16.72,2.51,3,5,19,0.8673,0.1122,0.3878,8.75,20.5,2.8,1.226,1,1
2010-07-22,18.44,2.77,2,4,14,0.6212,0.6364,0.1364,15.5,9.0,1.065,0.488,0,1
2010-07-23,19.16,2.87,4,5,18,0.7857,0.9714,0.4714,9.25,15.0,1.892,0.783,1,1
2010-07-26,19.88,2.98,3,4,6,0.625,0.8393,0.3393,9.75,7.25,1.436,0.365,1,1
2010-07-27,20.12,3.02,2,3,9,0.4681,0.4468,0.0532,8.25,7.0,1.424,0.348,0,0
2010-07-28,19.19,2.88,4,6,13,0.449,0.2653,0.2347,8.0,10.0,1.531,0.521,1,0
2010-07-29,17.28,2.59,3,7,17,0.5464,0.3299,0.1701,9.5,17.0,2.553,0.984,1,1
2010-07-30,18.56,2.78,6,7,18,0.7237,0.8289,0.3289,16.75,13.25,1.134,0.714,1,1
2010-08-02,17.47,2.62,2,2,5,0.5,0.8036,0.3036,9.5,6.75,1.474,0.386,1,1
2010-08-03,16.16,2.42,4,4,10,0.1579,0.5263,0.0263,7.25,8.25,1.31,0.511,0,0
2010-08-04,15.28,2.29,4,6,10,0.4615,0.8718,0.3718,9.0,8.0,1.083,0.524,0,0
2010-08-05,14.31,2.15,4,5,12,0.7647,0.9706,0.4706,7.25,7.5,1.172,0.524,1,1
2010-08-06,13.62,2.04,4,4,15,0.4478,0.9552,0.4552,15.25,16.25,1.098,1.193,0,0
2010-08-09,14.25,2.14,4,4,9,0.2286,0.8857,0.3857,6.25,5.5,1.4,0.386,0,0
2010-08-10,13.81,2.07,3,4,14,0.2615,0.6923,0.1923,8.75,14.25,1.857,1.032,0,0
2010-08-11,12.81,1.92,7,7,19,0.9706,0.0147,0.4853,9.5,8.25,1.789,0.644,1,1
2010-08-12,12.56,1.88,5,7,23,0.5614,0.614,0.114,13.25,7.5,1.075,0.597,0,1
2010-08-13,12.59,1.89,6,9,20,0.1714,0.0286,0.4714,7.25,8.25,1.207,0.655,0,0
2010-08-16,12.5,1.88,6,7,14,0.4828,0.7586,0.2586,13.25,8.0,1.094,0.64,0,0
2010-08-17,13.09,1.96,6,6,13,0.1639,0.3607,0.1393,6.25,9.75,2.44,0.745,0,0
2010-08-18,13.94,2.09,3,6,19,0.2542,0.1525,0.3475,6.5,12.5,2.269,0.897,1,0
2010-08-19,13.69,2.05,7,9,23,0.7381,0.119,0.381,16.0,9.5,1.312,0.694,1,1
2010-08-20,15.22,2.28,4,5,12,0.0769,0.9487,0.4487,7.0,9.75,1.393,0.641,0,0
2010-08-23,14.41,2.16,4,7,17,0.5781,0.0781,0.4219,11.75,9.75,1.362,0.677,1,1
2010-08-24,14.28,2.14,3,4,21,0.2807,0.4035,0.0965,11.0,9.25,1.295,0.648,1,0
2010-08-25,14.28,2.14,5,6,20,0.5422,0.8795,0.3795,10.5,14.5,1.976,1.015,1,1
2010-08-26,15.78,2.37,6,7,21,0.8116,0.1014,0.3986,7.0,14.75,2.464,0.935,1,1
2010-08-27,16.12,2.42,2,4,16,0.3945,0.9817,0.4817,17.0,14.5,1.603,0.899,0,0
2010-08-30,17.62,2.64,2,4,8,0.8158,0.0132,0.4868,6.25,16.5,3.04,0.936,0,1
2010-08-31,18.16,2.72,6,8,22,0.6,0.8833,0.3833,13.5,11.75,1.111,0.647,1,1
2010-09-01,17.41,2.61,4,4,12,0.9535,0.9767,0.4767,17.5,7.5,1.229,0.431,1,1
2010-09-02,18.88,2.83,4,4,8,0.7333,0.9556,0.4556,6.75,9.0,1.667,0.477,1,1
2010-09-03,18.28,2.74,4,7,9,0.3256,0.8837,0.3837,10.75,9.75,1.0,0.533,0,0
2010-09-06,17.84,2.68,0,0,0,0.6,0.2,0.3,1.75,2.5,1.429,0.14,1,1
2010-09-07,15.56,2.33,6,6,16,0.6923,0.1538,0.3462,7.75,7.0,1.258,0.45,1,1
2010-09-08,14.62,2.19,4,4,12,0.6047,0.6512,0.1512,9.0,7.75,1.194,0.53,0,1
