date,idx,n_legs,dir,size,size_adr,bars,start_bar,start_min
2010-06-17,1,12,1,0.75,0.038834951456310676,0,0,0
2010-06-17,2,12,-1,5.5,0.284789644012945,3,0,0
2010-06-17,3,12,1,3.5,0.18122977346278318,2,3,15
2010-06-17,4,12,-1,5.5,0.284789644012945,1,5,25
2010-06-17,5,12,1,3.0,0.1553398058252427,1,6,30
2010-06-17,6,12,-1,8.0,0.41423948220064727,8,7,35
2010-06-17,7,12,1,3.25,0.16828478964401294,2,15,75
2010-06-17,8,12,-1,3.75,0.1941747572815534,1,17,85
2010-06-17,9,12,1,7.25,0.37540453074433655,17,18,90
2010-06-17,10,12,-1,4.5,0.23300970873786409,4,35,175
2010-06-17,11,12,1,7.0,0.36245954692556637,15,39,195
2010-06-17,12,12,-1,8.5,0.4401294498381877,17,54,270
2010-06-18,1,13,1,0.5,0.02782608695652174,0,0,0
2010-06-18,2,13,-1,5.0,0.2782608695652174,5,0,0
2010-06-18,3,13,1,7.5,0.41739130434782606,8,5,25
2010-06-18,4,13,-1,2.75,0.15304347826086956,1,13,65
2010-06-18,5,13,1,3.0,0.16695652173913045,5,14,70
2010-06-18,6,13,-1,5.0,0.2782608695652174,8,19,95
2010-06-18,7,13,1,3.0,0.16695652173913045,3,27,135
2010-06-18,8,13,-1,4.75,0.2643478260869565,6,30,150
2010-06-18,9,13,1,3.75,0.20869565217391303,14,36,180
2010-06-18,10,13,-1,3.25,0.1808695652173913,2,50,250
2010-06-18,11,13,1,3.75,0.20869565217391303,7,52,260
2010-06-18,12,13,-1,4.0,0.22260869565217392,11,59,295
2010-06-18,13,13,1,3.0,0.16695652173913045,7,70,350
2010-06-21,1,14,1,1.0,0.06177606177606178,0,0,0
2010-06-21,2,14,-1,6.0,0.37065637065637064,3,0,0
2010-06-21,3,14,1,5.5,0.33976833976833976,3,3,15
2010-06-21,4,14,-1,7.0,0.43243243243243246,12,6,30
2010-06-21,5,14,1,3.25,0.20077220077220076,6,18,90
2010-06-21,6,14,-1,6.75,0.416988416988417,16,24,120
2010-06-21,7,14,1,3.25,0.20077220077220076,5,40,200
2010-06-21,8,14,-1,5.25,0.32432432432432434,6,45,225
2010-06-21,9,14,1,3.0,0.18532818532818532,1,51,255
2010-06-21,10,14,-1,2.5,0.15444015444015444,3,52,260
2010-06-21,11,14,1,4.75,0.29343629343629346,2,55,275
2010-06-21,12,14,-1,14.75,0.9111969111969112,12,57,285
2010-06-21,13,14,1,3.0,0.18532818532818532,4,69,345
