year,days,adr8_pts,scalp_pts,scalp_ticks,scalp_$
2010,141,13.88,2.08,8.33,104.0
2011,258,18.18,2.73,10.91,136.0
2012,255,13.33,2.0,8.0,100.0
2013,252,13.86,2.08,8.31,104.0
2014,250,16.17,2.43,9.7,121.0
2015,258,21.51,3.23,12.9,161.0
2016,258,18.87,2.83,11.32,142.0
2017,257,12.85,1.93,7.71,96.0
2018,257,32.05,4.81,19.23,240.0
2019,258,25.56,3.83,15.34,192.0
2020,259,51.98,7.8,31.19,390.0
2021,258,39.64,5.95,23.78,297.0
2022,258,72.98,10.95,43.79,547.0
2023,257,44.23,6.63,26.54,332.0
2024,259,48.99,7.35,29.4,368.0
2025,257,70.94,10.64,42.56,532.0
2026,145,71.72,10.76,43.03,538.0
