date,dir,entry,exit,pts,outcome
2021-07-22,L,5153.5,5162.5,9.0,EOD
2021-07-23,L,5194.25,5200.5,6.25,EOD
2021-07-27,S,5175.5,5186.5,-11.0,STOP
2021-07-30,L,5191.75,5194.25,2.5,EOD
2021-08-02,S,5206.0,5183.0,23.0,EOD
2021-08-05,L,5211.5,5219.75,8.25,EOD
2021-08-12,L,5244.5,5253.25,8.75,EOD
2021-08-13,L,5256.25,5261.0,4.75,EOD
2021-08-25,L,5294.0,5292.75,-1.25,EOD
2021-08-26,S,5272.75,5282.75,-10.0,STOP
2021-08-26,S,5273.75,5267.25,6.5,EOD
2021-08-27,L,5298.75,5303.75,5.0,EOD
2021-08-30,L,5330.25,5326.5,-3.75,EOD
2021-08-31,L,5321.5,5325.75,4.25,EOD
2021-09-08,S,5297.25,5303.5,-6.25,STOP
2021-09-09,S,5297.0,5303.75,-6.75,STOP
2021-10-18,L,5279.75,5285.75,6.0,EOD
2021-10-19,L,5302.75,5323.25,20.5,EOD
2021-10-20,L,5334.5,5334.0,-0.5,EOD
2021-10-22,S,5351.25,5343.75,7.5,EOD
2021-10-27,S,5373.25,5383.0,-9.75,STOP
2021-10-27,L,5381.0,5371.25,-9.75,STOP
2021-10-28,L,5389.25,5380.0,-9.25,STOP
2021-10-29,S,5382.75,5391.75,-9.0,STOP
2021-11-04,L,5481.75,5472.0,-9.75,STOP
2021-11-04,S,5469.25,5479.0,-9.75,STOP
2021-11-05,S,5500.5,5493.5,7.0,EOD
2021-11-09,S,5478.25,5487.25,-9.0,STOP
2021-11-15,S,5491.25,5490.75,0.5,EOD
2021-11-16,L,5510.25,5506.5,-3.75,EOD
2021-11-17,S,5494.5,5504.25,-9.75,STOP
2021-11-18,S,5487.5,5496.5,-9.0,STOP
2021-11-19,L,5516.25,5506.75,-9.5,STOP
2021-11-24,L,5493.75,5508.75,15.0,EOD
2021-12-09,S,5492.0,5473.75,18.25,EOD
2021-12-13,S,5486.0,5478.5,7.5,EOD
2021-12-16,S,5526.75,5481.0,45.75,EOD
2021-12-27,L,5576.25,5597.5,21.25,EOD
2021-12-29,S,5599.5,5599.5,0.0,EOD
2021-12-31,S,5583.5,5580.25,3.25,EOD
2022-01-04,S,5616.0,5598.0,18.0,EOD
2022-01-05,S,5584.25,5514.75,69.5,EOD
2022-02-02,L,5379.75,5362.0,-17.75,EOD
2022-03-18,L,5252.5,5280.25,27.75,EOD
2022-03-23,L,5309.75,5286.75,-23.0,STOP
2022-03-30,S,5428.75,5424.25,4.5,EOD
2022-04-07,S,5281.5,5298.25,-16.75,STOP
2022-04-07,S,5293.25,5310.0,-16.75,STOP
2022-05-26,L,4885.75,4871.75,-14.0,EOD
2022-06-02,L,4918.5,4993.5,75.0,EOD
2022-06-09,S,4916.5,4843.5,73.0,EOD
2022-07-21,L,4810.0,4812.5,2.5,EOD
2022-07-22,S,4795.5,4784.75,10.75,EOD
2022-07-28,L,4874.25,4903.25,29.0,EOD
2022-08-02,L,4934.5,4915.0,-19.5,STOP
2022-08-04,L,4982.5,4963.25,-19.25,STOP
2022-10-20,L,4538.25,4513.25,-25.0,STOP
2022-10-20,S,4494.5,4486.5,8.0,EOD
2022-10-21,S,4492.25,4518.0,-25.75,STOP
2022-10-27,S,4629.5,4587.75,41.75,EOD
2022-11-02,S,4649.5,4672.25,-22.75,STOP
2022-11-08,L,4664.75,4641.5,-23.25,STOP
2022-11-11,L,4785.25,4761.5,-23.75,STOP
2022-11-16,S,4782.0,4783.25,-1.25,EOD
2022-11-23,L,4836.5,4819.25,-17.25,STOP
2022-11-30,S,4759.25,4772.5,-13.25,STOP
2022-12-05,S,4827.25,4806.25,21.0,EOD
2023-01-11,L,4738.25,4761.25,23.0,EOD
2023-01-12,S,4761.5,4779.5,-18.0,STOP
2023-01-17,L,4802.75,4784.75,-18.0,STOP
2023-01-18,S,4737.0,4717.0,20.0,EOD
2023-01-19,L,4698.5,4689.25,-9.25,EOD
2023-01-20,L,4707.5,4757.5,50.0,EOD
2023-01-31,L,4829.25,4855.5,26.25,EOD
2023-02-07,L,4898.75,4881.25,-17.5,STOP
2023-02-15,L,4922.25,4931.5,9.25,EOD
2023-03-06,L,4846.5,4832.5,-14.0,STOP
2023-04-06,L,4843.25,4868.5,25.25,EOD
2023-04-11,S,4872.75,4878.5,-5.75,FLIP
2023-04-11,L,4878.5,4876.25,-2.25,EOD
2023-04-12,L,4884.75,4874.25,-10.5,STOP
2023-04-13,L,4880.75,4909.5,28.75,EOD
2023-04-17,S,4897.25,4909.75,-12.5,STOP
2023-04-24,S,4880.5,4885.75,-5.25,FLIP
2023-04-24,L,4885.75,4896.0,10.25,EOD
2023-05-19,S,4940.0,4937.75,2.25,EOD
2023-05-22,S,4948.0,4943.75,4.25,EOD
2023-05-26,S,4944.75,4956.5,-11.75,STOP
2023-06-05,S,5033.0,5018.5,14.5,EOD
2023-06-06,S,5018.25,5030.5,-12.25,STOP
2023-06-07,S,5033.5,5011.25,22.25,EOD
2023-06-09,S,5035.25,5047.5,-12.25,STOP
2023-06-13,S,5098.75,5110.25,-11.5,STOP
2023-06-13,L,5111.5,5100.0,-11.5,STOP
2023-06-15,L,5146.0,5159.75,13.75,EOD
2023-06-20,S,5114.5,5126.75,-12.25,STOP
2023-06-26,S,5073.0,5067.75,5.25,EOD
2023-06-28,L,5111.5,5099.25,-12.25,STOP
2023-07-17,L,5246.0,5242.75,-3.25,EOD
2023-07-25,L,5288.75,5295.25,6.5,EOD
2023-08-01,S,5290.75,5292.0,-1.25,EOD
2023-08-31,S,5216.75,5211.25,5.5,EOD
2023-09-12,S,5165.0,5175.25,-10.25,STOP
2023-09-13,S,5159.25,5169.75,-10.5,STOP
2023-09-15,S,5157.25,5146.0,11.25,EOD
2023-10-11,S,5038.5,5056.0,-17.5,STOP
2023-10-19,L,4999.75,4982.25,-17.5,STOP
2023-11-06,S,5016.0,5026.0,-10.0,EOD
2023-11-07,L,5041.25,5039.5,-1.75,EOD
2023-11-10,L,5063.5,5075.5,12.0,EOD
2023-11-17,L,5167.0,5169.25,2.25,EOD
2023-11-29,S,5215.25,5208.75,6.5,EOD
2023-12-01,S,5238.5,5242.5,-4.0,FLIP
2023-12-01,L,5242.5,5246.75,4.25,EOD
2023-12-05,S,5214.0,5222.5,-8.5,STOP
2023-12-06,S,5219.0,5199.75,19.25,EOD
2023-12-08,L,5233.5,5250.25,16.75,EOD
2023-12-12,L,5273.25,5291.25,18.0,EOD
2023-12-15,L,5361.0,5349.5,-11.5,STOP
2023-12-19,L,5405.5,5408.5,3.0,EOD
2023-12-28,S,5425.75,5424.75,1.0,EOD
2023-12-29,L,5405.5,5404.75,-0.75,EOD
2024-01-11,L,5390.25,5405.25,15.0,EOD
2024-01-16,L,5402.0,5389.5,-12.5,STOP
2024-01-19,L,5421.0,5463.0,42.0,EOD
2024-01-22,S,5476.75,5471.0,5.75,EOD
2024-01-23,S,5470.5,5483.25,-12.75,STOP
2024-02-08,S,5603.0,5603.0,0.0,FLIP
2024-02-08,L,5603.0,5606.75,3.75,EOD
2024-02-14,L,5589.25,5576.25,-13.0,STOP
2024-02-15,S,5610.0,5622.5,-12.5,STOP
2024-02-15,L,5628.5,5638.75,10.25,EOD
2024-02-21,S,5565.75,5576.5,-10.75,STOP
2024-02-26,S,5682.5,5670.0,12.5,EOD
2024-02-27,L,5669.75,5683.0,13.25,EOD
2024-02-29,S,5684.0,5695.0,-11.0,STOP
2024-03-01,L,5725.25,5732.25,7.0,EOD
2024-03-04,L,5732.25,5726.0,-6.25,EOD
2024-03-07,L,5747.0,5746.75,-0.25,EOD
2024-03-12,L,5760.75,5748.75,-12.0,STOP
2024-03-12,S,5738.25,5750.25,-12.0,STOP
2024-03-19,L,5741.75,5767.75,26.0,EOD
2024-03-20,L,5771.5,5821.75,50.25,EOD
2024-03-21,L,5843.75,5842.0,-1.75,FLIP
2024-03-21,S,5842.0,5833.75,8.25,EOD
2024-03-22,S,5822.5,5816.75,5.75,EOD
2024-03-26,S,5815.0,5798.25,16.75,EOD
2024-04-01,S,5822.25,5821.5,0.75,EOD
2024-05-09,L,5756.25,5769.5,13.25,EOD
2024-05-10,S,5768.25,5771.25,-3.0,EOD
2024-05-13,S,5769.5,5769.5,0.0,EOD
2024-05-15,L,5849.5,5853.75,4.25,EOD
