date,yr,dir,trig,entry,exit,outcome,pts,mae_pts,stop_pts,fill_tick,exit_tick,sgn
2021-07-22,2021,L,5155.0,5153.75,5162.5,EOD,8.75,0.5,11.75,105586,148432,1
2021-07-22,2021,L,5159.5,5158.25,5162.5,EOD,4.25,3.0,11.75,121943,148432,1
2021-07-23,2021,L,5195.75,5194.5,5200.5,EOD,6.0,1.0,11.0,86071,154771,1
2021-07-23,2021,L,5202.75,5201.5,5200.5,EOD,-1.0,5.5,11.0,113552,154771,1
2021-07-27,2021,S,5174.0,5175.25,5186.25,STOP,-11.0,19.25,11.0,166960,211910,-1
2021-07-30,2021,L,5193.25,5192.0,5194.25,EOD,2.25,10.25,11.0,111936,188736,1
2021-08-02,2021,S,5204.5,5205.75,5183.0,EOD,22.75,6.0,10.25,28685,173641,-1
2021-08-02,2021,S,5192.75,5194.0,5183.0,EOD,11.0,2.25,10.25,111185,173641,-1
2021-08-02,2021,S,5191.75,5193.0,5183.0,EOD,10.0,0.25,10.25,137213,173641,-1
2021-08-05,2021,L,5213.0,5211.75,5219.75,EOD,8.0,4.5,8.75,57174,113576,1
2021-08-12,2021,L,5246.0,5244.75,5253.25,EOD,8.5,0.5,6.75,56751,92200,1
2021-08-12,2021,L,5247.75,5246.5,5253.25,EOD,6.75,0.75,6.75,62611,92200,1
2021-08-13,2021,L,5257.75,5256.5,5261.0,EOD,4.5,1.25,7.0,33767,98798,1
2021-08-25,2021,L,5295.5,5294.25,5292.75,EOD,-1.5,3.5,9.75,69451,110487,1
2021-08-26,2021,S,5271.25,5272.5,5282.5,STOP,-10.0,10.0,10.0,73733,120620,-1
2021-08-26,2021,S,5272.25,5273.5,5267.25,EOD,6.25,0.75,10.0,164946,212714,-1
2021-08-27,2021,L,5300.25,5299.0,5303.75,EOD,4.75,3.75,10.0,94661,184016,1
2021-08-27,2021,L,5307.75,5306.5,5303.75,EOD,-2.75,3.75,10.0,135019,184016,1
2021-08-30,2021,L,5331.75,5330.5,5326.5,EOD,-4.0,7.0,10.75,68240,129830,1
2021-08-31,2021,L,5323.0,5321.75,5325.75,EOD,4.0,6.75,10.25,65193,176878,1
2021-09-08,2021,S,5295.75,5297.0,5303.25,STOP,-6.25,6.25,6.25,125130,135911,-1
2021-09-09,2021,S,5295.5,5296.75,5303.5,STOP,-6.75,6.75,6.75,42393,55460,-1
2021-10-18,2021,L,5281.25,5280.0,5285.75,EOD,5.75,2.0,14.5,108391,148466,1
2021-10-19,2021,L,5304.25,5303.0,5323.25,EOD,20.25,1.25,13.5,37917,150643,1
2021-10-19,2021,L,5308.75,5307.5,5323.25,EOD,15.75,0.75,13.5,59612,150643,1
2021-10-19,2021,L,5317.25,5316.0,5323.25,EOD,7.25,6.5,13.5,97198,150643,1
2021-10-20,2021,L,5336.0,5334.75,5334.0,EOD,-0.75,10.75,12.5,68536,156097,1
2021-10-22,2021,S,5349.75,5351.0,5343.75,EOD,7.25,9.5,10.5,38249,220593,-1
2021-10-22,2021,S,5332.5,5333.75,5344.25,STOP,-10.5,10.5,10.5,124702,137031,-1
2021-10-25,2021,L,5360.0,5358.75,5368.75,EOD,10.0,0.25,10.75,78757,158060,1
2021-10-27,2021,S,5371.75,5373.0,5382.75,STOP,-9.75,9.75,9.75,86622,135713,-1
2021-10-27,2021,L,5382.5,5381.25,5371.5,STOP,-9.75,9.75,9.75,150046,161400,1
2021-10-28,2021,L,5390.75,5389.5,5380.25,STOP,-9.25,9.25,9.25,96610,118597,1
2021-10-29,2021,S,5381.25,5382.5,5391.5,STOP,-9.0,9.0,9.0,50308,71962,-1
2021-10-29,2021,L,5403.0,5401.75,5392.75,STOP,-9.0,9.0,9.0,113723,132741,1
2021-11-04,2021,L,5483.25,5482.0,5472.25,STOP,-9.75,9.75,9.75,49785,66595,1
2021-11-04,2021,S,5467.75,5469.0,5478.75,STOP,-9.75,9.75,9.75,86348,95840,-1
2021-11-05,2021,S,5499.0,5500.25,5493.5,EOD,6.75,5.5,9.5,165714,218389,-1
2021-11-09,2021,S,5476.75,5478.0,5487.0,STOP,-9.0,9.0,9.0,170801,237723,-1
2021-11-15,2021,S,5489.75,5491.0,5490.75,EOD,0.25,3.5,9.5,55599,184010,-1
2021-11-16,2021,L,5511.75,5510.5,5506.5,EOD,-4.0,7.0,9.5,90899,164043,1
2021-11-16,2021,L,5516.0,5514.75,5505.25,STOP,-9.5,9.5,9.5,107390,154694,1
2021-11-17,2021,S,5493.0,5494.25,5504.0,STOP,-9.75,9.75,9.75,50552,83867,-1
2021-11-18,2021,S,5486.0,5487.25,5496.25,STOP,-9.0,9.0,9.0,87766,101129,-1
2021-11-19,2021,L,5517.75,5516.5,5507.0,STOP,-9.5,9.5,9.5,123586,132349,1
2021-11-24,2021,L,5495.25,5494.0,5508.75,EOD,14.75,7.25,10.75,153005,263056,1
2021-11-24,2021,L,5502.75,5501.5,5490.75,STOP,-10.75,10.75,10.75,175678,192740,1
2021-12-09,2021,S,5490.5,5491.75,5473.75,EOD,18.0,11.75,22.5,20194,86288,-1
2021-12-09,2021,S,5490.25,5491.5,5473.75,EOD,17.75,12.0,22.5,34186,86288,-1
2021-12-13,2021,S,5484.5,5485.75,5478.5,EOD,7.25,11.25,21.5,226624,326355,-1
2021-12-16,2021,S,5525.25,5526.5,5481.0,EOD,45.5,2.5,19.0,141763,454545,-1
2021-12-16,2021,S,5509.5,5510.75,5481.0,EOD,29.75,4.25,19.0,191523,454545,-1
2021-12-27,2021,L,5577.75,5576.5,5597.5,EOD,21.0,1.0,18.25,82859,166884,1
2021-12-29,2021,S,5598.0,5599.25,5599.5,EOD,-0.25,13.0,18.0,84500,185616,-1
2021-12-31,2021,S,5582.0,5583.25,5580.25,EOD,3.0,11.25,15.0,68032,187356,-1
2022-01-04,2022,S,5614.5,5615.75,5598.0,EOD,17.75,6.75,12.5,61907,283364,-1
2022-01-04,2022,S,5587.75,5589.0,5601.5,STOP,-12.5,12.5,12.5,218332,233886,-1
2022-01-05,2022,S,5582.75,5584.0,5514.75,EOD,69.25,9.75,12.25,184376,411699,-1
2022-02-02,2022,L,5381.25,5380.0,5362.0,EOD,-18.0,22.5,37.0,294476,447558,1
2022-03-18,2022,L,5248.75,5247.5,5280.25,EOD,32.75,0.5,27.0,196238,313277,1
2022-03-18,2022,L,5254.0,5252.75,5280.25,EOD,27.5,5.75,27.0,211089,313277,1
2022-03-23,2022,L,5311.25,5310.0,5287.0,STOP,-23.0,23.25,23.0,84277,195900,1
2022-03-30,2022,S,5427.25,5428.5,5424.25,EOD,4.25,6.5,19.25,122672,286350,-1
2022-04-07,2022,S,5280.0,5281.25,5298.0,STOP,-16.75,16.75,16.75,165203,229876,-1
2022-04-07,2022,S,5276.0,5277.25,5294.0,STOP,-16.75,16.75,16.75,192979,218188,-1
2022-04-07,2022,S,5291.75,5293.0,5309.75,STOP,-16.75,16.75,16.75,246196,253633,-1
