date,yr,dir,trig,entry,exit,outcome,pts,stop_pts
2021-07-22,2021,L,5155.0,5153.5,5162.5,EOD,9.0,11.75
2021-07-23,2021,L,5195.75,5194.25,5200.5,EOD,6.25,11.0
2021-07-23,2021,L,5202.75,5201.25,5200.5,EOD,-0.75,11.0
2021-07-27,2021,S,5174.0,5175.5,5186.5,STOP,-11.0,11.0
2021-07-30,2021,L,5193.25,5191.75,5194.25,EOD,2.5,11.0
2021-08-02,2021,S,5204.5,5206.0,5183.0,EOD,23.0,10.25
2021-08-02,2021,S,5192.75,5194.25,5183.0,EOD,11.25,10.25
2021-08-05,2021,L,5213.0,5211.5,5219.75,EOD,8.25,8.75
2021-08-12,2021,L,5246.0,5244.5,5253.25,EOD,8.75,6.75
2021-08-12,2021,L,5247.75,5246.25,5253.25,EOD,7.0,6.75
2021-08-13,2021,L,5257.75,5256.25,5261.0,EOD,4.75,7.0
2021-08-25,2021,L,5295.5,5294.0,5292.75,EOD,-1.25,9.75
2021-08-26,2021,S,5271.25,5272.75,5282.75,STOP,-10.0,10.0
2021-08-26,2021,S,5272.25,5273.75,5267.25,EOD,6.5,10.0
2021-08-27,2021,L,5300.25,5298.75,5303.75,EOD,5.0,10.0
2021-08-27,2021,L,5307.75,5306.25,5303.75,EOD,-2.5,10.0
2021-08-30,2021,L,5331.75,5330.25,5326.5,EOD,-3.75,10.75
2021-08-31,2021,L,5323.0,5321.5,5325.75,EOD,4.25,10.25
2021-09-08,2021,S,5295.75,5297.25,5303.5,STOP,-6.25,6.25
2021-09-09,2021,S,5295.5,5297.0,5303.75,STOP,-6.75,6.75
2021-10-18,2021,L,5281.25,5279.75,5285.75,EOD,6.0,14.5
2021-10-19,2021,L,5304.25,5302.75,5323.25,EOD,20.5,13.5
2021-10-19,2021,L,5308.75,5307.25,5323.25,EOD,16.0,13.5
2021-10-19,2021,L,5317.25,5315.75,5323.25,EOD,7.5,13.5
2021-10-20,2021,L,5336.0,5334.5,5334.0,EOD,-0.5,12.5
2021-10-22,2021,S,5349.75,5351.25,5343.75,EOD,7.5,10.5
2021-10-22,2021,S,5332.5,5334.0,5344.5,STOP,-10.5,10.5
2021-10-27,2021,S,5371.75,5373.25,5383.0,STOP,-9.75,9.75
2021-10-27,2021,L,5382.5,5381.0,5371.25,STOP,-9.75,9.75
2021-10-28,2021,L,5390.75,5389.25,5380.0,STOP,-9.25,9.25
2021-10-29,2021,S,5381.25,5382.75,5391.75,STOP,-9.0,9.0
2021-11-04,2021,L,5483.25,5481.75,5472.0,STOP,-9.75,9.75
2021-11-04,2021,S,5467.75,5469.25,5479.0,STOP,-9.75,9.75
2021-11-05,2021,S,5499.0,5500.5,5493.5,EOD,7.0,9.5
2021-11-09,2021,S,5476.75,5478.25,5487.25,STOP,-9.0,9.0
2021-11-15,2021,S,5489.75,5491.25,5490.75,EOD,0.5,9.5
2021-11-16,2021,L,5511.75,5510.25,5506.5,EOD,-3.75,9.5
2021-11-16,2021,L,5516.0,5514.5,5505.0,STOP,-9.5,9.5
2021-11-17,2021,S,5493.0,5494.5,5504.25,STOP,-9.75,9.75
2021-11-18,2021,S,5486.0,5487.5,5496.5,STOP,-9.0,9.0
2021-11-19,2021,L,5517.75,5516.25,5506.75,STOP,-9.5,9.5
2021-11-24,2021,L,5495.25,5493.75,5508.75,EOD,15.0,10.75
2021-11-24,2021,L,5502.75,5501.25,5490.5,STOP,-10.75,10.75
2021-12-09,2021,S,5490.5,5492.0,5473.75,EOD,18.25,22.5
2021-12-09,2021,S,5490.25,5491.75,5473.75,EOD,18.0,22.5
2021-12-13,2021,S,5484.5,5486.0,5478.5,EOD,7.5,21.5
2021-12-16,2021,S,5525.25,5526.75,5481.0,EOD,45.75,19.0
2021-12-16,2021,S,5509.5,5511.0,5481.0,EOD,30.0,19.0
2021-12-27,2021,L,5577.75,5576.25,5597.5,EOD,21.25,18.25
2021-12-29,2021,S,5598.0,5599.5,5599.5,EOD,0.0,18.0
2021-12-31,2021,S,5582.0,5583.5,5580.25,EOD,3.25,15.0
2022-01-04,2022,S,5614.5,5616.0,5598.0,EOD,18.0,12.5
2022-01-04,2022,S,5587.75,5589.25,5601.75,STOP,-12.5,12.5
2022-01-05,2022,S,5582.75,5584.25,5514.75,EOD,69.5,12.25
2022-02-02,2022,L,5381.25,5379.75,5362.0,EOD,-17.75,37.0
2022-03-18,2022,L,5254.0,5252.5,5280.25,EOD,27.75,27.0
2022-03-23,2022,L,5311.25,5309.75,5286.75,STOP,-23.0,23.0
2022-03-30,2022,S,5427.25,5428.75,5424.25,EOD,4.5,19.25
2022-04-07,2022,S,5280.0,5281.5,5298.25,STOP,-16.75,16.75
2022-04-07,2022,S,5276.0,5277.5,5294.25,STOP,-16.75,16.75
2022-04-07,2022,S,5291.75,5293.25,5310.0,STOP,-16.75,16.75
2022-05-26,2022,L,4887.25,4885.75,4871.75,EOD,-14.0,26.25
2022-06-02,2022,L,4920.0,4918.5,4993.5,EOD,75.0,27.0
2022-06-02,2022,L,4939.75,4938.25,4993.5,EOD,55.25,27.0
2022-06-09,2022,S,4915.0,4916.5,4843.5,EOD,73.0,22.75
2022-07-21,2022,L,4811.5,4810.0,4812.5,EOD,2.5,18.5
2022-07-22,2022,S,4794.0,4795.5,4784.75,EOD,10.75,19.25
2022-07-28,2022,L,4875.75,4874.25,4903.25,EOD,29.0,19.5
2022-07-28,2022,L,4894.5,4893.0,4903.25,EOD,10.25,19.5
2022-08-02,2022,L,4936.0,4934.5,4915.0,STOP,-19.5,19.5
2022-08-04,2022,L,4984.0,4982.5,4963.25,STOP,-19.25,19.25
2022-10-20,2022,L,4539.75,4538.25,4513.25,STOP,-25.0,25.0
