date,yr,dir,trig,entry,exit,outcome,pts,mae_pts,stop_pts,fill_tick,exit_tick,sgn
2021-07-22,2021,L,5155.0,5153.5,5162.5,EOD,9.0,0.25,11.75,105598,148432,1
2021-07-23,2021,L,5195.75,5194.25,5200.5,EOD,6.25,0.75,11.0,86122,154771,1
2021-07-23,2021,L,5202.75,5201.25,5200.5,EOD,-0.75,5.25,11.0,113726,154771,1
2021-07-27,2021,S,5174.0,5175.5,5186.5,STOP,-11.0,19.0,11.0,166992,211910,-1
2021-07-30,2021,L,5193.25,5191.75,5194.25,EOD,2.5,10.0,11.0,111976,188736,1
2021-08-02,2021,S,5204.5,5206.0,5183.0,EOD,23.0,5.75,10.25,28732,173641,-1
2021-08-02,2021,S,5192.75,5194.25,5183.0,EOD,11.25,2.0,10.25,111198,173641,-1
2021-08-05,2021,L,5213.0,5211.5,5219.75,EOD,8.25,4.25,8.75,57237,113576,1
2021-08-12,2021,L,5246.0,5244.5,5253.25,EOD,8.75,0.25,6.75,56975,92200,1
2021-08-12,2021,L,5247.75,5246.25,5253.25,EOD,7.0,0.5,6.75,62748,92200,1
2021-08-13,2021,L,5257.75,5256.25,5261.0,EOD,4.75,1.0,7.0,33917,98798,1
2021-08-25,2021,L,5295.5,5294.0,5292.75,EOD,-1.25,3.25,9.75,71544,110487,1
2021-08-26,2021,S,5271.25,5272.75,5282.75,STOP,-10.0,10.0,10.0,76838,121093,-1
2021-08-26,2021,S,5272.25,5273.75,5267.25,EOD,6.5,0.5,10.0,164958,212714,-1
2021-08-27,2021,L,5300.25,5298.75,5303.75,EOD,5.0,3.5,10.0,94736,184016,1
2021-08-27,2021,L,5307.75,5306.25,5303.75,EOD,-2.5,3.5,10.0,135059,184016,1
2021-08-30,2021,L,5331.75,5330.25,5326.5,EOD,-3.75,6.75,10.75,74398,129830,1
2021-08-31,2021,L,5323.0,5321.5,5325.75,EOD,4.25,6.5,10.25,65367,176878,1
2021-09-08,2021,S,5295.75,5297.25,5303.5,STOP,-6.25,6.25,6.25,125165,135981,-1
2021-09-09,2021,S,5295.5,5297.0,5303.75,STOP,-6.75,6.75,6.75,42410,55474,-1
2021-10-18,2021,L,5281.25,5279.75,5285.75,EOD,6.0,1.75,14.5,108913,148466,1
2021-10-19,2021,L,5304.25,5302.75,5323.25,EOD,20.5,1.0,13.5,38317,150643,1
2021-10-19,2021,L,5308.75,5307.25,5323.25,EOD,16.0,0.5,13.5,59730,150643,1
