date,dir,pts,outcome,mode
2026-04-09,L,-7.5,EOD,flip
2026-04-10,S,-5.0,EOD,flip
2026-04-13,L,39.0,EOD,flip
2026-04-15,L,16.75,EOD,flip
2026-04-20,S,-10.75,EOD,flip
2026-04-21,S,9.0,EOD,flip
2026-04-22,L,3.25,EOD,flip
2026-04-27,S,-4.5,FLIP,flip
2026-04-27,L,7.75,EOD,flip
2026-04-29,S,-16.75,STOP,flip
2026-05-04,S,-17.5,STOP,flip
2026-05-07,L,-18.0,STOP,flip
2026-05-07,S,-18.0,STOP,flip
2026-05-13,L,43.75,EOD,flip
2026-05-18,L,-18.0,STOP,flip
2026-05-20,L,6.0,EOD,flip
2026-05-28,L,15.0,EOD,flip
2026-06-01,L,-9.75,EOD,flip
2026-06-03,S,11.5,EOD,flip
2026-06-16,S,31.75,EOD,flip
2026-06-17,S,83.0,EOD,flip
2026-07-01,L,-15.0,FLIP,flip
2026-07-01,S,21.5,EOD,flip
2026-07-02,S,6.0,EOD,flip
2026-07-06,L,17.0,EOD,flip
2026-07-10,L,15.5,EOD,flip
2026-07-13,S,35.5,EOD,flip
2026-07-14,L,5.5,EOD,flip
2026-07-15,S,-12.75,EOD,flip
2026-07-16,S,29.25,EOD,flip
2026-07-22,L,-18.75,STOP,flip
2026-08-05,S,11.25,EOD,flip
2026-08-07,L,-7.25,EOD,flip
2026-08-17,S,10.0,EOD,flip
2026-08-19,S,7.0,EOD,flip
2026-08-20,S,33.0,EOD,flip
2026-08-21,L,-13.0,STOP,flip
2026-08-24,L,-6.5,EOD,flip
2026-08-25,S,-12.75,STOP,flip
2026-08-25,S,-12.75,STOP,flip
2026-08-28,S,-12.0,STOP,flip
2026-09-03,L,-10.0,EOD,flip
2026-09-04,L,-14.0,STOP,flip
2026-04-09,L,-7.5,EOD,ignore
2026-04-10,S,-5.0,EOD,ignore
2026-04-13,L,39.0,EOD,ignore
2026-04-15,L,16.75,EOD,ignore
2026-04-20,S,-10.75,EOD,ignore
2026-04-21,S,9.0,EOD,ignore
2026-04-22,L,3.25,EOD,ignore
2026-04-27,S,-12.25,EOD,ignore
2026-04-29,S,-16.75,STOP,ignore
2026-05-04,S,-17.5,STOP,ignore
2026-05-07,L,-18.0,STOP,ignore
2026-05-07,S,-18.0,STOP,ignore
