date,side,dir,time,bar,trig,regime,event,reason,status
2026-06-01,NT,L,11:25:00,33,7656.0,BEAR,SKIP,WARM,MATCH
2026-06-01,NT,L,13:25:00,57,7688.25,BULL,SKIP,WARM,MATCH
2026-06-01,PY,S,09:30:00,11,7647.75,NEUTRAL,,,PY_ONLY
2026-06-02,NT,S,09:25:00,10,7668.75,NEUTRAL,SKIP,WARM,MATCH
2026-06-02,NT,S,14:45:00,74,7682.25,BULL,SKIP,WARM,MATCH
2026-06-03,NT,L,09:30:00,11,7654.75,NEUTRAL,SKIP,WARM,MATCH
2026-06-03,NT,S,10:20:00,21,7647.75,NEUTRAL,SKIP,WARM,MATCH
2026-06-03,NT,S,11:20:00,33,7638.5,BEAR,SKIP,WARM,MATCH
2026-06-03,NT,L,12:25:00,46,7632.5,NEUTRAL,SKIP,WARM,MATCH
2026-06-03,NT,L,14:20:00,69,7640.75,NEUTRAL,SKIP,WARM,MATCH
2026-06-04,NT,S,09:25:00,10,7620.25,BULL,SKIP,WARM,MATCH
2026-06-05,NT,S,09:45:00,14,7585.75,NEUTRAL,SKIP,WARM,MATCH
2026-06-05,NT,S,10:40:00,25,7561.75,BEAR,SKIP,WARM,MATCH
2026-06-05,NT,S,12:15:00,44,7518.5,BEAR,SKIP,WARM,MATCH
2026-06-05,NT,S,15:00:00,77,7470.0,BEAR,SKIP,WARM,MATCH
2026-06-08,NT,S,09:45:00,14,7511.0,BULL,SKIP,WARM,MATCH
2026-06-08,NT,S,13:00:00,53,7493.0,BEAR,SKIP,WARM,MATCH
2026-06-08,NT,S,14:55:00,76,7474.75,NEUTRAL,SKIP,WARM,MATCH
2026-06-09,NT,S,09:45:00,14,7487.25,NEUTRAL,SKIP,WARM,MATCH
2026-06-09,NT,S,10:20:00,21,7451.0,BEAR,SKIP,WARM,MATCH
2026-06-09,NT,S,11:00:00,29,7393.0,BEAR,SKIP,WARM,MATCH
2026-06-09,NT,S,11:40:00,37,7346.0,BEAR,SKIP,WARM,MATCH
2026-06-09,NT,S,12:15:00,44,7357.75,NEUTRAL,SKIP,WARM,MATCH
2026-06-09,NT,L,13:10:00,55,7416.25,BULL,SKIP,WARM,MATCH
2026-06-10,NT,S,10:50:00,27,7385.25,BULL,SKIP,WARM,MATCH
2026-06-10,NT,S,11:25:00,34,7382.75,NEUTRAL,SKIP,WARM,MATCH
2026-06-10,NT,L,14:05:00,66,7361.0,BEAR,SKIP,WARM,MATCH
2026-06-11,NT,L,09:40:00,13,7375.0,NEUTRAL,SKIP,WARM,MATCH
2026-06-11,NT,L,13:15:00,56,7420.75,BEAR,SKIP,WARM,MATCH
2026-06-12,NT,S,09:45:00,14,7476.5,BULL,SKIP,WARM,MATCH
2026-06-15,NT,S,09:35:00,12,7610.25,NEUTRAL,SKIP,WARM,MATCH
2026-06-16,NT,S,10:00:00,17,7612.25,BEAR,SKIP,WARM,MATCH
2026-06-16,NT,L,11:45:00,38,7611.25,BEAR,SKIP,WARM,MATCH
2026-06-17,NT,S,12:35:00,48,7574.0,BEAR,SKIP,WARM,MATCH
2026-06-17,NT,S,13:55:00,64,7566.0,BULL,SKIP,WARM,MATCH
2026-06-17,NT,S,15:15:00,80,7492.5,BEAR,SKIP,WARM,MATCH
2026-06-18,NT,L,09:05:00,6,7547.75,NEUTRAL,SKIP,WARM,MATCH
2026-06-22,NT,S,09:10:00,7,7590.75,BULL,SKIP,WARM,MATCH
2026-06-22,NT,S,10:20:00,21,7536.0,BEAR,SKIP,WARM,MATCH
2026-06-24,NT,S,09:15:00,8,7447.5,BEAR,SKIP,WARM,MATCH
2026-06-24,NT,L,10:30:00,23,7490.75,NEUTRAL,SKIP,WARM,MATCH
2026-06-24,NT,S,13:00:00,53,7416.0,BEAR,SKIP,WARM,MATCH
2026-06-25,NT,S,09:45:00,14,7452.0,BULL,SKIP,WARM,MATCH
2026-06-25,NT,S,14:15:00,68,7423.0,NEUTRAL,SKIP,WARM,MATCH
2026-06-26,NT,L,10:05:00,18,7423.75,NEUTRAL,SKIP,WARM,MATCH
2026-06-26,NT,L,11:35:00,36,7430.0,BEAR,SKIP,WARM,MATCH
2026-06-26,NT,L,14:45:00,74,7421.0,NEUTRAL,SKIP,WARM,MATCH
2026-06-29,NT,S,09:50:00,15,7457.0,NEUTRAL,SKIP,REG,MATCH
2026-06-30,NT,L,10:25:00,22,7536.5,NEUTRAL,SKIP,REG,MATCH
2026-06-30,NT,L,12:50:00,51,7553.75,NEUTRAL,SKIP,REG,MATCH
2026-06-30,NT,L,15:00:00,77,7561.25,BULL,SKIP,WIN,MATCH
2026-07-01,NT,L,10:05:00,18,7553.75,NEUTRAL,SKIP,REG,MATCH
2026-07-01,NT,L,11:00:00,29,7573.25,BULL,FIRE,OK,MATCH
2026-07-01,NT,S,12:35:00,48,7563.25,NEUTRAL,SKIP,REG,MATCH
2026-07-01,NT,S,13:45:00,62,7555.25,BEAR,FIRE,OK,MATCH
2026-07-01,NT,L,15:15:00,80,7535.25,BEAR,SKIP,REG,MATCH
2026-07-02,NT,S,09:25:00,10,7582.0,NEUTRAL,SKIP,REG,MATCH
2026-07-02,NT,S,10:10:00,19,7540.75,NEUTRAL,SKIP,REG,MATCH
2026-07-02,NT,S,10:35:00,24,7528.75,BEAR,FIRE,OK,MATCH
2026-07-02,NT,S,12:00:00,41,7505.5,BEAR,FIRE,OK,MATCH
2026-07-02,NT,S,12:40:00,49,7493.25,BEAR,SKIP,SMA,MATCH
2026-07-03,NT,L,09:20:00,9,7552.25,BEAR,SKIP,REG,MATCH
2026-07-03,NT,L,10:15:00,20,7559.0,NEUTRAL,SKIP,REG,MATCH
2026-07-06,NT,L,09:10:00,7,7569.0,NEUTRAL,SKIP,REG,MATCH
2026-07-06,NT,L,10:25:00,22,7581.0,BULL,FIRE,OK,MATCH
2026-07-06,NT,L,11:10:00,31,7588.25,BULL,FIRE,OK,MATCH
2026-07-06,NT,L,13:05:00,54,7580.75,NEUTRAL,SKIP,REG,MATCH
2026-07-07,NT,L,09:05:00,6,7569.0,BEAR,SKIP,REG,MATCH
2026-07-07,NT,L,14:50:00,75,7545.5,NEUTRAL,SKIP,REG,MATCH
2026-07-08,NT,S,09:15:00,8,7512.75,NEUTRAL,SKIP,REG,MATCH
2026-07-08,NT,S,10:15:00,20,7488.75,BEAR,SKIP,SMA,MATCH
2026-07-08,NT,L,13:15:00,56,7529.25,NEUTRAL,SKIP,REG,MATCH
2026-07-09,NT,S,10:20:00,21,7565.5,BULL,SKIP,REG,MATCH
2026-07-10,NT,S,09:10:00,7,7598.5,BULL,SKIP,REG,MATCH
