date,yr,dir,mae,eod,adr10
2021-07-22,2021,L,0.25,9.0,38.975
2021-07-23,2021,L,0.75,6.25,36.9
2021-07-23,2021,L,5.25,-0.75,36.9
2021-07-27,2021,S,19.5,-10.0,36.35
2021-07-30,2021,L,10.0,2.5,36.95
2021-08-02,2021,S,5.75,23.0,34.075
2021-08-02,2021,S,2.0,11.25,34.075
2021-08-05,2021,L,4.25,8.25,29.425
2021-08-12,2021,L,0.25,8.75,22.425
2021-08-12,2021,L,0.5,7.0,22.425
2021-08-13,2021,L,1.0,4.75,23.025
2021-08-25,2021,L,3.25,-1.25,32.55
2021-08-26,2021,S,11.0,5.5,33.025
2021-08-26,2021,S,0.5,6.5,33.025
2021-08-27,2021,L,3.5,5.0,33.125
2021-08-27,2021,L,3.5,-2.5,33.125
2021-08-30,2021,L,6.75,-3.75,35.85
2021-08-31,2021,L,6.5,4.25,33.85
2021-09-08,2021,S,17.0,-14.0,21.05
2021-09-09,2021,S,7.75,5.5,22.775
2021-10-18,2021,L,1.75,6.0,48.5
2021-10-19,2021,L,1.0,20.5,45.1
2021-10-19,2021,L,0.5,16.0,45.1
2021-10-19,2021,L,6.25,7.5,45.1
2021-10-20,2021,L,10.5,-0.5,41.825
2021-10-22,2021,S,9.25,7.5,35.025
2021-10-22,2021,S,20.75,-9.75,35.025
2021-10-27,2021,S,12.0,17.0,32.525
2021-10-27,2021,L,28.25,-24.75,32.525
2021-10-28,2021,L,10.5,2.5,31.225
2021-10-29,2021,S,27.25,-26.25,30.175
2021-11-04,2021,L,16.25,0.0,32.175
2021-11-04,2021,S,14.25,-12.5,32.175
2021-11-05,2021,S,5.25,7.0,31.65
2021-11-09,2021,S,10.75,-6.75,30.275
2021-11-15,2021,S,3.25,0.5,31.3
2021-11-16,2021,L,6.75,-3.75,31.325
2021-11-16,2021,L,11.0,-8.0,31.325
2021-11-17,2021,S,11.25,0.5,32.6
2021-11-18,2021,S,26.5,-20.5,29.95
2021-11-19,2021,L,17.25,-12.0,31.625
2021-11-24,2021,L,7.0,15.0,35.825
2021-11-24,2021,L,14.5,7.5,35.825
2021-12-09,2021,S,11.5,18.25,75.075
2021-12-09,2021,S,11.75,18.0,75.075
2021-12-13,2021,S,11.0,7.5,71.6
2021-12-16,2021,S,2.25,45.75,63.275
2021-12-16,2021,S,4.0,30.0,63.275
2021-12-27,2021,L,0.75,21.25,60.85
2021-12-29,2021,S,12.75,0.0,60.1
2021-12-31,2021,S,11.0,3.25,50.0
2022-01-04,2022,S,6.5,18.0,41.3
2022-01-04,2022,S,25.25,-8.75,41.3
2022-01-05,2022,S,9.5,69.5,40.6
2022-02-02,2022,L,22.25,-17.75,123.025
2022-03-18,2022,L,5.5,27.75,89.775
