detecting 21 variants ...
  default          15444 signals
  ABRx1.5          14907 signals
  ABRx2.0          12616 signals
  ABRx3.0          5984 signals
  IBS60            12440 signals
  IBS70            8488 signals
  IBS80            4604 signals
  FT_ABR0.5        15228 signals
  FT_ABR1.0        8099 signals
  FT_CB_off        18563 signals
  FT_UL20          15108 signals
  PriorOpp         12889 signals
  OB_strict        14856 signals
  OB_CB            14568 signals
  BodyChecks       13349 signals
  BiggerBody       10090 signals
  Trap_tail40      13819 signals
  Trap_ABR0.6      14961 signals
  IB_ptail20       13759 signals
  ABRx2+IBS70      7018 signals
  ABRx2+PriorOpp   10751 signals
sim (one pass over days)...
       variant   sig  tr_n  tr_pnl  tr_pf  tr_win  tr_dd  oo_n  oo_pnl  oo_pf  oo_win  oo_dd  both
     OB_strict 14856  1532   12615   1.02    32.9 -31818  1445   44800   1.07    33.3 -30515  True
    BodyChecks 13349  1481    7695   1.01    33.4 -32330  1400   40400   1.07    33.8 -46092  True
     FT_ABR1.0  8099  1337   19290   1.04    34.4 -30688  1308   35848   1.07    33.5 -44842  True
         OB_CB 14568  1542  -18560   0.97    32.0 -56390  1455   30588   1.05    32.4 -40228 False
    BiggerBody 10090  1410     538   1.00    32.9 -25878  1341   27408   1.05    33.0 -36955  True
     FT_CB_off 18563  1613   -5765   0.99    31.6 -39158  1527   24265   1.04    31.6 -55555 False
       default 15444  1531     120   1.00    32.6 -38262  1465   22825   1.04    32.6 -47220  True
         IBS60 12440  1479  -11595   0.98    32.2 -35282  1428   21935   1.04    32.1 -51598 False
         IBS70  8488  1354   -2095   1.00    33.3 -25338  1297   21690   1.04    32.8 -56728 False
   ABRx2+IBS70  7018  1314  -28795   0.94    33.4 -40012  1226   21332   1.04    33.3 -50882 False
   Trap_tail40 13819  1503    3222   1.01    32.7 -34868  1460   21175   1.03    32.5 -51248  True
     FT_ABR0.5 15228  1525   -2288   1.00    32.5 -41680  1463   20798   1.03    32.8 -46215 False
       FT_UL20 15108  1536  -13530   0.98    32.3 -43832  1463   18572   1.03    32.5 -50200 False
   Trap_ABR0.6 14961  1532   -6248   0.99    32.8 -48722  1444   15918   1.03    33.2 -48415 False
       ABRx1.5 14907  1531   -1642   1.00    32.6 -46968  1454   13192   1.02    32.9 -51572 False
      PriorOpp 12889  1501   18795   1.03    32.4 -38570  1445   11462   1.02    31.9 -43800  True
    IB_ptail20 13759  1509    1692   1.00    32.5 -29792  1475    5638   1.01    31.3 -60390  True
         IBS80  4604  1127  -56135   0.87    32.1 -65608  1068    4648   1.01    32.3 -42508 False
ABRx2+PriorOpp 10751  1469   17080   1.03    33.2 -41510  1419  -12358   0.98    31.6 -67888 False
       ABRx3.0  5984  1275  -45062   0.91    32.1 -53632  1229  -15895   0.97    33.2 -40508 False
       ABRx2.0 12616  1508    5098   1.01    33.4 -34808  1451  -21205   0.97    31.3 -65138 False

*** BOTH-HALVES POSITIVE ***
    variant   sig  tr_n  tr_pnl  tr_pf  tr_win  tr_dd  oo_n  oo_pnl  oo_pf  oo_win  oo_dd  both
  OB_strict 14856  1532   12615   1.02    32.9 -31818  1445   44800   1.07    33.3 -30515  True
 BodyChecks 13349  1481    7695   1.01    33.4 -32330  1400   40400   1.07    33.8 -46092  True
  FT_ABR1.0  8099  1337   19290   1.04    34.4 -30688  1308   35848   1.07    33.5 -44842  True
 BiggerBody 10090  1410     538   1.00    32.9 -25878  1341   27408   1.05    33.0 -36955  True
    default 15444  1531     120   1.00    32.6 -38262  1465   22825   1.04    32.6 -47220  True
Trap_tail40 13819  1503    3222   1.01    32.7 -34868  1460   21175   1.03    32.5 -51248  True
   PriorOpp 12889  1501   18795   1.03    32.4 -38570  1445   11462   1.02    31.9 -43800  True
 IB_ptail20 13759  1509    1692   1.00    32.5 -29792  1475    5638   1.01    31.3 -60390  True

DONE_DETECT
