cfg,n,pnl,pf,ndd,shp,tr_pf,tr_pnl,oo_pf,oo_pnl,green,both
adx>25,1796,53258,1.08,1.8,0.5,1.02,8058,1.13,45200,2/6,True
baseline strong-FT,2645,55138,1.05,1.0,0.38,1.04,19290,1.07,35848,4/6,True
ext10,1455,34838,1.07,0.8,0.35,0.93,-16512,1.18,51350,4/6,False
adx>20,2232,34240,1.04,0.7,0.27,1.04,18290,1.04,15950,4/6,True
ext20,1145,28750,1.07,0.6,0.34,0.87,-24952,1.24,53702,3/6,False
ext20 & er>0.3 & below,321,12795,1.09,0.6,0.53,1.01,892,1.17,11902,3/6,True
ext20 & er>0.3 & adx>20,673,9748,1.04,0.3,0.2,0.89,-12338,1.16,22085,3/6,False
er>0.3,2033,10422,1.01,0.2,0.09,0.96,-16412,1.07,26835,4/6,False
ext20 & er>0.3,824,3880,1.01,0.1,0.07,0.92,-10708,1.09,14588,2/6,False
ext20+poke & er>0.3 & adx>20,595,1438,1.01,0.0,0.03,0.84,-16082,1.14,17520,3/6,False
ext20 & adx>20,890,-1175,1.0,-0.0,-0.02,0.79,-33642,1.19,32468,4/6,False
er>0.4,1680,-6788,0.99,-0.2,-0.07,1.02,5835,0.96,-12622,4/6,False
ext20+poke,983,-23602,0.94,-0.4,-0.38,0.81,-32818,1.04,9215,2/6,False
