cfg,tr_n,tr_pnl,tr_pf,tr_win,tr_dd,oo_n,oo_pnl,oo_pf,oo_win,oo_dd
Trap+BO+OB+IB|eod|below,632,-2985,0.99,30.9,-27745,456,41082,1.15,30.3,-31045
BO+IB+Trap|eod,1368,-5378,0.99,29.5,-30318,1349,37992,1.07,30.2,-58715
BO|rr2,896,-19992,0.94,38.4,-45775,896,30032,1.08,39.0,-16272
BO|eod,780,-21550,0.93,31.7,-58028,797,20152,1.06,33.4,-32252
BO+IB|eod|below,501,-9942,0.96,31.1,-40215,353,14935,1.07,32.9,-33192
BO+IB|eod|open,626,-3555,0.99,30.7,-31015,656,13858,1.04,30.3,-54720
ALL|eod|open,977,3628,1.01,30.3,-28035,981,13270,1.03,29.6,-37430
BO+IB+OB|eod,1214,-22720,0.95,30.5,-45415,1197,7290,1.01,31.3,-50812
BO+IB+OB|rr2,1575,-42638,0.92,36.8,-50890,1569,-970,1.0,37.9,-37868
BO+IB|eod,1101,-29505,0.93,30.0,-53965,1100,-1688,1.0,31.2,-69085
BO+IB|rr2,1357,-31685,0.93,37.4,-50635,1344,-3482,0.99,37.2,-45135
IB|eod,766,-22505,0.91,25.6,-32725,755,-5738,0.98,26.9,-44118
ALL|eod|LONG,1207,-3685,0.99,29.5,-36665,1245,-5988,0.99,29.5,-38142
ALL|retest|eod,1384,-18045,0.97,30.0,-32830,1395,-9775,0.98,28.9,-49612
ALL|eod,1381,-16418,0.97,30.0,-32150,1396,-10692,0.98,28.8,-51180
BO+IB+Trap|rr2,1910,-25712,0.96,36.5,-40555,1873,-10928,0.98,36.8,-52445
BO+IB|eod|above,654,-14945,0.93,30.1,-25390,777,-12548,0.95,30.8,-42722
Trap|eod,1141,-2868,0.99,25.9,-41142,1172,-17172,0.96,26.0,-72962
ALL|retest|rr2,1960,-33438,0.95,37.3,-44240,1976,-30042,0.96,36.5,-50068
ALL|rr2,1961,-31168,0.95,37.3,-42402,1980,-33075,0.96,36.4,-52102
OB|eod,665,-5762,0.98,30.1,-18508,640,-33462,0.89,28.1,-39928
IB|rr2,867,-16998,0.93,34.9,-23515,850,-37462,0.86,34.2,-44288
ALL|eod|SHORT,1193,-27278,0.94,24.3,-51162,1191,-40242,0.92,24.2,-68492
Trap|rr2,1452,-42472,0.9,34.1,-48698,1495,-43712,0.91,34.8,-58238
Trap+BO+OB+IB|eod|above,835,-6262,0.98,29.9,-25520,1007,-45285,0.88,28.0,-56432
OB|rr2,736,-16480,0.93,36.7,-24238,697,-51072,0.83,33.9,-52755
