MODE=fscalp  12 configs, loading ticks once/day ...
saved scan_fscalp.csv
                     cfg  tr_n  tr_pnl  tr_pf  tr_win  tr_dd  tr_ndd  tr_shp  oo_n  oo_pnl  oo_pf  oo_win   oo_dd  oo_ndd  oo_shp
fd_x2.5_a20_sb2.0_vwap_v  1169  -60958   0.71    31.9 -61120    -1.0   -3.25  1213  -64678   0.75    31.7  -69228    -0.9   -2.84
fd_x2.5_a20_sb1.0_vwap_v  1372  -65722   0.70    28.5 -66090    -1.0   -3.49  1406  -82568   0.70    28.1  -86508    -1.0   -3.55
fd_x2.0_a20_sb2.0_vwap_v  1352  -67485   0.72    32.0 -67648    -1.0   -3.26  1450  -68712   0.77    31.5  -74262    -0.9   -2.64
fd_x2.5_a14_sb2.0_vwap_v  1330  -67525   0.72    31.4 -67898    -1.0   -3.30  1409  -62945   0.78    32.0  -68825    -0.9   -2.43
fd_x1.5_a20_sb2.0_vwap_v  1457  -72060   0.72    31.6 -72222    -1.0   -3.27  1566  -72668   0.77    31.5  -77045    -0.9   -2.68
fd_x2.5_a14_sb1.0_vwap_v  1576  -73092   0.72    28.2 -73522    -1.0   -3.49  1635  -88075   0.72    28.3  -92272    -1.0   -3.29
fd_x2.0_a20_sb1.0_vwap_v  1634  -74270   0.71    28.3 -74755    -1.0   -3.48  1725  -86950   0.73    28.4  -91702    -0.9   -3.18
fd_x2.0_a14_sb2.0_vwap_v  1538  -80378   0.71    31.3 -80845    -1.0   -3.58  1644  -66595   0.80    31.9  -72218    -0.9   -2.33
fd_x1.5_a20_sb1.0_vwap_v  1842  -82072   0.72    28.0 -82668    -1.0   -3.60  1937  -95072   0.73    28.3  -98380    -1.0   -3.29
fd_x1.5_a14_sb2.0_vwap_v  1667  -86635   0.71    31.1 -87102    -1.0   -3.61  1796  -69530   0.81    31.8  -73982    -0.9   -2.31
fd_x2.0_a14_sb1.0_vwap_v  1872  -88585   0.71    28.0 -88892    -1.0   -3.84  1980  -90162   0.75    28.7  -92302    -1.0   -2.99
fd_x1.5_a14_sb1.0_vwap_v  2117  -99360   0.71    27.9 -99895    -1.0   -4.06  2230 -103788   0.75    28.1 -105315    -1.0   -3.24
