MODE=gscalp  24 configs, loading ticks once/day ...
saved scan_gscalp.csv
                         cfg  tr_n  tr_pnl  tr_pf  tr_win  tr_dd  tr_ndd  tr_shp  oo_n  oo_pnl  oo_pf  oo_win  oo_dd  oo_ndd  oo_shp
gb_or6_r4_rr2.0_tod6-48_x1.2   251   -1342   0.96    38.2  -4398    -0.3   -0.35   331  -17768   0.66    30.5 -19335    -0.9   -3.46
gb_or6_r4_rr3.0_tod6-48_x1.2   249   -3132   0.92    30.5  -7285    -0.4   -0.69   330  -16400   0.71    24.8 -18690    -0.9   -2.70
gb_or6_r6_rr3.0_tod6-48_x1.2   242   -4410   0.91    34.7  -7710    -0.6   -0.71   301   -8868   0.86    31.2 -15050    -0.6   -1.11
gb_or6_r6_rr2.0_tod6-48_x1.2   243   -4628   0.90    38.3  -8348    -0.6   -0.86   304   -8670   0.86    36.2 -13552    -0.6   -1.26
gb_or6_r5_rr2.0_tod6-48_x1.2   247   -5785   0.87    36.4  -7632    -0.8   -1.26   315  -10825   0.81    34.9 -12518    -0.9   -1.79
gb_or3_r6_rr2.0_tod3-48_x1.2   223   -6590   0.86    35.0 -10792    -0.6   -1.39   305   -1338   0.98    37.7  -8470    -0.2   -0.19
gb_or3_r5_rr2.0_tod3-48_x1.2   226   -6755   0.84    34.5  -9352    -0.7   -1.68   316   -5630   0.90    36.4  -7975    -0.7   -0.97
gb_or3_r4_rr3.0_tod3-48_x1.2   228   -6965   0.82    27.2  -9352    -0.7   -1.69   324   -7145   0.87    27.8  -9640    -0.7   -1.23
gb_or6_r5_rr3.0_tod6-48_x1.2   246   -8505   0.82    29.7 -10795    -0.8   -1.55   314  -12008   0.80    28.3 -16050    -0.7   -1.71
gb_or3_r4_rr2.0_tod3-48_x1.2   228   -9452   0.74    32.0 -11078    -0.9   -2.83   328   -5065   0.89    36.6  -8120    -0.6   -1.08
gb_or3_r5_rr3.0_tod3-48_x1.2   225  -11050   0.76    26.7 -14102    -0.8   -2.22   314  -13295   0.79    27.1 -14625    -0.9   -1.96
gb_or3_r6_rr3.0_tod3-48_x1.2   220  -13238   0.73    29.1 -16655    -0.8   -2.40   304   -6808   0.90    30.3 -11080    -0.6   -0.86
gb_or6_r6_rr3.0_tod6-48_x0.0  1354  -20658   0.92    34.9 -29245    -0.7   -0.83  1455  -25675   0.91    33.5 -35615    -0.7   -0.97
gb_or6_r5_rr3.0_tod6-48_x0.0  1457  -24885   0.91    32.5 -31922    -0.8   -1.09  1570  -41938   0.86    30.8 -45170    -0.9   -1.77
gb_or6_r6_rr2.0_tod6-48_x0.0  1374  -28458   0.89    38.1 -32362    -0.9   -1.31  1483  -35240   0.88    37.4 -43430    -0.8   -1.49
gb_or6_r5_rr2.0_tod6-48_x0.0  1483  -31852   0.87    36.9 -32042    -1.0   -1.61  1599  -33695   0.88    36.8 -37715    -0.9   -1.62
gb_or6_r4_rr2.0_tod6-48_x0.0  1647  -43898   0.82    35.2 -44038    -1.0   -2.49  1771  -56042   0.79    34.4 -58990    -1.0   -3.13
gb_or6_r4_rr3.0_tod6-48_x0.0  1611  -45005   0.83    29.3 -47945    -0.9   -2.21  1747  -49072   0.83    28.7 -52762    -0.9   -2.33
gb_or3_r6_rr2.0_tod3-48_x0.0  1480  -50150   0.83    36.2 -54945    -0.9   -2.17  1539  -34958   0.89    37.2 -41428    -0.8   -1.38
gb_or3_r5_rr3.0_tod3-48_x0.0  1565  -50300   0.83    30.4 -52708    -1.0   -2.13  1643  -51152   0.84    29.6 -56388    -0.9   -2.04
gb_or3_r5_rr2.0_tod3-48_x0.0  1592  -50498   0.82    35.3 -51000    -1.0   -2.41  1667  -47660   0.84    35.5 -50850    -0.9   -2.19
gb_or3_r4_rr3.0_tod3-48_x0.0  1719  -54382   0.81    28.3 -59038    -0.9   -2.58  1818  -53815   0.82    28.1 -57160    -0.9   -2.37
gb_or3_r6_rr3.0_tod3-48_x0.0  1456  -54518   0.82    32.4 -59662    -0.9   -2.09  1519  -28258   0.91    32.5 -37200    -0.8   -1.01
gb_or3_r4_rr2.0_tod3-48_x0.0  1754  -63508   0.76    33.8 -63788    -1.0   -3.49  1839  -59470   0.79    34.2 -60862    -1.0   -3.19
