MODE=pb  36 configs, loading ticks once/day ...
saved scan_pb.csv
                  cfg  tr_n  tr_pnl  tr_pf  tr_win   tr_dd  tr_ndd  tr_shp  oo_n  oo_pnl  oo_pf  oo_win   oo_dd  oo_ndd  oo_shp
pb_e40_a10_s2.0_rr3.0  1218  -63490   0.78    41.9  -65095    -1.0   -2.13  1207  -74285   0.76    40.3  -78818    -0.9   -2.05
pb_e40_a10_s2.0_rr2.0  1220  -64025   0.78    42.2  -64408    -1.0   -2.19  1214  -62508   0.80    40.9  -67465    -0.9   -1.72
pb_e40_a10_s1.5_rr2.0  1408  -64315   0.79    39.7  -65985    -1.0   -2.29  1396  -83830   0.75    38.2  -88010    -1.0   -2.47
pb_e40_a14_s2.0_rr3.0  1221  -64580   0.78    42.3  -65848    -1.0   -2.27  1208  -78852   0.75    40.2  -84412    -0.9   -2.18
pb_e40_a10_s2.0_rr2.5  1218  -65765   0.77    41.9  -67002    -1.0   -2.23  1208  -73415   0.77    40.5  -78135    -0.9   -2.03
pb_e40_a14_s2.0_rr2.0  1223  -66015   0.77    42.6  -66865    -1.0   -2.39  1213  -71990   0.77    40.7  -77125    -0.9   -2.03
pb_e40_a14_s2.0_rr2.5  1221  -66230   0.77    42.3  -67035    -1.0   -2.36  1209  -72558   0.77    40.4  -78305    -0.9   -1.95
pb_e40_a10_s1.5_rr2.5  1402  -66760   0.78    38.9  -68442    -1.0   -2.35  1391  -75842   0.77    37.6  -79585    -1.0   -2.08
pb_e40_a10_s1.5_rr3.0  1400  -67250   0.78    38.6  -68958    -1.0   -2.33  1385  -77700   0.77    37.3  -82605    -0.9   -2.11
pb_e40_a14_s1.5_rr3.0  1402  -69572   0.78    38.2  -71418    -1.0   -2.40  1378  -66890   0.80    37.2  -72082    -0.9   -1.83
pb_e40_a14_s1.5_rr2.0  1411  -70242   0.77    39.3  -71925    -1.0   -2.48  1389  -79908   0.76    38.1  -84150    -0.9   -2.45
pb_e40_a14_s1.5_rr2.5  1404  -70870   0.77    38.5  -72702    -1.0   -2.49  1384  -73545   0.78    37.4  -77950    -0.9   -2.14
pb_e40_a10_s1.0_rr2.0  1725  -77862   0.75    34.1  -77755    -1.0   -3.24  1718 -100815   0.71    33.2 -102242    -1.0   -3.47
pb_e40_a14_s1.0_rr2.0  1717  -78222   0.75    34.1  -78102    -1.0   -3.35  1716  -86155   0.75    33.6  -89498    -1.0   -2.72
pb_e20_a10_s2.0_rr3.0  2294  -80608   0.85    41.7  -92965    -0.9   -1.82  2306  -90118   0.84    43.6  -96325    -0.9   -1.84
pb_e20_a10_s2.0_rr2.5  2299  -81308   0.85    41.8  -93875    -0.9   -1.84  2313  -85378   0.85    43.8  -91222    -0.9   -1.74
pb_e20_a14_s2.0_rr3.0  2286  -83855   0.84    42.0  -89720    -0.9   -1.90  2303  -93640   0.84    43.7 -100698    -0.9   -1.89
pb_e20_a10_s2.0_rr2.0  2303  -84090   0.84    42.0  -94268    -0.9   -1.95  2323  -77002   0.87    43.9  -82840    -0.9   -1.57
pb_e20_a14_s2.0_rr2.5  2288  -84452   0.84    42.0  -88362    -1.0   -1.95  2310  -83400   0.86    43.9  -90082    -0.9   -1.65
pb_e40_a14_s1.0_rr3.0  1688  -84528   0.74    31.0  -84335    -1.0   -3.19  1680  -93025   0.73    31.2  -93350    -1.0   -3.02
pb_e40_a14_s1.0_rr2.5  1694  -85270   0.73    31.8  -85580    -1.0   -3.44  1690  -84525   0.75    32.5  -88122    -1.0   -2.81
pb_e40_a10_s1.0_rr3.0  1694  -88820   0.73    30.9  -88628    -1.0   -3.34  1682  -92760   0.73    31.1  -93612    -1.0   -2.92
pb_e20_a14_s2.0_rr2.0  2294  -89008   0.83    42.1  -91005    -1.0   -2.10  2318  -84378   0.85    44.0  -90780    -0.9   -1.72
pb_e40_a10_s1.0_rr2.5  1701  -90592   0.72    31.7  -90760    -1.0   -3.55  1691  -91355   0.74    32.3  -94098    -1.0   -2.93
pb_e20_a10_s1.5_rr3.0  2646  -98780   0.83    37.9 -101550    -1.0   -2.33  2633  -90428   0.86    40.1  -96500    -0.9   -1.75
pb_e20_a10_s1.5_rr2.0  2666 -101330   0.83    38.6 -102138    -1.0   -2.47  2661  -89342   0.86    41.0  -96580    -0.9   -1.84
pb_e20_a14_s1.5_rr2.0  2653 -103102   0.82    38.6 -103922    -1.0   -2.44  2642  -93135   0.85    41.2  -99760    -0.9   -1.94
pb_e20_a14_s1.5_rr3.0  2635 -103400   0.82    37.8 -106082    -1.0   -2.38  2617  -90472   0.86    40.2  -95982    -0.9   -1.77
pb_e20_a10_s1.5_rr2.5  2656 -105005   0.82    38.0 -106690    -1.0   -2.54  2642  -87060   0.86    40.4  -93352    -0.9   -1.71
pb_e20_a14_s1.5_rr2.5  2645 -107375   0.82    37.8 -110295    -1.0   -2.52  2627  -92372   0.85    40.4  -98128    -0.9   -1.86
pb_e20_a14_s1.0_rr3.0  3257 -125348   0.80    31.5 -125305    -1.0   -3.04  3199 -102745   0.84    33.9 -109020    -0.9   -2.11
pb_e20_a10_s1.0_rr3.0  3285 -129662   0.79    31.4 -129620    -1.0   -3.16  3226 -105630   0.84    33.4 -112290    -0.9   -2.16
pb_e20_a14_s1.0_rr2.5  3280 -136588   0.78    32.1 -136780    -1.0   -3.50  3247 -107460   0.84    34.7 -113180    -0.9   -2.29
pb_e20_a10_s1.0_rr2.5  3312 -138535   0.78    32.0 -138752    -1.0   -3.52  3273 -113502   0.83    34.2 -118150    -1.0   -2.39
pb_e20_a10_s1.0_rr2.0  3396 -138668   0.78    34.4 -138625    -1.0   -3.83  3361 -126418   0.81    35.9 -130635    -1.0   -2.84
pb_e20_a14_s1.0_rr2.0  3360 -142988   0.77    34.2 -142945    -1.0   -3.99  3336 -111768   0.83    36.3 -117295    -1.0   -2.41
