cfg,tr_n,tr_pnl,tr_pf,tr_win,tr_dd,tr_ndd,tr_shp,oo_n,oo_pnl,oo_pf,oo_win,oo_dd,oo_ndd,oo_shp
fd_x3.0_a20_sb2.0_vwap_v,990,-64162,0.73,20.5,-64552,-1.0,-2.73,1023,-66328,0.76,21.6,-75435,-0.9,-2.34
fd_x3.0_a20_sb1.0_vwap_v,1144,-64458,0.73,17.7,-66215,-1.0,-2.79,1193,-70778,0.75,18.7,-79722,-0.9,-2.47
fd_x2.5_a20_sb2.0_vwap_v,1197,-69810,0.75,21.6,-70305,-1.0,-2.56,1259,-74995,0.77,22.4,-84772,-0.9,-2.3
fd_x3.0_a14_sb1.0_vwap_v,1272,-70510,0.73,18.1,-71480,-1.0,-2.85,1357,-82985,0.74,18.9,-91362,-0.9,-2.67
fd_x3.0_a14_sb2.0_vwap_v,1097,-70948,0.73,20.7,-71338,-1.0,-2.85,1154,-74920,0.76,22.0,-84472,-0.9,-2.43
fd_x2.5_a20_sb1.0_vwap_v,1425,-73025,0.75,18.9,-73942,-1.0,-2.68,1517,-98160,0.72,18.9,-106882,-0.9,-2.97
fd_x2.0_a20_sb2.0_vwap_v,1372,-75148,0.76,22.2,-75642,-1.0,-2.56,1487,-75785,0.8,23.5,-86552,-0.9,-2.13
fd_x2.5_a14_sb2.0_vwap_v,1330,-77250,0.75,21.7,-77640,-1.0,-2.66,1434,-74932,0.8,23.2,-86878,-0.9,-2.12
fd_x1.5_a20_sb2.0_vwap_v,1476,-81255,0.76,22.4,-81750,-1.0,-2.71,1601,-80218,0.8,23.9,-89775,-0.9,-2.22
fd_x2.0_a20_sb1.0_vwap_v,1673,-81715,0.75,19.5,-83025,-1.0,-2.77,1825,-99912,0.75,20.3,-109092,-0.9,-2.74
fd_x2.5_a14_sb1.0_vwap_v,1597,-82672,0.74,18.9,-84082,-1.0,-2.84,1719,-104095,0.74,19.5,-114162,-0.9,-2.91
fd_x2.0_a14_sb2.0_vwap_v,1532,-90585,0.74,22.0,-91295,-1.0,-2.9,1648,-76765,0.81,23.9,-87508,-0.9,-2.04
fd_x1.5_a20_sb1.0_vwap_v,1884,-92508,0.74,20.0,-93965,-1.0,-3.06,2030,-107888,0.75,20.9,-115838,-0.9,-2.87
fd_x1.5_a14_sb2.0_vwap_v,1655,-97150,0.74,22.2,-97860,-1.0,-3.03,1802,-82172,0.82,24.1,-91708,-0.9,-2.12
fd_x2.0_a14_sb1.0_vwap_v,1882,-99585,0.73,19.3,-100635,-1.0,-3.2,2049,-105270,0.77,20.9,-112690,-0.9,-2.72
fd_x1.5_a14_sb1.0_vwap_v,2125,-111425,0.73,20.0,-112740,-1.0,-3.5,2287,-119472,0.76,20.9,-125275,-1.0,-2.98
