cfg,tr_n,tr_pnl,tr_pf,tr_win,tr_dd,tr_ndd,tr_shp,oo_n,oo_pnl,oo_pf,oo_win,oo_dd,oo_ndd,oo_shp
rb_or6_r4_rr1.5_meNone,631,-10718,0.87,42.8,-12000,-0.9,-1.1,626,-22292,0.74,39.8,-22480,-1.0,-2.32
rb_or3_r4_rr1.0_meNone,632,-12585,0.82,52.8,-15302,-0.8,-1.57,625,-18300,0.75,51.0,-18155,-1.0,-2.3
rb_or6_r4_rr0.75_meNone,631,-12605,0.78,59.7,-13165,-1.0,-1.84,626,-11680,0.79,60.9,-11450,-1.0,-1.73
rb_or6_r4_rr1.0_meNone,631,-12755,0.81,52.3,-13825,-0.9,-1.61,626,-17780,0.75,51.1,-17698,-1.0,-2.25
rb_or3_r4_rr1.5_meNone,632,-13372,0.84,42.6,-18970,-0.7,-1.37,625,-16788,0.8,41.4,-16912,-1.0,-1.72
rb_or3_r4_rr0.75_meNone,632,-14460,0.76,59.5,-16302,-0.9,-2.09,625,-20488,0.67,57.3,-20258,-1.0,-2.97
rb_or6_r2_rr1.5_meNone,631,-15418,0.68,42.8,-15500,-1.0,-3.05,626,-18442,0.63,41.9,-18410,-1.0,-3.67
rb_or3_r3_rr1.5_meNone,632,-15510,0.77,42.1,-17178,-0.9,-2.1,625,-18400,0.73,41.4,-18375,-1.0,-2.49
rb_or6_r2_rr1.0_meNone,631,-15555,0.6,53.2,-15525,-1.0,-3.81,626,-18718,0.54,51.8,-18785,-1.0,-4.56
rb_or6_r3_rr1.0_meNone,631,-15692,0.71,51.8,-15820,-1.0,-2.6,626,-14468,0.73,53.4,-14310,-1.0,-2.41
rb_or6_r3_rr0.75_meNone,631,-16180,0.65,59.0,-16070,-1.0,-3.11,626,-14730,0.67,60.5,-14785,-1.0,-2.87
rb_or3_r3_rr1.0_meNone,632,-16522,0.7,51.7,-16535,-1.0,-2.72,625,-19700,0.65,50.7,-19520,-1.0,-3.28
rb_or3_r3_rr0.75_meNone,632,-17222,0.64,58.5,-17125,-1.0,-3.31,625,-20275,0.59,57.3,-20178,-1.0,-3.88
rb_or3_r2_rr1.0_meNone,632,-17235,0.57,51.7,-17172,-1.0,-4.28,625,-23075,0.48,48.6,-23002,-1.0,-5.56
rb_or6_r2_rr0.75_meNone,631,-17242,0.5,59.3,-17158,-1.0,-4.88,626,-18742,0.46,58.3,-18735,-1.0,-5.23
rb_or3_r2_rr0.75_meNone,632,-17348,0.49,58.7,-17250,-1.0,-4.97,625,-22875,0.4,55.2,-22778,-1.0,-6.3
rb_or6_r3_rr1.5_meNone,631,-17642,0.74,40.9,-17645,-1.0,-2.4,626,-23930,0.66,39.1,-23968,-1.0,-3.28
rb_or3_r2_rr1.5_meNone,632,-17835,0.64,41.3,-17812,-1.0,-3.56,625,-25488,0.52,37.6,-25358,-1.0,-5.15
fd_x2.0_a14_sb2.0_rr1.0_r,3201,-120930,0.77,46.6,-122725,-1.0,-4.35,3348,-120478,0.8,48.9,-126448,-1.0,-3.38
fd_x2.0_a14_sb2.0_rr0.75_r,3579,-123020,0.77,53.3,-123898,-1.0,-4.6,3751,-129405,0.78,55.2,-134700,-1.0,-3.74
fd_x2.0_a14_sb1.0_rr1.0_r,3737,-124835,0.76,47.8,-125710,-1.0,-4.63,3923,-131878,0.78,49.2,-133340,-1.0,-3.88
fd_x2.0_a14_sb2.0_rr1.5_r,2791,-134292,0.74,38.8,-134638,-1.0,-4.32,2881,-112842,0.8,41.4,-119755,-0.9,-3.02
fd_x2.0_a14_sb1.0_rr0.75_r,4184,-136258,0.74,54.1,-137048,-1.0,-5.41,4376,-147505,0.75,55.7,-149312,-1.0,-4.41
fd_x2.0_a14_sb1.0_rr1.5_r,3222,-141235,0.73,38.1,-142695,-1.0,-4.77,3357,-141685,0.76,40.4,-146572,-1.0,-3.86
fd_x1.5_a14_sb2.0_rr0.75_r,4534,-152420,0.77,53.6,-154092,-1.0,-4.87,4737,-167972,0.78,54.9,-168718,-1.0,-4.35
fd_x1.5_a14_sb2.0_rr1.0_r,4025,-155662,0.77,46.6,-157205,-1.0,-4.85,4199,-154832,0.79,48.6,-156070,-1.0,-3.93
fd_x1.5_a14_sb2.0_rr1.5_r,3484,-158145,0.75,39.3,-159920,-1.0,-4.48,3596,-153055,0.79,40.8,-153975,-1.0,-3.8
fd_x1.5_a14_sb1.0_rr1.0_r,4746,-161718,0.76,47.8,-162825,-1.0,-5.11,4941,-172218,0.78,49.0,-172792,-1.0,-4.62
fd_x1.5_a14_sb1.0_rr0.75_r,5326,-168642,0.75,54.3,-170115,-1.0,-5.61,5524,-192795,0.75,55.4,-193435,-1.0,-5.25
fd_x1.0_a14_sb2.0_rr1.5_r,4094,-171320,0.77,39.8,-172022,-1.0,-4.39,4256,-161618,0.81,41.1,-162295,-1.0,-3.67
fd_x1.5_a14_sb1.0_rr1.5_r,4043,-172752,0.74,38.2,-173842,-1.0,-5.15,4176,-176705,0.76,40.3,-177738,-1.0,-4.51
fd_x1.0_a14_sb2.0_rr1.0_r,4817,-185985,0.77,46.8,-186960,-1.0,-5.23,5028,-192540,0.79,48.5,-193330,-1.0,-4.58
fd_x1.0_a14_sb2.0_rr0.75_r,5464,-189758,0.77,53.4,-191132,-1.0,-5.6,5691,-215592,0.77,54.7,-216278,-1.0,-5.27
fd_x1.0_a14_sb1.0_rr1.5_r,4776,-194968,0.75,38.7,-195550,-1.0,-5.32,4940,-192788,0.78,40.5,-193410,-1.0,-4.52
fd_x1.0_a14_sb1.0_rr1.0_r,5710,-198150,0.76,47.8,-199175,-1.0,-5.73,5905,-209000,0.78,49.0,-209228,-1.0,-5.27
fd_x1.0_a14_sb1.0_rr0.75_r,6443,-206002,0.75,54.4,-207162,-1.0,-6.31,6630,-243638,0.74,55.2,-244012,-1.0,-6.19
