orb,risk,rr,tr_n,tr_pnl,tr_pf,tr_win,tr_avgR,tr_maxdd,tr_netdd,tr_sharpe,oo_n,oo_pnl,oo_pf,oo_win,oo_avgR,oo_maxdd,oo_netdd,oo_sharpe
3,2,2.0,649,-72082,0.09,6.5,-0.81,-71952,-1.0,-24.49,643,-73602,0.07,5.4,-0.84,-73472,-1.0,-26.48
3,2,2.5,649,-72820,0.09,5.4,-0.82,-72690,-1.0,-23.68,643,-73215,0.08,5.0,-0.84,-73085,-1.0,-24.12
3,2,3.0,649,-73570,0.08,4.6,-0.83,-73440,-1.0,-23.25,643,-72640,0.09,4.7,-0.83,-72510,-1.0,-21.91
6,2,2.0,647,-73760,0.07,5.6,-0.84,-73630,-1.0,-27.04,643,-75202,0.06,5.0,-0.87,-75072,-1.0,-29.06
6,2,3.0,647,-74872,0.07,4.3,-0.86,-74742,-1.0,-25.8,643,-74802,0.07,4.0,-0.86,-74672,-1.0,-24.64
6,2,2.5,647,-75098,0.07,4.3,-0.86,-74968,-1.0,-27.48,643,-75552,0.06,4.2,-0.88,-75422,-1.0,-27.63
3,5,2.5,649,-79532,0.43,21.3,-0.37,-83945,-0.9,-6.26,643,-88852,0.4,17.6,-0.43,-88572,-1.0,-7.06
3,4,2.5,649,-80308,0.34,17.3,-0.47,-81445,-1.0,-8.25,643,-88878,0.3,14.0,-0.54,-88648,-1.0,-9.54
3,5,3.0,649,-80758,0.43,19.7,-0.38,-85858,-0.9,-6.04,643,-87515,0.41,16.5,-0.42,-87235,-1.0,-6.5
3,4,3.0,649,-80908,0.35,16.0,-0.47,-83208,-1.0,-7.89,643,-86165,0.32,13.2,-0.52,-85935,-1.0,-8.5
3,4,2.0,649,-81382,0.32,18.8,-0.48,-81522,-1.0,-9.1,643,-92115,0.26,14.9,-0.57,-91885,-1.0,-10.95
3,5,2.0,649,-81995,0.4,22.7,-0.39,-84120,-1.0,-7.02,643,-88240,0.38,19.9,-0.43,-87960,-1.0,-7.58
6,5,2.5,647,-83035,0.4,20.6,-0.39,-84700,-1.0,-6.77,643,-81752,0.42,20.1,-0.39,-81472,-1.0,-6.47
6,5,3.0,647,-83248,0.41,19.6,-0.39,-85662,-1.0,-6.49,643,-78502,0.45,19.3,-0.37,-78222,-1.0,-5.77
3,3,3.0,649,-85120,0.19,9.6,-0.67,-84940,-1.0,-13.4,643,-83965,0.21,8.9,-0.67,-83785,-1.0,-12.73
3,3,2.5,649,-85395,0.18,10.5,-0.68,-85215,-1.0,-14.42,643,-84852,0.19,9.6,-0.68,-84672,-1.0,-13.9
3,3,2.0,649,-86558,0.16,11.1,-0.69,-86378,-1.0,-15.96,643,-85002,0.18,11.0,-0.68,-84822,-1.0,-15.15
6,5,2.0,647,-86885,0.37,21.6,-0.42,-87882,-1.0,-7.76,643,-85365,0.39,21.2,-0.41,-85085,-1.0,-7.39
6,3,3.0,647,-87072,0.17,9.3,-0.7,-87312,-1.0,-14.36,643,-87052,0.18,8.4,-0.7,-86872,-1.0,-13.88
6,3,2.5,647,-88548,0.15,9.6,-0.71,-88712,-1.0,-15.88,643,-87065,0.17,9.3,-0.7,-86885,-1.0,-14.82
6,3,2.0,647,-89685,0.14,10.0,-0.72,-89775,-1.0,-17.56,643,-88740,0.15,10.0,-0.72,-88560,-1.0,-16.76
6,4,3.0,647,-93535,0.26,13.1,-0.57,-93875,-1.0,-10.16,643,-88240,0.3,13.8,-0.54,-88010,-1.0,-9.01
6,4,2.5,647,-95172,0.25,13.8,-0.59,-95412,-1.0,-11.08,643,-91202,0.28,14.3,-0.56,-90972,-1.0,-10.14
6,4,2.0,647,-95748,0.23,15.1,-0.59,-95888,-1.0,-12.03,643,-89140,0.28,16.2,-0.54,-88910,-1.0,-10.49
