combo,hour,trades,win_pct,t_per_trade,PF,usd_per_trade
4/8,8,254,56.7,-1.287,0.638,-19.59
4/8,9,1703,58.9,-0.987,0.705,-15.84
4/8,10,995,55.7,-1.341,0.624,-20.26
4/8,11,541,55.5,-1.381,0.616,-20.76
4/8,12,349,62.5,-0.553,0.819,-10.41
4/8,13,315,55.6,-1.381,0.617,-20.76
4/8,14,205,63.4,-0.4,0.864,-8.5
4/8,15,13,69.2,0.692,1.375,5.15
12/24,8,247,61.9,-1.862,0.8,-26.78
12/24,9,1566,65.5,-0.498,0.94,-9.73
12/24,10,938,65.0,-0.635,0.925,-11.44
12/24,11,531,65.3,-0.482,0.942,-9.53
12/24,12,369,69.6,1.138,1.158,10.73
12/24,13,348,60.1,-2.42,0.748,-33.74
12/24,14,283,66.4,0.682,1.097,5.02
12/24,15,24,45.8,2.417,2.115,26.71
