date,signal_bar,side,entry_time,entry,exit_time,exit,reason,pnl_ticks,bars_in_day
2021-06-18,71,short,2021-06-18 10:27:25.204858847,4962.0,2021-06-18 10:29:38.746062443,4961.0,target,4,143
2021-06-18,105,short,2021-06-18 13:36:15.927107871,4968.75,2021-06-18 13:37:33.519575871,4967.75,target,4,143
2021-06-21,60,long,2021-06-21 11:37:51.153297283,5006.5,2021-06-21 11:42:34.482463441,5004.5,stop,-8,98
2021-06-21,64,long,2021-06-21 12:16:29.915437349,5006.75,2021-06-21 12:24:09.441972069,5004.75,stop,-8,98
2021-06-21,85,long,2021-06-21 14:38:53.958481327,5013.75,2021-06-21 14:41:26.210966923,5011.75,stop,-8,98
2021-06-21,88,long,2021-06-21 14:50:00.202405267,5012.5,2021-06-21 14:50:01.937925153,5010.5,stop,-8,98
2021-06-21,96,long,2021-06-21 15:04:04.057244003,5016.25,2021-06-21 15:05:14.275215641,5017.25,target,4,98
2021-06-22,22,long,2021-06-22 09:31:12.636312469,5018.5,2021-06-22 09:49:38.878221303,5019.5,target,4,77
2021-06-22,57,long,2021-06-22 14:02:13.055729925,5035.5,2021-06-22 14:02:27.985646263,5036.5,target,4,77
2021-06-22,74,short,2021-06-22 15:00:32.983514651,5034.5,2021-06-22 15:06:13.629221223,5033.5,target,4,77
2021-06-23,26,short,2021-06-23 10:03:20.539196253,5036.0,2021-06-23 10:06:48.244554811,5035.0,target,4,67
2021-06-23,39,short,2021-06-23 11:40:08.185452997,5031.75,2021-06-23 11:40:42.371072345,5033.75,stop,-8,67
2021-06-23,48,long,2021-06-23 13:12:12.104776457,5039.75,2021-06-23 13:17:29.836253435,5037.75,stop,-8,67
2021-06-23,49,short,2021-06-23 13:22:29.232999631,5037.0,2021-06-23 13:28:04.441804267,5039.0,stop,-8,67
2021-06-23,63,short,2021-06-23 14:59:57.086495339,5030.25,2021-06-23 15:00:00.462082789,5032.25,stop,-8,67
2021-06-24,24,short,2021-06-24 10:12:56.565815099,5055.0,2021-06-24 10:17:22.781570353,5054.0,target,4,63
2021-06-24,36,long,2021-06-24 12:02:10.191201947,5058.0,2021-06-24 12:12:29.345962949,5059.0,target,4,63
2021-06-25,57,short,2021-06-25 15:07:52.946455933,5070.0,2021-06-25 15:14:59.936035431,5071.0,eod,-4,59
2021-06-28,24,short,2021-06-28 10:16:01.095834017,5069.0,2021-06-28 10:27:07.865426101,5068.0,target,4,57
2021-06-28,39,long,2021-06-28 12:57:54.245212459,5070.0,2021-06-28 13:02:37.831311941,5071.0,target,4,57
2021-06-28,51,long,2021-06-28 14:50:02.535562665,5079.25,2021-06-28 14:51:32.664382093,5080.25,target,4,57
2021-06-28,52,long,2021-06-28 14:51:51.092579215,5081.25,2021-06-28 14:55:53.352137409,5079.25,stop,-8,57
2021-06-29,42,short,2021-06-29 14:42:08.536833287,5080.25,2021-06-29 14:52:31.173169897,5082.25,stop,-8,50
2021-06-29,48,long,2021-06-29 15:00:25.858657323,5083.25,2021-06-29 15:05:21.902261927,5084.25,target,4,50
2021-06-30,39,long,2021-06-30 13:31:54.174159035,5084.5,2021-06-30 14:10:40.133159943,5085.5,target,4,61
2021-06-30,49,long,2021-06-30 14:52:02.397995181,5089.5,2021-06-30 14:53:24.219774395,5090.5,target,4,61
2021-06-30,56,short,2021-06-30 14:59:59.889220401,5086.25,2021-06-30 15:00:00.124761767,5085.25,target,4,61
2021-07-01,31,long,2021-07-01 11:31:46.182871447,5101.25,2021-07-01 11:39:28.781618789,5099.25,stop,-8,59
2021-07-01,34,long,2021-07-01 12:07:38.409718819,5101.5,2021-07-01 12:26:59.251386427,5102.5,target,4,59
2021-07-01,40,long,2021-07-01 13:06:30.762323439,5105.5,2021-07-01 13:24:58.004156745,5106.5,target,4,59
2021-07-01,48,long,2021-07-01 14:31:03.325669705,5110.0,2021-07-01 14:38:45.258585141,5108.0,stop,-8,59
2021-07-01,51,long,2021-07-01 14:50:00.059172473,5108.25,2021-07-01 14:51:14.974234059,5106.25,stop,-8,59
2021-07-02,41,long,2021-07-02 14:01:25.078817249,5138.75,2021-07-02 14:05:36.094962307,5139.75,target,4,55
2021-07-06,48,short,2021-07-06 10:45:07.771582879,5117.25,2021-07-06 10:45:34.887043015,5116.25,target,4,95
2021-07-06,70,long,2021-07-06 12:44:14.277012377,5121.5,2021-07-06 12:54:01.305388459,5122.5,target,4,95
2021-07-06,81,long,2021-07-06 14:10:49.024080523,5130.5,2021-07-06 14:23:06.866900147,5131.5,target,4,95
2021-07-06,90,long,2021-07-06 14:57:14.429006315,5134.25,2021-07-06 15:00:10.404114865,5132.25,stop,-8,95
2021-07-07,48,long,2021-07-07 10:45:03.438083433,5144.75,2021-07-07 10:45:32.063612341,5145.75,target,4,94
2021-07-07,80,long,2021-07-07 13:58:28.798988387,5150.25,2021-07-07 14:04:24.540124885,5151.25,target,4,94
2021-07-07,85,long,2021-07-07 14:34:07.446902909,5152.0,2021-07-07 14:36:32.094803445,5150.0,stop,-8,94
2021-07-08,76,long,2021-07-08 10:31:06.124879315,5105.25,2021-07-08 10:31:13.304302767,5103.25,stop,-8,147
2021-07-08,134,short,2021-07-08 14:50:13.529041641,5096.5,2021-07-08 14:50:21.901142299,5099.75,stop,-13,147
2021-07-09,22,long,2021-07-09 09:22:40.782021485,5147.75,2021-07-09 09:31:31.230242729,5145.75,stop,-8,77
2021-07-09,39,long,2021-07-09 10:43:28.222780869,5157.25,2021-07-09 10:47:52.647233971,5155.25,stop,-8,77
