policy,trades,win%,avg_t,$/tr,$/tr@slip1t,net_$,PF,t_stat
R1.0,3326,49.7,0.081,-2.99,-15.49,-9941,0.969,0.29
R2.0,3014,33.3,-0.077,-4.97,-17.47,-14968,0.962,-0.19
cap10_R1.5,3368,39.3,-0.2,-6.5,-19.0,-21890,0.915,-0.97
R1.5,3174,38.8,-0.415,-9.18,-21.68,-29146,0.923,-1.18
pure_d1,2966,29.4,-0.437,-9.46,-21.96,-28051,0.901,-1.12
pure_d2,2922,29.6,-0.449,-9.62,-22.12,-28100,0.903,-1.11
pure_d3,2866,29.3,-0.471,-9.88,-22.38,-28326,0.904,-1.11
cap8_pure_d2,3052,21.4,-0.56,-11.0,-23.5,-33558,0.851,-1.78
cap10_be5_d2,3217,11.0,-0.753,-13.41,-25.91,-43130,0.704,-3.59
be12_d1,3018,26.0,-0.834,-14.42,-26.92,-43534,0.832,-2.37
be5_d3,3187,11.8,-0.839,-14.49,-26.99,-46173,0.71,-3.53
be8_d3,3085,17.6,-0.841,-14.51,-27.01,-44777,0.788,-2.68
be5_d2,3203,12.2,-0.849,-14.61,-27.11,-46799,0.706,-3.62
be8_d2,3107,18.2,-0.852,-14.65,-27.15,-45503,0.786,-2.75
be5_d1,3216,12.4,-0.916,-15.45,-27.95,-49701,0.689,-4.03
be8_d1,3121,18.7,-0.926,-15.58,-28.08,-48621,0.772,-3.07
R3.0,2720,24.3,-1.003,-16.53,-29.03,-44967,0.888,-1.94
be3_d1,3322,6.9,-1.119,-17.98,-30.48,-59738,0.503,-6.62
