date,side,scalp_t,run_t,mae_t,mfe_t,gross_t,net_usd
2026-02-02,BR,-13.0,-13.0,13.0,1.0,-26.0,-333.0
2026-02-02,BL,-13.0,-13.0,13.0,3.0,-26.0,-333.0
2026-02-02,BL,-18.0,-18.0,18.0,0.0,-36.0,-458.0
2026-02-02,BL,4.0,0.0,1.0,5.0,4.0,42.0
2026-02-02,BR,4.0,0.0,2.0,5.0,4.0,42.0
2026-02-02,BL,-12.0,-12.0,13.0,2.0,-24.0,-308.0
2026-02-02,BL,4.0,0.0,-0.0,6.0,4.0,42.0
2026-02-02,BR,4.0,23.0,3.0,46.0,27.0,329.5
2026-02-02,BL,4.0,43.0,2.0,60.0,47.0,579.5
2026-02-02,BL,4.0,0.0,5.0,9.0,4.0,42.0
2026-02-02,BL,4.0,0.0,3.0,8.0,4.0,42.0
2026-02-02,BR,4.0,0.0,2.0,13.0,4.0,42.0
2026-02-02,BL,4.0,0.0,10.0,15.0,4.0,42.0
2026-02-02,BR,4.0,0.0,8.0,7.0,4.0,42.0
2026-02-02,BR,4.0,24.0,2.0,44.0,28.0,342.0
2026-02-02,BR,4.0,0.0,7.0,6.0,4.0,42.0
2026-02-02,BR,4.0,0.0,4.0,5.0,4.0,42.0
2026-02-02,BL,4.0,0.0,3.0,12.0,4.0,42.0
2026-02-02,BR,4.0,36.0,-0.0,59.0,40.0,492.0
2026-02-02,BR,4.0,6.0,13.0,28.0,10.0,117.0
2026-02-02,BR,4.0,1.0,5.0,12.0,5.0,54.5
2026-02-02,BL,4.0,0.0,3.0,13.0,4.0,42.0
2026-02-03,BR,4.0,0.0,5.0,8.0,4.0,42.0
2026-02-03,BL,-16.0,-16.0,16.0,1.0,-32.0,-408.0
2026-02-03,BL,4.0,0.0,3.0,5.0,4.0,42.0
2026-02-03,BL,4.0,14.0,7.0,34.0,18.0,217.0
2026-02-03,BL,4.0,0.0,3.0,16.0,4.0,42.0
2026-02-03,BR,4.0,57.0,5.0,72.0,61.0,754.5
2026-02-03,BL,4.0,0.0,7.0,7.0,4.0,42.0
2026-02-03,BR,4.0,9.0,1.0,34.0,13.0,154.5
2026-02-03,BR,4.0,9.0,2.0,23.0,13.0,154.5
2026-02-03,BL,4.0,0.0,1.0,6.0,4.0,42.0
2026-02-03,BL,4.0,0.0,2.0,5.0,4.0,42.0
2026-02-03,BL,4.0,0.0,1.0,5.0,4.0,42.0
2026-02-03,BL,4.0,0.0,1.0,13.0,4.0,42.0
2026-02-03,BR,4.0,20.0,7.0,34.0,24.0,292.0
2026-02-03,BR,4.0,0.0,3.0,9.0,4.0,42.0
2026-02-03,BR,-12.0,-12.0,12.0,2.0,-24.0,-308.0
2026-02-03,BR,4.0,2.0,15.0,17.0,6.0,67.0
2026-02-03,BR,4.0,4.0,-0.0,23.0,8.0,92.0
2026-02-03,BR,4.0,0.0,6.0,6.0,4.0,42.0
2026-02-03,BR,4.0,0.0,5.0,7.0,4.0,42.0
2026-02-03,BR,4.0,0.0,3.0,5.0,4.0,42.0
2026-02-03,BL,-8.0,-8.0,11.0,1.0,-16.0,-208.0
2026-02-04,BR,-29.0,-29.0,29.0,2.0,-58.0,-733.0
2026-02-04,BR,4.0,0.0,2.0,6.0,4.0,42.0
2026-02-04,BL,4.0,16.0,1.0,37.0,20.0,242.0
2026-02-04,BR,-16.0,-16.0,16.0,0.0,-32.0,-408.0
2026-02-04,BL,4.0,0.0,3.0,23.0,4.0,42.0
2026-02-04,BL,4.0,0.0,1.0,9.0,4.0,42.0
2026-02-04,BL,4.0,0.0,-0.0,9.0,4.0,42.0
2026-02-04,BR,4.0,0.0,-0.0,29.0,4.0,42.0
2026-02-04,BR,4.0,21.0,2.0,41.0,25.0,304.5
2026-02-04,BL,4.0,0.0,-0.0,19.0,4.0,42.0
2026-02-04,BL,4.0,0.0,5.0,21.0,4.0,42.0
2026-02-04,BL,4.0,0.0,3.0,9.0,4.0,42.0
2026-02-04,BL,4.0,0.0,-0.0,21.0,4.0,42.0
2026-02-04,BL,4.0,0.0,2.0,5.0,4.0,42.0
2026-02-04,BL,4.0,0.0,3.0,15.0,4.0,42.0
2026-02-04,BL,4.0,46.0,6.0,66.0,50.0,617.0
2026-02-04,BL,4.0,0.0,1.0,6.0,4.0,42.0
2026-02-04,BL,-21.0,-21.0,21.0,2.0,-42.0,-533.0
2026-02-04,BL,4.0,-14.0,14.0,4.0,-10.0,-133.0
2026-02-04,BL,4.0,5.0,3.0,21.0,9.0,104.5
2026-02-04,BR,4.0,0.0,1.0,7.0,4.0,42.0
2026-02-04,BR,4.0,10.0,2.0,35.0,14.0,167.0
2026-02-04,BL,-15.0,-15.0,15.0,3.0,-30.0,-383.0
2026-02-04,BL,-14.0,-14.0,14.0,2.0,-28.0,-358.0
2026-02-04,BL,4.0,0.0,3.0,5.0,4.0,42.0
2026-02-04,BR,4.0,0.0,7.0,14.0,4.0,42.0
2026-02-04,BR,4.0,-11.0,11.0,4.0,-7.0,-95.5
2026-02-04,BR,4.0,0.0,2.0,13.0,4.0,42.0
2026-02-04,BL,4.0,0.0,3.0,28.0,4.0,42.0
2026-02-04,BR,4.0,0.0,4.0,9.0,4.0,42.0
2026-02-04,BL,-20.0,-20.0,20.0,2.0,-40.0,-508.0
2026-02-04,BR,4.0,0.0,4.0,22.0,4.0,42.0
2026-02-04,BR,-11.0,-11.0,11.0,1.0,-22.0,-283.0
2026-02-04,BL,4.0,0.0,4.0,6.0,4.0,42.0
2026-02-04,BR,4.0,0.0,4.0,5.0,4.0,42.0
2026-02-04,BR,4.0,0.0,2.0,9.0,4.0,42.0
2026-02-04,BR,4.0,0.0,6.0,12.0,4.0,42.0
2026-02-04,BL,4.0,0.0,2.0,14.0,4.0,42.0
