Date,O,H,L,C,RTH_H,RTH_L,ETH_High,ETH_Low
2021-06-18,4954.25,4983.25,4911.75,4950.75,4983.25,4947.0,4958.25,4911.75
2021-06-21,4880.75,5018.5,4865.0,5018.5,5018.5,4964.25,4915.75,4865.0
2021-06-22,4957.5,5045.0,4944.0,5035.75,5045.0,5005.25,4964.5,4944.0
2021-06-23,4975.75,5045.75,4969.0,5033.0,5045.75,5030.0,4986.5,4969.0
2021-06-24,4972.0,5060.25,4970.0,5058.0,5060.25,5050.75,4992.75,4970.0
2021-06-25,5000.25,5076.25,4991.75,5071.0,5076.25,5060.25,5003.75,4991.75
2021-06-28,5013.25,5081.5,5006.75,5080.0,5081.5,5063.75,5017.0,5006.75
2021-06-29,5018.75,5090.5,5010.0,5084.75,5090.5,5076.5,5021.5,5010.0
2021-06-30,5023.0,5093.25,5007.5,5091.25,5093.25,5076.75,5028.25,5007.5
2021-07-01,5032.5,5111.5,5024.25,5107.5,5111.5,5092.75,5044.0,5024.25
2021-07-02,5048.0,5146.5,5046.25,5139.5,5146.5,5118.5,5063.0,5046.25
2021-07-06,5079.25,5145.25,5071.25,5129.75,5145.25,5104.75,5086.25,5071.25
2021-07-07,5066.25,5152.75,5063.5,5149.25,5152.75,5119.75,5083.75,5063.5
2021-07-08,5090.5,5122.25,5017.5,5108.25,5122.25,5079.75,5090.5,5017.5
2021-07-09,5048.5,5163.5,5031.5,5159.0,5163.5,5127.75,5074.25,5031.5
2021-07-12,5100.25,5178.75,5080.0,5176.0,5178.75,5154.25,5103.5,5080.0
2021-07-13,5115.25,5183.25,5094.75,5160.5,5183.25,5158.0,5117.0,5094.75
2021-07-14,5097.75,5184.0,5088.25,5167.75,5184.0,5154.0,5118.75,5088.25
2021-07-15,5104.75,5160.25,5083.5,5147.5,5160.25,5132.0,5108.5,5083.5
2021-07-16,5086.0,5165.25,5076.75,5114.25,5165.25,5113.75,5103.25,5076.75
2021-07-19,5058.25,5071.5,5000.75,5054.0,5071.5,5023.5,5059.0,5000.75
2021-07-20,5001.0,5128.5,4993.25,5119.0,5128.5,5052.25,5017.5,4993.25
2021-07-21,5057.0,5153.25,5048.25,5152.0,5153.25,5125.5,5076.75,5048.25
2021-07-22,5093.25,5162.75,5084.25,5162.5,5162.75,5141.0,5099.5,5084.25
2021-07-23,5109.75,5207.75,5105.5,5200.5,5207.75,5172.0,5121.25,5105.5
2021-07-26,5138.75,5215.75,5113.75,5215.5,5215.75,5196.75,5143.5,5113.75
2021-07-27,5154.0,5203.5,5128.75,5185.5,5203.5,5164.25,5154.25,5128.75
2021-07-28,5118.25,5207.25,5118.0,5191.0,5207.25,5177.0,5142.75,5118.0
2021-07-29,5132.0,5222.0,5118.75,5205.25,5222.0,5202.0,5142.75,5118.75
2021-07-30,5132.5,5204.5,5109.0,5194.25,5204.5,5181.75,5138.25,5109.0
2021-08-02,5134.75,5213.5,5133.5,5183.0,5213.5,5176.75,5158.0,5133.5
2021-08-03,5122.5,5216.5,5119.25,5209.0,5216.5,5164.75,5135.5,5119.25
2021-08-04,5148.0,5207.75,5136.0,5195.75,5207.75,5190.75,5153.25,5136.0
2021-08-05,5134.5,5222.25,5132.0,5219.75,5222.25,5201.5,5147.0,5132.0
2021-08-06,5158.5,5232.75,5154.25,5229.75,5232.75,5221.25,5167.75,5154.25
2021-08-09,5166.25,5231.5,5150.5,5225.75,5231.5,5216.25,5167.75,5150.5
2021-08-10,5165.5,5237.75,5154.75,5227.0,5237.75,5221.75,5167.25,5154.75
2021-08-11,5167.5,5242.0,5159.0,5239.5,5242.0,5229.5,5181.25,5159.0
2021-08-12,5178.25,5255.75,5174.0,5253.25,5255.75,5229.75,5182.5,5174.0
2021-08-16,5194.5,5276.0,5179.25,5273.5,5276.0,5232.0,5197.25,5179.25
