date,close,dmin,dmax,sc,sp,credit,pnl,win,in_band,pos_gamma
2021-10-01,4357.040039,4179.45,4435.63,4440.0,4175.0,0.35,35.0,True,True,False
2021-10-04,4300.459961,4208.39,4505.69,4510.0,4205.0,0.1,10.0,True,True,False
2021-10-06,4363.549805,4221.23,4470.21,4475.0,4220.0,0.15,15.0,True,True,False
2021-10-08,4391.339844,4239.58,4487.52,4490.0,4235.0,1.35,135.0,True,True,False
2021-10-11,4361.189941,4303.94,4478.74,4480.0,4300.0,0.75,75.0,True,True,False
2021-10-13,4363.799805,4282.36,4418.94,4420.0,4280.0,1.6,160.0,True,True,False
2021-10-15,4471.370117,4412.46,4464.06,4465.0,4410.0,2.2,-417.01,False,False,True
2021-11-12,4682.850098,4553.26,4745.06,4750.0,4550.0,0.1,10.0,True,True,True
2021-11-15,4682.799805,4599.87,4766.05,4770.0,4595.0,0.2,20.0,True,True,True
2021-11-17,4688.669922,4636.44,4764.06,4765.0,4635.0,0.25,25.0,True,True,True
2021-11-19,4697.959961,4668.11,4741.31,4745.0,4665.0,0.35,35.0,True,True,True
2021-12-13,4668.970215,4616.92,4806.38,4810.0,4615.0,0.35,35.0,True,True,True
2021-12-15,4709.850098,4548.3,4721.22,4725.0,4545.0,1.8,180.0,True,True,True
2021-12-17,4620.640137,4621.04,4716.24,4720.0,4620.0,2.65,265.0,True,False,True
2022-01-14,4662.850098,4544.32,4776.1,4780.0,4540.0,0.35,35.0,True,True,False
2022-01-18,4577.109863,4557.33,4766.51,4770.0,4555.0,1.25,125.0,True,True,False
2022-01-19,4532.759766,4483.67,4674.09,4675.0,4480.0,1.8,180.0,True,True,False
2022-02-04,4500.529785,4270.19,4688.01,4690.0,4270.0,0.1,10.0,True,True,False
2022-02-11,4418.640137,4370.17,4636.37,4640.0,4370.0,0.5,50.0,True,True,False
2022-02-14,4401.669922,4275.65,4558.07,4560.0,4275.0,2.85,285.0,True,True,False
2022-02-16,4475.009766,4383.16,4558.98,4560.0,4380.0,2.6,260.0,True,True,False
2022-02-18,4348.870117,4315.47,4444.63,4445.0,4315.0,1.85,185.0,True,True,False
2022-02-25,4384.649902,4051.17,4522.51,4525.0,4050.0,0.0,0.0,True,True,False
2022-03-02,4386.540039,4043.19,4568.61,4570.0,4040.0,0.05,5.0,True,True,False
2022-03-07,4201.089844,4116.97,4541.75,4545.0,4115.0,0.35,35.0,True,True,False
2022-03-09,4277.879883,3993.93,4347.47,4350.0,3990.0,0.75,75.0,True,True,False
2022-03-11,4204.310059,4094.93,4423.45,4425.0,4090.0,0.25,25.0,True,True,False
2022-03-14,4173.109863,4050.92,4356.9,4360.0,4050.0,1.75,175.0,True,True,False
2022-03-16,4357.859863,4150.25,4375.07,4380.0,4150.0,4.0,400.0,True,True,False
2022-03-18,4463.120117,4356.05,4464.67,4465.0,4355.0,2.2,220.0,True,True,True
2022-04-01,4545.859863,4366.44,4698.16,4700.0,4365.0,0.05,5.0,True,True,True
2022-04-06,4481.149902,4400.16,4652.74,4655.0,4400.0,0.15,15.0,True,True,True
2022-04-08,4488.279785,4391.89,4608.53,4610.0,4390.0,0.15,15.0,True,True,True
2022-04-11,4412.529785,4393.04,4585.44,4590.0,4390.0,0.35,35.0,True,True,True
2022-04-13,4446.589844,4320.48,4475.42,4480.0,4320.0,1.55,155.0,True,True,False
2022-04-14,4392.589844,4399.21,4494.47,4495.0,4395.0,0.8,-161.02,False,False,False
2022-04-27,4183.959961,3918.17,4433.23,4435.0,3900.0,0.05,5.0,True,True,False
2022-05-06,4123.339844,4037.71,4256.03,4260.0,4035.0,5.8,580.0,True,True,False
2022-05-09,3991.23999,3924.33,4324.19,4325.0,3920.0,0.25,25.0,True,True,False
2022-05-11,3935.179932,3804.47,4197.51,4200.0,3800.0,0.6,60.0,True,True,False
2022-05-13,4023.889893,3773.7,4089.6,4090.0,3770.0,1.0,100.0,True,True,False
2022-05-16,4008.01001,3884.11,4163.01,4165.0,3880.0,1.6,160.0,True,True,False
2022-05-17,4088.850098,3941.36,4065.24,4070.0,3940.0,7.85,-1100.01,False,False,False
2022-05-18,3923.679932,4028.48,4149.96,4150.0,4025.0,7.65,-4235.0,False,False,False
2022-05-19,3900.790039,3857.63,3985.75,3990.0,3850.0,7.8,780.0,True,True,False
2022-05-20,3901.360107,3840.87,3963.31,3965.0,3840.0,1.9,190.0,True,True,False
2022-05-23,3973.75,3839.14,3963.96,3965.0,3835.0,12.05,330.0,True,False,False
2022-05-24,3941.47998,3908.22,4037.42,4040.0,3905.0,7.65,765.0,True,True,False
2022-05-25,3978.72998,3877.43,4010.17,4015.0,3875.0,8.1,810.0,True,True,False
2022-05-26,4057.840088,3918.02,4039.44,4040.0,3915.0,9.1,-874.01,False,False,False
2022-05-27,4158.240234,3997.68,4116.62,4120.0,3995.0,6.15,-3209.02,False,False,True
2022-05-31,4132.149902,4072.24,4244.44,4245.0,4070.0,3.6,360.0,True,True,True
2022-06-01,4101.22998,4075.08,4192.36,4195.0,4075.0,7.85,785.0,True,True,True
2022-06-02,4176.819824,4044.22,4157.78,4160.0,4040.0,6.4,-1041.98,False,False,False
2022-06-03,4108.540039,4120.5,4233.14,4235.0,4120.0,7.2,-426.0,False,False,True
2022-06-06,4121.430176,4051.63,4164.83,4165.0,4050.0,8.35,835.0,True,True,True
2022-06-08,4115.77002,4106.69,4212.67,4215.0,4105.0,5.05,505.0,True,True,True
2022-06-09,4017.820068,4059.54,4172.0,4175.0,4055.0,4.45,-3272.99,False,False,False
2022-06-10,3900.860107,3957.27,4078.09,4080.0,3955.0,10.9,-3910.0,False,False,False
2022-06-13,3749.629883,3836.72,3963.6,3965.0,3835.0,10.25,-3975.0,False,False,False
2022-06-14,3735.47998,3679.98,3821.92,3825.0,3675.0,10.5,1050.0,True,True,False
2022-06-15,3789.98999,3668.98,3803.06,3805.0,3665.0,15.7,1570.0,True,True,False
2022-06-16,3666.77002,3734.23,3845.75,3850.0,3730.0,17.0,-3300.0,False,False,False
2022-06-17,3674.840088,3601.7,3735.62,3740.0,3600.0,4.35,435.0,True,True,False
2022-06-22,3759.889893,3701.89,3827.89,3830.0,3700.0,6.05,605.0,True,True,False
2022-06-23,3795.72998,3698.06,3818.22,3820.0,3695.0,6.6,660.0,True,True,False
2022-06-24,3911.73999,3738.71,3853.21,3855.0,3735.0,7.0,-4300.0,False,False,False
2022-06-29,3818.830078,3761.5,3882.1,3885.0,3760.0,7.0,700.0,True,True,False
2022-06-30,3785.379883,3759.52,3877.64,3880.0,3755.0,9.1,910.0,True,True,False
2022-07-01,3825.330078,3732.44,3845.76,3850.0,3730.0,9.2,920.0,True,True,False
2022-07-05,3831.389893,3744.77,3905.29,3910.0,3740.0,3.85,385.0,True,True,False
2022-07-06,3845.080078,3773.01,3890.39,3895.0,3770.0,6.2,620.0,True,True,False
2022-07-07,3902.620117,3786.83,3902.95,3905.0,3785.0,5.75,575.0,True,True,False
2022-07-08,3899.379883,3847.06,3955.68,3960.0,3845.0,5.95,595.0,True,True,True
2022-07-11,3854.429932,3845.43,3952.93,3955.0,3845.0,5.45,545.0,True,True,False
2022-07-12,3818.800049,3798.2,3911.38,3915.0,3795.0,3.1,310.0,True,True,False
2022-07-13,3801.780029,3763.56,3876.62,3880.0,3760.0,11.9,1190.0,True,True,False
2022-07-14,3790.379883,3746.09,3856.11,3860.0,3745.0,6.9,690.0,True,True,False
2022-07-15,3863.159912,3733.52,3846.94,3850.0,3730.0,0.85,-1230.99,False,False,False
2022-07-18,3830.850098,3808.59,3914.53,3915.0,3805.0,4.95,495.0,True,True,False
2022-07-19,3936.689941,3774.02,3885.76,3890.0,3770.0,3.45,-4323.99,False,False,False
2022-07-22,3961.629883,3950.03,4047.67,4050.0,3950.0,4.8,480.0,True,True,True
2022-07-25,3966.840088,3911.98,4012.5,4015.0,3910.0,4.35,435.0,True,True,True
2022-07-26,3921.050049,3916.45,4015.95,4020.0,3915.0,3.65,365.0,True,True,True
2022-07-27,4023.610107,3876.67,3965.43,3970.0,3875.0,14.95,-3505.0,False,False,True
2022-07-28,4072.429932,3973.11,4070.07,4075.0,3970.0,7.95,795.0,True,False,True
2022-07-29,4130.290039,4016.35,4126.29,4130.0,4015.0,5.4,511.0,True,False,True
2022-08-02,4091.189941,4068.81,4168.25,4170.0,4065.0,4.7,470.0,True,True,True
2022-08-03,4155.169922,4039.41,4143.25,4145.0,4035.0,5.6,-456.99,False,False,True
2022-08-04,4151.939941,4107.65,4202.09,4205.0,4105.0,4.6,460.0,True,True,True
2022-08-05,4145.189941,4104.99,4199.19,4200.0,4100.0,5.85,585.0,True,True,True
2022-08-08,4140.060059,4099.32,4190.01,4195.0,4095.0,4.85,485.0,True,True,True
2022-08-09,4122.470215,4090.62,4189.38,4190.0,4090.0,3.6,360.0,True,True,True
2022-08-10,4210.240234,4073.71,4171.97,4175.0,4070.0,11.45,-2379.02,False,False,True
2022-08-11,4207.27002,4162.36,4256.3,4260.0,4160.0,3.85,385.0,True,True,True
2022-08-12,4280.149902,4156.97,4256.71,4260.0,4155.0,4.35,-1579.99,False,False,True
2022-08-17,4274.040039,4257.59,4353.11,4355.0,4255.0,2.95,295.0,True,True,True
2022-08-18,4283.740234,4224.2,4323.94,4325.0,4220.0,3.95,395.0,True,True,True
2022-08-19,4228.47998,4236.63,4332.21,4335.0,4235.0,0.85,-567.0,False,False,True
2022-08-22,4137.990234,4179.63,4277.11,4280.0,4175.0,4.45,-3255.98,False,False,False
2022-08-23,4128.72998,4084.0,4194.4,4195.0,4080.0,4.25,425.0,True,True,False
2022-08-24,4140.77002,4074.39,4181.15,4185.0,4070.0,3.8,380.0,True,True,False
2022-08-25,4199.120117,4087.78,4193.88,4195.0,4085.0,3.15,-97.01,False,False,False
2022-08-26,4057.659912,4151.86,4247.6,4250.0,4150.0,12.65,-3735.0,False,False,True
2022-08-29,4030.610107,4006.54,4110.04,4115.0,4005.0,8.6,860.0,True,True,False
2022-08-30,3986.159912,3973.54,4088.36,4090.0,3970.0,4.6,460.0,True,True,False
2022-08-31,3955.0,3929.98,4042.3,4045.0,3925.0,5.7,570.0,True,True,False
2022-09-01,3966.850098,3898.83,4011.41,4015.0,3895.0,5.65,565.0,True,True,False
2022-09-02,3924.26001,3909.29,4024.41,4025.0,3905.0,8.65,865.0,True,True,False
2022-09-06,3908.189941,3846.04,4004.54,4005.0,3845.0,4.8,480.0,True,True,False
2022-09-07,3979.870117,3853.37,3966.95,3970.0,3850.0,5.75,-412.01,False,False,False
2022-09-08,4006.179932,3927.35,4032.69,4035.0,3925.0,7.0,700.0,True,True,False
2022-09-09,4067.360107,3953.32,4058.4,4060.0,3950.0,5.1,-226.01,False,False,True
2022-09-12,4110.410156,4017.61,4117.63,4120.0,4015.0,5.55,555.0,True,True,True
2022-09-13,3932.689941,4056.16,4165.68,4170.0,4055.0,14.0,-3600.0,False,False,True
2022-09-14,3946.01001,3874.78,3990.6,3995.0,3870.0,7.95,795.0,True,True,False
2022-09-15,3901.350098,3888.36,4004.62,4005.0,3885.0,6.4,640.0,True,True,False
2022-09-16,3873.330078,3846.35,3956.57,3960.0,3845.0,2.5,250.0,True,True,False
2022-09-19,3899.889893,3812.2,3932.92,3935.0,3810.0,7.45,745.0,True,True,False
2022-09-20,3855.929932,3842.98,3957.5,3960.0,3840.0,4.75,475.0,True,True,False
2022-09-21,3789.929932,3797.48,3916.04,3920.0,3795.0,16.6,1152.99,True,False,False
2022-09-22,3757.98999,3732.17,3847.49,3850.0,3730.0,13.65,1365.0,True,True,False
2022-09-23,3693.22998,3697.76,3816.06,3820.0,3695.0,6.8,503.0,True,False,False
2022-09-26,3655.040039,3633.77,3756.69,3760.0,3630.0,10.2,1020.0,True,True,False
2022-09-27,3647.290039,3591.63,3720.63,3725.0,3590.0,9.35,935.0,True,True,False
2022-09-28,3719.040039,3582.98,3714.0,3715.0,3580.0,7.4,336.0,True,False,False
2022-09-29,3640.469971,3656.39,3778.99,3780.0,3655.0,8.2,-633.0,False,False,False
2022-09-30,3585.620117,3577.94,3705.48,3710.0,3575.0,11.7,1170.0,True,True,False
2022-10-03,3678.429932,3527.41,3651.99,3655.0,3525.0,9.75,-1367.99,False,False,False
2022-10-04,3790.929932,3615.96,3739.68,3740.0,3615.0,6.55,-4345.0,False,False,False
2022-10-05,3783.280029,3730.47,3850.53,3855.0,3730.0,5.5,550.0,True,True,True
2022-10-06,3744.52002,3725.48,3841.3,3845.0,3725.0,6.1,610.0,True,True,False
2022-10-07,3639.659912,3685.4,3803.8,3805.0,3685.0,12.65,-3269.01,False,False,False
2022-10-10,3612.389893,3553.25,3727.51,3730.0,3550.0,3.35,335.0,True,True,False
2022-10-11,3588.840088,3541.04,3683.06,3685.0,3540.0,3.55,355.0,True,True,False
2022-10-12,3577.030029,3515.32,3659.12,3660.0,3515.0,5.3,530.0,True,True,False
2022-10-13,3669.909912,3508.21,3645.59,3650.0,3505.0,18.7,-120.99,False,False,False
2022-10-14,3583.070068,3607.25,3731.71,3735.0,3605.0,9.6,-1232.99,False,False,False
2022-10-17,3677.949951,3501.9,3669.56,3670.0,3500.0,5.2,-275.0,False,False,False
2022-10-18,3719.97998,3634.87,3721.93,3725.0,3630.0,10.25,1025.0,True,True,False
