t,o,h,l,c,v
2026-07-09 17:00:00-05:00,7587.25,7587.75,7585.5,7587.25,289.0
2026-07-09 17:01:00-05:00,7587.5,7587.75,7585.75,7586.0,77.0
2026-07-09 17:02:00-05:00,7585.5,7586.0,7585.5,7585.5,95.0
2026-07-09 17:03:00-05:00,7585.75,7587.25,7585.75,7586.0,74.0
2026-07-09 17:04:00-05:00,7586.25,7587.25,7585.0,7587.0,95.0
2026-07-09 17:05:00-05:00,7587.25,7587.75,7585.0,7586.0,258.0
2026-07-09 17:06:00-05:00,7586.0,7587.75,7586.0,7586.25,99.0
2026-07-09 17:07:00-05:00,7586.5,7589.0,7586.5,7587.75,276.0
2026-07-09 17:08:00-05:00,7587.75,7588.0,7586.25,7586.75,78.0
2026-07-09 17:09:00-05:00,7587.0,7587.0,7584.75,7585.25,112.0
2026-07-09 17:10:00-05:00,7585.25,7585.5,7584.25,7584.75,88.0
2026-07-09 17:11:00-05:00,7585.0,7585.25,7584.5,7584.5,56.0
2026-07-09 17:12:00-05:00,7584.75,7585.0,7584.5,7585.0,26.0
2026-07-09 17:13:00-05:00,7585.0,7585.25,7584.5,7584.75,33.0
2026-07-09 17:14:00-05:00,7585.0,7585.5,7584.75,7584.75,30.0
2026-07-09 17:15:00-05:00,7585.25,7585.25,7584.5,7584.75,45.0
2026-07-09 17:16:00-05:00,7584.75,7586.0,7584.5,7585.75,107.0
2026-07-09 17:17:00-05:00,7585.75,7586.25,7585.5,7585.75,119.0
2026-07-09 17:18:00-05:00,7585.75,7586.75,7585.5,7586.0,52.0
2026-07-09 17:19:00-05:00,7586.0,7586.0,7583.75,7584.75,193.0
2026-07-09 17:20:00-05:00,7585.0,7585.0,7583.75,7584.5,129.0
2026-07-09 17:21:00-05:00,7584.75,7585.25,7584.25,7585.0,52.0
2026-07-09 17:22:00-05:00,7585.0,7585.5,7584.75,7585.25,75.0
2026-07-09 17:23:00-05:00,7585.25,7585.5,7584.75,7585.25,29.0
2026-07-09 17:24:00-05:00,7585.5,7585.75,7585.25,7585.5,24.0
2026-07-09 17:25:00-05:00,7585.25,7585.75,7585.0,7585.75,49.0
2026-07-09 17:26:00-05:00,7586.0,7586.0,7585.25,7585.5,64.0
2026-07-09 17:27:00-05:00,7585.25,7585.25,7584.5,7584.75,85.0
2026-07-09 17:28:00-05:00,7584.5,7584.75,7583.75,7584.25,50.0
2026-07-09 17:29:00-05:00,7584.25,7585.0,7584.0,7584.75,41.0
2026-07-09 17:30:00-05:00,7584.5,7585.25,7584.0,7585.25,50.0
2026-07-09 17:31:00-05:00,7585.0,7585.5,7584.75,7585.0,37.0
2026-07-09 17:32:00-05:00,7585.0,7585.25,7584.75,7585.25,37.0
2026-07-09 17:33:00-05:00,7585.25,7585.25,7584.75,7585.25,42.0
2026-07-09 17:34:00-05:00,7585.5,7585.5,7584.75,7585.0,36.0
2026-07-09 17:35:00-05:00,7585.0,7585.0,7584.25,7585.0,56.0
2026-07-09 17:36:00-05:00,7585.0,7585.5,7585.0,7585.5,40.0
2026-07-09 17:37:00-05:00,7585.75,7585.75,7585.0,7585.75,45.0
2026-07-09 17:38:00-05:00,7585.5,7586.25,7585.5,7585.75,55.0
2026-07-09 17:39:00-05:00,7585.75,7586.0,7585.0,7585.25,41.0
2026-07-09 17:40:00-05:00,7585.5,7585.75,7585.25,7585.25,42.0
2026-07-09 17:41:00-05:00,7585.25,7585.75,7585.25,7585.75,18.0
2026-07-09 17:42:00-05:00,7585.75,7585.75,7585.25,7585.75,11.0
2026-07-09 17:43:00-05:00,7586.0,7586.0,7585.5,7585.75,16.0
2026-07-09 17:44:00-05:00,7585.75,7586.0,7585.5,7585.75,28.0
2026-07-09 17:45:00-05:00,7586.0,7586.25,7585.5,7586.0,34.0
2026-07-09 17:46:00-05:00,7585.75,7586.0,7585.75,7585.75,29.0
2026-07-09 17:47:00-05:00,7585.75,7585.75,7585.25,7585.75,38.0
2026-07-09 17:48:00-05:00,7585.75,7586.0,7585.75,7586.0,17.0
2026-07-09 17:49:00-05:00,7586.0,7587.0,7586.0,7586.25,67.0
2026-07-09 17:50:00-05:00,7586.5,7587.25,7586.5,7586.75,56.0
2026-07-09 17:51:00-05:00,7586.75,7587.25,7586.5,7587.0,48.0
2026-07-09 17:52:00-05:00,7586.75,7587.0,7586.25,7586.5,30.0
2026-07-09 17:53:00-05:00,7586.75,7587.0,7586.25,7586.25,18.0
2026-07-09 17:54:00-05:00,7586.25,7586.5,7586.25,7586.25,13.0
2026-07-09 17:55:00-05:00,7586.0,7586.5,7585.75,7586.25,33.0
2026-07-09 17:56:00-05:00,7586.25,7586.75,7586.25,7586.25,15.0
2026-07-09 17:57:00-05:00,7586.5,7586.5,7586.25,7586.5,9.0
2026-07-09 17:58:00-05:00,7586.5,7586.5,7586.25,7586.5,33.0
2026-07-09 17:59:00-05:00,7586.5,7586.75,7586.25,7586.75,17.0
2026-07-09 18:00:00-05:00,7586.75,7587.5,7586.5,7587.25,101.0
2026-07-09 18:01:00-05:00,7587.25,7587.25,7585.0,7585.5,131.0
2026-07-09 18:02:00-05:00,7585.75,7585.75,7585.0,7585.5,81.0
2026-07-09 18:03:00-05:00,7585.75,7586.25,7585.5,7586.25,35.0
2026-07-09 18:04:00-05:00,7586.25,7587.75,7586.25,7587.5,89.0
2026-07-09 18:05:00-05:00,7587.5,7588.25,7587.25,7588.25,69.0
2026-07-09 18:06:00-05:00,7588.25,7588.25,7587.5,7588.0,100.0
2026-07-09 18:07:00-05:00,7588.0,7588.0,7587.5,7588.0,55.0
2026-07-09 18:08:00-05:00,7588.0,7588.75,7588.0,7588.5,46.0
2026-07-09 18:09:00-05:00,7588.75,7589.25,7588.25,7589.0,89.0
