entry_dt,exit_dt,entry,exit,pts,bars,mae_pts,pnl
2021-06-29 12:00:00,2021-06-29 14:00:00,5082.5,5082.25,-0.5,4,-2.25,-7.5
2021-07-06 08:30:00,2021-07-06 11:30:00,5134.75,5115.25,-19.75,6,-24.5,-103.75
2021-07-13 14:00:00,2021-07-14 08:30:00,5161.75,5175.0,13.0,3,-1.25,60.0
2021-07-14 10:30:00,2021-07-14 11:00:00,5154.75,5168.25,13.25,1,0.0,61.25
2021-07-27 10:00:00,2021-07-27 13:00:00,5181.75,5179.25,-2.75,6,-14.5,-18.75
2021-07-28 12:00:00,2021-07-28 13:00:00,5185.5,5194.75,9.0,2,0.0,40.0
2021-07-29 14:00:00,2021-07-30 11:30:00,5213.5,5193.5,-20.25,9,-25.5,-106.25
2021-08-04 09:00:00,2021-08-04 11:30:00,5200.75,5199.0,-2.0,5,-4.5,-15.0
2021-08-16 08:30:00,2021-08-16 10:30:00,5237.25,5245.25,7.75,4,-3.0,33.75
2021-08-17 08:30:00,2021-08-17 13:00:00,5239.75,5226.25,-13.75,9,-26.5,-73.75
2021-08-23 14:30:00,2021-08-24 08:30:00,5275.75,5283.0,7.0,2,0.0,30.0
2021-08-26 08:30:00,2021-08-26 11:00:00,5284.75,5282.25,-2.75,5,-12.75,-18.75
2021-08-26 14:30:00,2021-08-27 08:30:00,5265.5,5280.75,15.0,2,0.0,70.0
2021-08-30 14:30:00,2021-08-31 09:30:00,5325.25,5324.0,-1.5,4,-11.0,-12.5
2021-08-31 14:00:00,2021-08-31 15:00:00,5316.25,5325.75,9.25,2,0.0,41.25
2021-09-02 12:00:00,2021-09-02 13:30:00,5330.75,5330.25,-0.75,3,-6.5,-8.75
2021-09-23 14:30:00,2021-09-24 10:30:00,5246.25,5247.0,0.5,6,-8.5,-2.5
2021-10-07 12:30:00,2021-10-08 09:00:00,5219.5,5203.0,-16.75,7,-22.5,-88.75
2021-10-08 11:00:00,2021-10-08 12:30:00,5192.0,5193.75,1.5,3,-4.0,2.5
2021-10-08 15:00:00,2021-10-11 08:30:00,5188.25,5207.5,19.0,1,0.0,90.0
2021-10-11 12:00:00,2021-10-12 10:00:00,5177.75,5160.75,-17.25,10,-24.0,-91.25
2021-10-21 10:00:00,2021-10-21 11:00:00,5328.0,5335.5,7.25,2,0.0,31.25
2021-10-27 14:30:00,2021-10-28 08:30:00,5353.0,5381.5,28.25,2,0.0,136.25
2021-11-05 12:00:00,2021-11-05 13:00:00,5483.5,5500.5,16.75,2,0.0,78.75
2021-11-09 10:30:00,2021-11-09 13:00:00,5479.5,5480.75,1.0,5,-4.0,0.0
2021-11-17 08:30:00,2021-11-17 10:00:00,5489.5,5497.75,8.0,3,0.0,35.0
2021-11-17 11:00:00,2021-11-17 12:00:00,5491.5,5498.0,6.25,2,0.0,26.25
2021-11-19 09:00:00,2021-11-19 10:00:00,5502.0,5514.5,12.25,2,0.0,56.25
2021-12-07 14:00:00,2021-12-07 14:30:00,5485.0,5495.25,10.0,1,0.0,45.0
2021-12-09 09:00:00,2021-12-09 10:00:00,5487.5,5498.0,10.25,2,0.0,46.25
2021-12-09 14:30:00,2021-12-10 08:30:00,5475.75,5496.75,20.75,2,-2.0,98.75
2021-12-13 08:30:00,2021-12-13 11:00:00,5499.25,5490.0,-9.5,5,-18.0,-52.5
