entry_dt,exit_dt,entry,exit,pts,bars,mae_pts,pnl
2021-09-07 12:00:00,2021-09-15 08:00:00,5315.5,5271.75,-44.0,11,-68.75,-225.0
2021-11-10 08:00:00,2021-11-12 08:00:00,5474.0,5482.0,7.75,4,-22.75,33.75
2021-11-23 08:00:00,2021-11-24 08:00:00,5468.5,5500.0,31.25,2,0.0,151.25
2021-11-26 08:00:00,2021-11-29 08:00:00,5403.75,5474.5,70.5,2,-15.75,347.5
2021-11-30 08:00:00,2021-12-02 08:00:00,5384.0,5388.5,4.25,4,-61.25,16.25
2021-12-13 12:00:00,2021-12-15 12:00:00,5478.5,5517.5,38.75,4,-62.0,188.75
2022-01-05 12:00:00,2022-01-10 12:00:00,5514.75,5477.75,-37.25,6,-99.25,-191.25
2022-04-01 08:00:00,2022-04-04 08:00:00,5333.0,5382.75,49.5,2,0.0,242.5
2022-04-06 08:00:00,2022-04-07 12:00:00,5285.75,5321.5,35.5,3,-10.5,172.5
2022-04-11 08:00:00,2022-04-13 08:00:00,5251.0,5252.75,1.5,4,-32.25,2.5
2022-07-26 08:00:00,2022-07-27 08:00:00,4752.25,4796.5,44.0,2,0.0,215.0
2022-08-19 12:00:00,2022-08-24 12:00:00,5053.0,4969.0,-84.25,6,-101.75,-426.25
2022-08-26 08:00:00,2022-09-01 12:00:00,4931.5,4782.75,-149.0,9,-198.5,-750.0
2022-11-28 12:00:00,2022-11-30 12:00:00,4777.0,4892.0,114.75,4,-22.25,568.75
2022-12-06 08:00:00,2022-12-08 08:00:00,4750.25,4766.5,16.0,4,-12.0,75.0
2022-12-15 08:00:00,2022-12-21 08:00:00,4689.75,4679.75,-10.25,8,-78.0,-56.25
2023-01-18 08:00:00,2023-01-20 08:00:00,4736.5,4719.25,-17.5,4,-49.75,-92.5
2023-02-09 12:00:00,2023-02-13 08:00:00,4863.25,4913.0,49.5,3,-2.75,242.5
2023-02-16 12:00:00,2023-02-23 12:00:00,4869.0,4787.0,-82.25,9,-110.0,-416.25
2023-04-25 08:00:00,2023-04-27 08:00:00,4855.75,4864.75,8.75,4,-38.0,38.75
2023-05-03 12:00:00,2023-05-05 08:00:00,4852.0,4873.5,21.25,3,-42.25,101.25
2023-05-12 08:00:00,2023-05-15 08:00:00,4853.75,4885.5,31.5,2,0.0,152.5
2023-05-23 12:00:00,2023-05-25 08:00:00,4895.5,4887.5,-8.25,3,-37.0,-46.25
2023-06-21 08:00:00,2023-06-22 12:00:00,5106.75,5115.0,8.0,3,-3.0,35.0
2023-06-23 12:00:00,2023-06-27 08:00:00,5081.25,5100.5,19.0,3,-13.5,90.0
2023-08-02 08:00:00,2023-08-04 08:00:00,5236.5,5252.25,15.5,4,-7.75,72.5
2023-08-04 12:00:00,2023-08-07 12:00:00,5195.0,5233.0,37.75,2,0.0,183.75
2023-08-10 08:00:00,2023-08-11 12:00:00,5182.75,5179.25,-3.75,3,-16.75,-23.75
