Date,dir,count,book,regime,fire_bar,sig_bar,fill,stop,R,net,Rpts
2021-06-18,L,1,T1,NEUTRAL,3,2,4980.75,4971.75,-1.0,-455.0,9.0
2021-06-18,L,1,T2,NEUTRAL,3,2,4980.75,4971.75,-1.0,-455.0,9.0
2021-06-18,L,1,T1,NEUTRAL,9,8,4977.75,4966.25,-1.0,-580.0,11.5
2021-06-18,L,1,T2,NEUTRAL,9,8,4977.75,4966.25,-1.0,-580.0,11.5
2021-06-18,L,2,T1,BEAR,14,13,4972.75,4962.75,-1.0,-505.0,10.0
2021-06-18,L,2,T2,BEAR,14,13,4972.75,4962.75,-1.0,-505.0,10.0
2021-06-18,S,1,T1,BEAR,55,54,4968.25,4971.25,-1.0,-155.0,3.0
2021-06-18,S,1,T2,BEAR,55,54,4968.25,4971.25,-1.0,-155.0,3.0
2021-06-18,S,2,T1,BULL,57,56,4971.25,4974.75,1.0,170.0,3.5
2021-06-18,S,2,T2,BULL,57,56,4971.25,4974.75,2.0,345.0,3.5
2021-06-18,S,1,T1,BEAR,66,65,4964.0,4968.25,-1.0,-217.5,4.25
2021-06-18,S,1,T2,BEAR,66,65,4964.0,4968.25,-1.0,-217.5,4.25
2021-06-18,S,1,T1,BEAR,68,67,4960.5,4968.25,-1.0,-392.5,7.75
2021-06-18,S,1,T2,BEAR,68,67,4960.5,4968.25,-1.0,-392.5,7.75
2021-06-18,L,1,T1,NEUTRAL,75,74,4972.25,4966.75,-1.0,-280.0,5.5
2021-06-18,L,1,T2,NEUTRAL,75,74,4972.25,4966.75,-1.0,-280.0,5.5
2021-06-21,L,1,T1,NEUTRAL,3,2,4971.5,4964.0,1.0,370.0,7.5
2021-06-21,L,1,T2,NEUTRAL,3,2,4971.5,4964.0,2.0,745.0,7.5
2021-06-21,L,1,T1,NEUTRAL,10,9,4993.25,4987.0,1.0,307.5,6.25
2021-06-21,L,1,T2,NEUTRAL,10,9,4993.25,4987.0,2.0,620.0,6.25
2021-06-21,L,1,T1,BULL,12,11,4994.25,4988.5,1.0,282.5,5.75
2021-06-21,L,1,T2,BULL,12,11,4994.25,4988.5,2.0,570.0,5.75
2021-06-21,L,1,T1,BULL,22,21,5005.0,5001.5,1.0,170.0,3.5
2021-06-21,L,1,T2,BULL,22,21,5005.0,5001.5,2.0,345.0,3.5
2021-06-21,L,2,T1,BULL,26,25,5006.5,5003.0,-1.0,-180.0,3.5
2021-06-21,L,2,T2,BULL,26,25,5006.5,5003.0,-1.0,-180.0,3.5
2021-06-21,L,1,T1,BULL,34,33,5007.5,5005.0,-1.0,-130.0,2.5
2021-06-21,L,1,T2,BULL,34,33,5007.5,5005.0,-1.0,-130.0,2.5
2021-06-21,L,2,T1,BULL,37,36,5006.5,5003.25,-1.0,-167.5,3.25
2021-06-21,L,2,T2,BULL,37,36,5006.5,5003.25,-1.0,-167.5,3.25
2021-06-21,L,1,T1,BULL,58,57,5013.25,5011.25,-1.0,-105.0,2.0
2021-06-21,L,1,T2,BULL,58,57,5013.25,5011.25,-1.0,-105.0,2.0
2021-06-21,L,2,T1,BULL,62,61,5012.0,5008.75,-1.0,-167.5,3.25
2021-06-21,L,2,T2,BULL,62,61,5012.0,5008.75,-1.0,-167.5,3.25
2021-06-22,L,1,T1,NEUTRAL,4,3,5013.25,5008.75,-1.0,-230.0,4.5
2021-06-22,L,1,T2,NEUTRAL,4,3,5013.25,5008.75,-1.0,-230.0,4.5
2021-06-22,L,1,T1,NEUTRAL,8,7,5011.0,5005.0,1.0,295.0,6.0
2021-06-22,L,1,T2,NEUTRAL,8,7,5011.0,5005.0,2.0,595.0,6.0
2021-06-22,L,2,T1,NEUTRAL,10,9,5014.75,5011.0,1.0,182.5,3.75
2021-06-22,L,2,T2,NEUTRAL,10,9,5014.75,5011.0,2.0,370.0,3.75
2021-06-22,L,1,T1,BULL,13,12,5018.5,5015.5,1.0,145.0,3.0
2021-06-22,L,1,T2,BULL,13,12,5018.5,5015.5,2.0,295.0,3.0
2021-06-22,L,1,T1,BULL,15,14,5019.5,5017.25,1.0,107.5,2.25
2021-06-22,L,1,T2,BULL,15,14,5019.5,5017.25,2.0,220.0,2.25
2021-06-22,L,1,T1,BULL,17,16,5021.0,5017.25,1.0,182.5,3.75
2021-06-22,L,1,T2,BULL,17,16,5021.0,5017.25,2.0,370.0,3.75
2021-06-22,L,1,T1,BULL,24,23,5030.5,5027.5,-1.0,-155.0,3.0
2021-06-22,L,1,T2,BULL,24,23,5030.5,5027.5,-1.0,-155.0,3.0
2021-06-22,L,2,T1,BULL,31,30,5027.25,5024.25,1.0,145.0,3.0
2021-06-22,L,2,T2,BULL,31,30,5027.25,5024.25,2.0,295.0,3.0
2021-06-22,L,1,T1,BULL,65,64,5033.75,5030.5,1.0,157.5,3.25
2021-06-22,L,1,T2,BULL,65,64,5033.75,5030.5,2.0,320.0,3.25
2021-06-22,L,2,T1,BULL,66,65,5034.5,5030.25,1.0,207.5,4.25
2021-06-22,L,2,T2,BULL,66,65,5034.5,5030.25,2.0,420.0,4.25
2021-06-22,L,1,T1,BULL,71,70,5041.5,5038.5,1.0,145.0,3.0
2021-06-22,L,1,T2,BULL,71,70,5041.5,5038.5,-1.0,-155.0,3.0
2021-06-22,L,1,T1,BULL,78,77,5039.5,5034.75,-1.0,-242.5,4.75
2021-06-22,L,1,T2,BULL,78,77,5039.5,5034.75,-1.0,-242.5,4.75
2021-06-22,L,2,T1,BULL,81,80,5036.0,5033.0,-1.0,-155.0,3.0
2021-06-22,L,2,T2,BULL,81,80,5036.0,5033.0,-1.0,-155.0,3.0
2021-06-23,S,1,T1,NEUTRAL,3,2,5036.5,5040.75,-1.0,-217.5,4.25
2021-06-23,S,1,T2,NEUTRAL,3,2,5036.5,5040.75,-1.0,-217.5,4.25
2021-06-23,S,1,T1,NEUTRAL,5,4,5038.0,5042.25,-1.0,-217.5,4.25
2021-06-23,S,1,T2,NEUTRAL,5,4,5038.0,5042.25,-1.0,-217.5,4.25
2021-06-23,S,2,T1,NEUTRAL,11,10,5042.25,5045.5,1.0,157.5,3.25
2021-06-23,S,2,T2,NEUTRAL,11,10,5042.25,5045.5,2.0,320.0,3.25
2021-06-23,S,1,T1,NEUTRAL,25,24,5035.75,5038.5,-1.0,-142.5,2.75
