entry_dt,entry_px,k8,exit_dt,exit_px,pts,pnl,hold_h,ym,yq,yr
2021-09-07 12:00:00,5315.5,14.1,2021-09-15 08:00:00,5271.75,-43.75,-223.75,188.0,2021-09,2021-Q3,2021
2021-11-10 08:00:00,5474.0,13.0,2021-11-12 08:00:00,5482.0,8.0,35.0,48.0,2021-11,2021-Q4,2021
2021-11-23 08:00:00,5468.5,11.5,2021-11-24 08:00:00,5500.0,31.5,152.5,24.0,2021-11,2021-Q4,2021
2021-11-26 08:00:00,5403.75,8.5,2021-11-29 08:00:00,5474.5,70.75,348.75,72.0,2021-11,2021-Q4,2021
2021-11-30 08:00:00,5384.0,8.9,2021-12-02 08:00:00,5388.5,4.5,17.5,48.0,2021-11,2021-Q4,2021
2021-12-13 12:00:00,5478.5,14.0,2021-12-15 12:00:00,5517.5,39.0,190.0,48.0,2021-12,2021-Q4,2021
2022-01-05 12:00:00,5514.75,7.6,2022-01-10 12:00:00,5477.75,-37.0,-190.0,120.0,2022-01,2022-Q1,2022
2022-04-01 08:00:00,5333.0,4.7,2022-04-04 08:00:00,5382.75,49.75,243.75,72.0,2022-04,2022-Q2,2022
2022-04-06 08:00:00,5285.75,5.8,2022-04-07 12:00:00,5321.5,35.75,173.75,28.0,2022-04,2022-Q2,2022
2022-04-11 08:00:00,5251.0,3.6,2022-04-13 08:00:00,5252.75,1.75,3.75,48.0,2022-04,2022-Q2,2022
2022-07-26 08:00:00,4752.25,12.7,2022-07-27 08:00:00,4796.5,44.25,216.25,24.0,2022-07,2022-Q3,2022
2022-08-19 12:00:00,5053.0,9.4,2022-08-24 12:00:00,4969.0,-84.0,-425.0,120.0,2022-08,2022-Q3,2022
2022-08-26 08:00:00,4931.5,9.3,2022-09-01 12:00:00,4782.75,-148.75,-748.75,148.0,2022-08,2022-Q3,2022
2022-11-28 12:00:00,4777.0,14.0,2022-11-30 12:00:00,4892.0,115.0,570.0,48.0,2022-11,2022-Q4,2022
2022-12-06 08:00:00,4750.25,1.5,2022-12-08 08:00:00,4766.5,16.25,76.25,48.0,2022-12,2022-Q4,2022
2022-12-15 08:00:00,4689.75,1.2,2022-12-21 08:00:00,4679.75,-10.0,-55.0,144.0,2022-12,2022-Q4,2022
2023-01-18 08:00:00,4736.5,9.9,2023-01-20 08:00:00,4719.25,-17.25,-91.25,48.0,2023-01,2023-Q1,2023
2023-02-09 12:00:00,4863.25,12.3,2023-02-13 08:00:00,4913.0,49.75,243.75,92.0,2023-02,2023-Q1,2023
2023-02-16 12:00:00,4869.0,2.4,2023-02-23 12:00:00,4787.0,-82.0,-415.0,168.0,2023-02,2023-Q1,2023
2023-04-25 08:00:00,4855.75,3.2,2023-04-27 08:00:00,4864.75,9.0,40.0,48.0,2023-04,2023-Q2,2023
2023-05-03 12:00:00,4852.0,9.9,2023-05-05 08:00:00,4873.5,21.5,102.5,44.0,2023-05,2023-Q2,2023
2023-05-12 08:00:00,4853.75,7.9,2023-05-15 08:00:00,4885.5,31.75,153.75,72.0,2023-05,2023-Q2,2023
2023-05-23 12:00:00,4895.5,7.6,2023-05-25 08:00:00,4887.5,-8.0,-45.0,44.0,2023-05,2023-Q2,2023
2023-06-21 08:00:00,5106.75,11.1,2023-06-22 12:00:00,5115.0,8.25,36.25,28.0,2023-06,2023-Q2,2023
2023-06-23 12:00:00,5081.25,10.3,2023-06-27 08:00:00,5100.5,19.25,91.25,92.0,2023-06,2023-Q2,2023
2023-08-02 08:00:00,5236.5,9.9,2023-08-04 08:00:00,5252.25,15.75,73.75,48.0,2023-08,2023-Q3,2023
2023-08-04 12:00:00,5195.0,6.9,2023-08-07 12:00:00,5233.0,38.0,185.0,72.0,2023-08,2023-Q3,2023
2023-08-10 08:00:00,5182.75,13.8,2023-08-11 12:00:00,5179.25,-3.5,-22.5,28.0,2023-08,2023-Q3,2023
2023-09-05 12:00:00,5195.25,4.2,2023-09-08 08:00:00,5160.5,-34.75,-178.75,68.0,2023-09,2023-Q3,2023
2023-11-30 08:00:00,5196.5,12.7,2023-11-30 12:00:00,5217.75,21.25,101.25,4.0,2023-11,2023-Q4,2023
2023-12-06 12:00:00,5199.75,6.7,2023-12-07 08:00:00,5232.5,32.75,158.75,20.0,2023-12,2023-Q4,2023
2023-12-20 12:00:00,5337.75,3.7,2023-12-21 12:00:00,5387.0,49.25,241.25,24.0,2023-12,2023-Q4,2023
2024-01-03 12:00:00,5337.75,5.6,2024-01-08 08:00:00,5361.25,23.5,112.5,116.0,2024-01,2024-Q1,2024
2024-01-17 08:00:00,5355.75,8.3,2024-01-18 12:00:00,5400.5,44.75,218.75,28.0,2024-01,2024-Q1,2024
2024-01-31 12:00:00,5463.25,6.6,2024-02-01 12:00:00,5535.5,72.25,356.25,24.0,2024-01,2024-Q1,2024
2024-02-13 08:00:00,5564.0,10.5,2024-02-14 12:00:00,5609.5,45.5,222.5,28.0,2024-02,2024-Q1,2024
2024-02-20 08:00:00,5570.5,12.8,2024-02-21 12:00:00,5584.25,13.75,63.75,28.0,2024-02,2024-Q1,2024
2024-02-28 12:00:00,5662.75,8.0,2024-02-29 08:00:00,5681.75,19.0,90.0,20.0,2024-02,2024-Q1,2024
2024-03-15 08:00:00,5695.75,1.3,2024-03-18 08:00:00,5747.25,51.5,252.5,72.0,2024-03,2024-Q1,2024
