year,w,cr,coll,oc,pnl
2007,40,5.93,3407,sma5,586.88
2007,25,2.1,2290,sma5,77.69
2007,25,5.74,1926,expiry,-1928.14
2008,35,3.66,3134,sma5,266.75
2008,25,0.52,2448,expiry,49.57
2009,50,8.77,4123,sma5,232.19
2009,50,6.88,4312,sma5,606.0
2009,35,6.14,2886,sma5,489.97
2009,20,3.3,1670,sma5,325.0
2009,50,8.2,4180,sma5,494.9
2009,25,3.74,2126,sma5,235.67
2009,60,7.71,5229,sma5,484.44
2009,25,3.02,2198,sma5,203.77
2009,50,5.35,4465,sma5,529.29
2010,25,0.61,2439,expiry,-765.69
2010,50,5.51,4449,sma5,540.35
2010,50,5.63,4437,sma5,340.21
2010,70,6.7,6330,sma5,-394.91
2010,30,3.45,2655,sma5,305.06
2011,50,3.69,4631,sma5,364.05
2011,45,5.8,3920,sma5,574.66
2011,60,5.53,5447,sma5,211.4
2011,25,3.76,2124,sma5,362.79
2011,35,3.84,3116,sma5,369.13
2011,15,2.65,1235,sma5,259.95
2011,60,9.19,5081,sma5,636.07
2012,40,5.91,3409,sma5,439.4
2012,45,5.47,3953,sma5,282.28
2012,40,5.49,3451,sma5,269.9
2012,45,7.23,3777,sma5,633.63
2012,30,4.36,2564,sma5,132.6
2012,30,4.77,2523,sma5,369.92
2012,60,6.05,5395,sma5,371.51
2013,60,4.94,5506,sma5,196.43
2013,65,6.78,5822,sma5,312.99
2013,60,6.73,5327,sma5,328.45
2013,75,10.18,6482,sma5,610.24
2013,55,5.4,4960,sma5,-621.97
2013,55,6.15,4885,sma5,108.96
2013,40,6.38,3362,sma5,341.01
2013,40,6.03,3397,sma5,290.43
2014,30,4.93,2507,sma5,163.76
2014,40,5.29,3471,sma5,286.07
2014,75,8.96,6604,sma5,197.92
2014,70,6.56,6344,sma5,164.02
2014,45,6.4,3860,sma5,467.24
2014,65,8.21,5679,sma5,398.68
2014,90,6.49,8351,sma5,102.63
2014,40,5.69,3431,sma5,450.22
2014,60,5.58,5442,sma5,553.21
2014,65,7.81,5719,sma5,-256.03
2014,70,9.49,6051,sma5,486.63
2015,60,8.4,5160,sma5,149.41
2015,70,9.61,6039,sma5,531.41
2015,45,6.77,3823,sma5,287.96
2015,65,10.14,5486,sma5,591.58
2015,60,6.71,5329,sma5,-9.37
2015,55,8.06,4694,sma5,-688.98
2015,75,11.4,6360,sma5,764.19
2016,65,7.51,5749,sma5,394.44
2016,105,9.78,9522,sma5,300.08
2016,115,12.62,10238,sma5,1016.48
2016,85,10.16,7484,sma5,566.75
2016,40,6.24,3376,sma5,323.47
2017,35,5.01,2999,sma5,226.43
2017,75,4.7,7030,sma5,319.67
2017,70,8.48,6152,sma5,-14.4
2017,65,8.81,5619,sma5,524.93
2017,40,5.29,3471,sma5,267.69
2017,75,6.5,6850,sma5,265.4
2017,65,9.31,5569,sma5,704.71
2017,60,8.33,5167,sma5,577.45
2017,40,5.2,3480,sma5,321.95
2018,115,13.27,10173,sma5,-3958.21
2018,140,10.71,12929,sma5,554.37
2018,65,8.78,5622,sma5,437.3
2018,70,9.43,6057,sma5,623.5
2018,65,8.5,5650,sma5,508.71
2019,85,8.47,7653,sma5,454.62
2019,100,12.56,8744,sma5,647.51
2019,105,16.51,8849,sma5,1278.11
2019,85,12.68,7232,sma5,517.89
2019,95,10.53,8447,sma5,442.93
2019,120,11.7,10830,sma5,63.75
2019,115,11.17,10383,sma5,634.37
2019,105,13.86,9114,sma5,323.25
2020,130,15.58,11442,sma5,821.98
2020,125,16.86,10814,sma5,1388.72
2020,130,16.38,11362,sma5,-10023.11
2020,255,31.21,22379,sma5,2028.08
2020,195,25.27,16973,sma5,1647.71
2020,210,27.12,18288,sma5,2068.43
2020,155,21.93,13307,sma5,1208.33
2020,170,23.72,14628,sma5,931.49
2021,270,32.7,23730,sma5,2958.87
2021,185,20.83,16417,sma5,930.94
2021,200,24.28,17572,sma5,1357.46
2021,155,16.99,13801,sma5,987.54
2021,270,31.24,23876,sma5,2394.11
2021,200,18.96,18104,sma5,863.53
2021,205,19.6,18540,sma5,915.07
2021,180,15.59,16441,sma5,436.54
2021,235,21.08,21392,sma5,1240.15
2021,295,27.84,26716,sma5,1803.46
2022,190,21.47,16853,sma5,470.43
2022,215,29.5,18550,sma5,-4786.81
2022,160,24.93,13507,sma5,1511.0
2022,155,28.5,12650,sma5,919.71
2023,145,22.24,12276,sma5,1563.85
2023,150,22.19,12781,sma5,1375.0
2023,165,22.48,14252,sma5,1623.43
2023,175,20.95,15405,sma5,1482.19
2023,95,12.33,8267,sma5,1227.5
2023,150,17.18,13282,sma5,465.52
2023,150,18.69,13131,sma5,764.71
2023,145,18.86,12614,sma5,-25.08
2023,140,17.95,12205,sma5,-6728.19
2024,90,13.55,7645,sma5,998.17
2024,100,15.17,8483,sma5,845.74
2024,180,22.7,15730,sma5,974.18
2024,195,24.11,17089,sma5,1005.66
2024,140,17.42,12258,sma5,8.43
2024,130,18.22,11178,sma5,672.66
2024,210,24.7,18530,sma5,1168.29
2024,260,28.06,23194,sma5,173.24
2024,345,39.61,30539,sma5,1567.53
2024,140,19.88,12012,sma5,824.28
2024,250,26.51,22349,sma5,2048.98
2025,215,28.07,18693,sma5,2590.41
2025,230,25.58,20442,sma5,-2778.54
2025,205,30.11,17489,sma5,1739.05
2025,270,31.2,23880,sma5,1488.17
2025,310,34.04,27596,sma5,2280.75
2025,345,38.02,30698,sma5,2455.76
2025,235,29.7,20530,sma5,1970.81
2025,330,38.93,29107,sma5,3089.43
2025,205,23.99,18101,sma5,1299.33
2026,315,38.81,27619,sma5,3018.06
2026,290,39.53,25047,sma5,3040.59
2026,225,30.14,19486,sma5,1444.66
2026,345,38.83,30617,sma5,1241.72
2026,260,35.8,22420,sma5,2699.3
