year,cost,oc,pnl
2007,13.16,sma5,1270.36
2007,11.93,sma5,-53.02
2007,13.26,expiry,-1327.56
2008,11.38,sma5,606.59
2008,3.35,expiry,-336.02
2009,19.08,sma5,-736.64
2009,11.03,sma5,1308.45
2009,15.56,sma5,384.2
2009,9.41,sma5,1793.38
2009,18.76,sma5,488.04
2009,9.72,sma5,904.2
2009,21.38,sma5,804.92
2009,7.67,sma5,-716.59
2009,24.25,sma5,1774.83
2010,14.91,expiry,-1492.44
2010,16.63,sma5,1516.85
2010,19.16,sma5,988.2
2010,18.74,sma5,-689.26
2010,8.52,sma5,-499.61
2011,10.06,sma5,-496.52
2011,15.04,sma5,-1506.46
2011,16.86,sma5,163.41
2011,7.74,sma5,357.46
2011,10.0,sma5,346.88
2011,6.8,sma5,-568.45
2011,24.94,sma5,229.51
2012,15.76,sma5,1438.73
2012,14.62,sma5,212.64
2012,15.28,sma5,263.46
2012,15.76,sma5,1857.29
2012,10.31,sma5,-312.62
2012,13.03,sma5,84.05
2012,16.65,sma5,-1116.16
2013,13.67,sma5,192.64
2013,19.38,sma5,320.22
2013,18.15,sma5,-93.76
2013,25.95,sma5,-329.2
2013,14.47,sma5,-1303.52
2013,17.5,sma5,-59.87
2013,14.77,sma5,1155.33
2013,15.44,sma5,111.05
2014,12.91,sma5,597.4
2014,15.5,sma5,869.95
2014,23.35,sma5,-698.84
2014,20.37,sma5,511.04
2014,16.96,sma5,1386.4
2014,19.81,sma5,345.07
2014,21.71,sma5,-915.64
2014,13.45,sma5,29.76
2014,15.7,sma5,-1572.46
2014,19.22,sma5,-1903.73
2014,22.95,sma5,-905.33
2015,22.33,sma5,-811.39
2015,24.14,sma5,1188.67
2015,16.65,sma5,1192.69
2015,23.51,sma5,-133.59
2015,17.82,sma5,-560.41
2015,19.22,sma5,-1339.86
2015,28.7,sma5,2029.33
2016,19.68,sma5,-1704.24
2016,25.66,sma5,-405.88
2016,33.13,sma5,143.87
2016,24.71,sma5,408.74
2016,14.54,sma5,-204.54
2017,13.21,sma5,448.19
2017,16.92,sma5,222.3
2017,20.94,sma5,-102.71
2017,21.13,sma5,657.78
2017,13.87,sma5,828.18
2017,17.36,sma5,802.5
2017,22.47,sma5,994.7
2017,19.86,sma5,590.8
2017,11.01,sma5,814.22
2018,31.83,sma5,-3112.53
2018,32.7,sma5,2275.51
2018,22.89,sma5,-1714.67
2018,20.05,sma5,1013.73
2018,19.63,sma5,412.5
2019,22.98,sma5,-184.54
2019,31.62,sma5,-625.49
2019,41.17,sma5,1750.42
2019,33.95,sma5,-1755.12
2019,29.0,sma5,845.45
2019,34.31,sma5,-2300.49
2019,31.64,sma5,-186.82
2019,34.45,sma5,-292.11
2020,39.47,sma5,1068.59
2020,43.79,sma5,3915.68
2020,41.56,sma5,-4141.31
2020,76.77,sma5,4213.29
2020,65.8,sma5,3035.75
2020,65.63,sma5,102.86
2020,55.43,sma5,2126.41
2020,58.24,sma5,497.46
2021,77.15,sma5,2409.4
2021,48.84,sma5,1847.1
2021,55.65,sma5,2428.15
2021,39.76,sma5,2214.29
2021,70.32,sma5,4841.75
2021,45.53,sma5,1622.82
2021,44.45,sma5,854.92
2021,38.8,sma5,-2159.12
2021,47.18,sma5,-574.89
2021,67.42,sma5,-4504.72
2022,47.32,sma5,-1989.42
2022,70.16,sma5,-6995.74
2022,59.51,sma5,2135.11
2022,70.08,sma5,2047.68
2023,52.99,sma5,-4181.57
2023,52.02,sma5,2532.0
2023,51.74,sma5,4155.58
2023,48.61,sma5,5445.28
2023,30.82,sma5,-1244.05
2023,42.3,sma5,-1394.63
2023,43.84,sma5,-1061.56
2023,46.63,sma5,-2722.42
2023,38.23,sma5,-3825.95
2024,36.33,sma5,1898.85
2024,43.32,sma5,2640.33
2024,53.89,sma5,2323.52
2024,57.11,sma5,-5437.14
2024,40.87,sma5,-1134.69
2024,53.07,sma5,-601.93
2024,63.39,sma5,789.21
2024,63.42,sma5,-3276.98
2024,88.58,sma5,813.45
2024,55.09,sma5,1901.33
2024,74.25,sma5,2860.71
2025,65.24,sma5,7096.78
2025,61.03,sma5,-5287.49
2025,69.43,sma5,1433.84
2025,72.18,sma5,2243.5
2025,76.43,sma5,3747.37
2025,83.18,sma5,3388.99
2025,70.46,sma5,387.17
2025,91.97,sma5,484.18
2025,59.82,sma5,-1908.6
2026,85.76,sma5,4946.83
2026,92.1,sma5,6536.59
2026,78.95,sma5,3859.46
2026,91.54,sma5,-1980.35
2026,89.29,sma5,1983.79
