entry_dt,entry_px,k8,exit_dt,exit_px,pts,pnl,entry_day,exit_day,hold_days,n_4h_in_window
2021-11-26,5388.0,1.1,2021-12-06,5399.5,11.5,52.5,2021-11-26,2021-12-06,10,2
2022-01-05,5514.75,7.6,2022-01-11,5521.0,6.25,26.25,2022-01-05,2022-01-11,6,1
2022-01-18,5388.5,6.8,2022-01-28,5229.5,-159.0,-800.0,2022-01-18,2022-01-28,10,0
2022-08-22,4967.25,6.9,2022-08-25,5016.25,49.0,240.0,2022-08-22,2022-08-25,3,0
2022-08-26,4880.0,1.9,2022-09-07,4799.0,-81.0,-410.0,2022-08-26,2022-09-07,12,1
2023-01-19,4689.25,14.9,2023-01-20,4757.5,68.25,336.25,2023-01-19,2023-01-20,1,1
2023-02-21,4780.5,4.2,2023-03-02,4756.75,-23.75,-123.75,2023-02-21,2023-03-02,9,0
2023-04-26,4817.75,9.5,2023-04-27,4893.0,75.25,371.25,2023-04-26,2023-04-27,1,1
2023-05-04,4809.75,7.3,2023-05-05,4887.25,77.5,382.5,2023-05-04,2023-05-05,1,1
2023-05-24,4867.0,14.3,2023-05-26,4956.5,89.5,442.5,2023-05-24,2023-05-26,2,1
2023-06-23,5081.25,5.8,2023-06-27,5108.75,27.5,132.5,2023-06-23,2023-06-27,4,1
2023-08-02,5232.0,10.4,2023-08-14,5199.5,-32.5,-167.5,2023-08-02,2023-08-14,12,3
2023-08-15,5147.0,5.9,2023-08-23,5141.75,-5.25,-31.25,2023-08-15,2023-08-23,8,0
2024-01-03,5337.75,5.6,2024-01-08,5391.25,53.5,262.5,2024-01-03,2024-01-08,5,1
2024-01-31,5463.25,6.6,2024-02-01,5535.5,72.25,356.25,2024-01-31,2024-02-01,1,1
2024-04-04,5728.75,5.9,2024-04-08,5784.5,55.75,273.75,2024-04-04,2024-04-08,4,1
2024-04-10,5725.0,9.8,2024-04-11,5770.5,45.5,222.5,2024-04-10,2024-04-11,1,1
2024-04-12,5697.25,12.8,2024-04-23,5637.25,-60.0,-305.0,2024-04-12,2024-04-23,11,0
2024-05-29,5807.0,7.7,2024-05-31,5824.5,17.5,82.5,2024-05-29,2024-05-31,2,1
2024-07-19,6010.75,3.5,2024-07-31,6029.5,18.75,88.75,2024-07-19,2024-07-31,12,0
2024-09-04,5984.5,4.5,2024-09-10,5964.5,-20.0,-105.0,2024-09-04,2024-09-10,6,1
2024-10-31,6145.25,5.3,2024-11-05,6222.0,76.75,378.75,2024-10-31,2024-11-05,5,1
2024-11-15,6302.0,13.9,2024-11-20,6343.5,41.5,202.5,2024-11-15,2024-11-20,5,1
2024-12-13,6451.75,14.4,2024-12-16,6480.75,29.0,140.0,2024-12-13,2024-12-16,3,1
2024-12-18,6261.25,8.7,2024-12-23,6369.25,108.0,535.0,2024-12-18,2024-12-23,5,0
2025-02-21,6364.5,6.5,2025-03-14,5958.0,-406.5,-2037.5,2025-02-21,2025-03-14,21,1
2025-05-22,6138.25,11.2,2025-05-26,6170.25,32.0,155.0,2025-05-22,2025-05-26,4,1
2025-06-19,6205.75,6.0,2025-06-23,6304.25,98.5,487.5,2025-06-19,2025-06-23,4,1
2025-08-01,6495.5,13.5,2025-08-06,6597.5,102.0,505.0,2025-08-01,2025-08-06,5,1
2025-10-10,6775.75,7.0,2025-10-15,6885.75,110.0,545.0,2025-10-10,2025-10-15,5,1
2025-11-04,6974.0,5.4,2025-11-10,7033.0,59.0,290.0,2025-11-04,2025-11-10,6,2
2025-11-18,6804.0,13.1,2025-11-24,6894.25,90.25,446.25,2025-11-18,2025-11-24,6,0
2025-12-17,6905.5,9.8,2025-12-19,7000.5,95.0,470.0,2025-12-17,2025-12-19,2,0
2026-01-20,6950.5,8.5,2026-01-22,7055.5,105.0,520.0,2026-01-20,2026-01-22,2,0
2026-05-19,7436.0,11.0,2026-05-20,7509.25,73.25,361.25,2026-05-19,2026-05-20,1,1
2026-06-05,7429.5,1.5,2026-06-11,7468.0,38.5,187.5,2026-06-05,2026-06-11,6,2
2026-06-23,7438.75,10.1,2026-06-29,7497.5,58.75,288.75,2026-06-23,2026-06-29,6,1
