day,t5,Open,Close,High,Low,delta,vol,poc,hi_minfrac,lo_minfrac,cvd,kind,delta_flip,delta_close_mismatch,churn_absorption,cvd_div_local,vol_climax,finished_rej
2026-07-13,2026-07-13 08:30:00,7595.5,7605.75,7609.75,7594.5,1866,34000,7606.75,0.0,0.0,1866,control,0,0,1,1,1,
2026-07-13,2026-07-13 08:35:00,7605.75,7602.75,7608.75,7601.0,464,20000,7605.75,0.0,0.0,2330,control,0,1,1,0,0,
2026-07-13,2026-07-13 08:40:00,7602.75,7595.75,7602.75,7595.0,-1820,24000,7600.25,0.0,0.0,510,control,1,0,1,0,0,
2026-07-13,2026-07-13 08:45:00,7595.75,7598.75,7602.25,7593.75,10,20000,7599.25,0.0,0.21428571428571427,520,control,1,0,1,0,0,
2026-07-13,2026-07-13 08:50:00,7598.75,7597.75,7600.5,7590.25,-65,17999,7593.0,0.0,0.2727272727272727,455,LOW,1,0,1,0,0,0.0
2026-07-13,2026-07-13 08:55:00,7597.75,7607.5,7608.75,7597.0,1251,16001,7607.5,0.0,0.3068181818181818,1706,control,1,0,1,0,0,
2026-07-13,2026-07-13 09:00:00,7607.5,7599.5,7610.5,7597.5,-220,24000,7601.5,0.0,0.3380281690140845,1486,HIGH,1,0,1,1,0,1.0
2026-07-13,2026-07-13 09:05:00,7599.5,7599.75,7601.25,7593.5,794,14000,7596.75,0.14583333333333334,0.0,2280,control,1,0,1,0,0,
2026-07-13,2026-07-13 09:10:00,7599.75,7603.25,7604.75,7598.25,1168,12000,7602.25,0.23076923076923078,0.0,3448,control,0,0,0,0,0,
2026-07-13,2026-07-13 09:15:00,7603.25,7590.25,7604.0,7573.5,-3588,44000,7584.75,0.0,0.0,-140,LOW,1,0,0,1,1,1.0
2026-07-13,2026-07-13 09:20:00,7590.25,7598.25,7600.0,7585.25,944,24000,7591.25,0.23076923076923078,0.0,804,control,1,0,1,0,0,
2026-07-13,2026-07-13 09:25:00,7598.25,7602.5,7603.0,7596.25,254,16000,7599.25,0.0,0.24074074074074073,1058,control,0,0,1,0,0,
2026-07-13,2026-07-13 09:30:00,7602.5,7597.75,7603.75,7596.5,-1410,14000,7599.0,0.45871559633027525,0.0,-352,control,1,0,0,0,0,
2026-07-13,2026-07-13 09:35:00,7597.75,7590.5,7598.0,7590.0,-827,13999,7593.0,0.2972972972972973,0.0,-1179,control,0,0,1,0,0,
2026-07-13,2026-07-13 09:40:00,7590.5,7584.0,7591.5,7583.25,-1275,16001,7584.25,0.2727272727272727,0.1796875,-2454,control,0,0,1,0,0,
2026-07-13,2026-07-13 09:45:00,7584.0,7594.75,7595.75,7580.75,1150,18000,7587.75,0.0625,0.4166666666666667,-1304,LOW,1,0,1,1,1,0.0
2026-07-13,2026-07-13 09:50:00,7594.5,7586.75,7595.0,7586.0,-952,11998,7593.0,0.0,0.32432432432432434,-2256,control,1,0,1,0,0,
2026-07-13,2026-07-13 09:55:00,7586.75,7601.0,7601.25,7586.25,1318,12002,7594.0,0.0,0.0,-938,control,1,0,0,0,0,
2026-07-13,2026-07-13 10:00:00,7601.0,7595.0,7601.75,7592.5,-617,13999,7600.0,0.0,0.0,-1555,HIGH,1,0,1,1,0,1.0
2026-07-13,2026-07-13 10:05:00,7595.0,7595.75,7597.0,7592.5,-23,8001,7593.75,0.0,0.2391304347826087,-1578,control,0,1,1,0,0,
2026-07-13,2026-07-13 10:10:00,7595.75,7590.25,7596.75,7589.75,-970,8000,7593.0,0.0,0.0,-2548,control,0,0,0,0,0,
2026-07-13,2026-07-13 10:15:00,7590.25,7592.25,7594.25,7590.0,-116,6000,7591.75,0.0,0.0,-2664,control,0,1,1,0,0,
2026-07-13,2026-07-13 10:20:00,7592.25,7591.75,7597.0,7591.75,428,8000,7595.5,0.0,0.0,-2236,control,1,1,1,0,0,
2026-07-13,2026-07-13 10:25:00,7591.75,7593.25,7596.0,7590.75,210,6000,7592.25,0.2,0.45054945054945056,-2026,control,0,0,1,0,0,
2026-07-13,2026-07-13 10:30:00,7593.25,7591.0,7596.5,7590.75,134,8000,7592.0,0.0,0.0,-1892,control,0,1,1,0,0,
2026-07-13,2026-07-13 10:35:00,7591.0,7591.0,7593.75,7589.25,178,6000,7592.0,0.0,0.0,-1714,control,0,0,1,0,0,
2026-07-13,2026-07-13 10:40:00,7591.25,7587.75,7592.5,7586.75,-420,8000,7589.75,0.2903225806451613,0.25757575757575757,-2134,control,1,0,1,0,0,
2026-07-13,2026-07-13 10:45:00,7587.75,7588.0,7588.75,7585.75,124,6000,7587.5,0.0,0.0,-2010,control,1,0,1,0,0,
2026-07-13,2026-07-13 10:50:00,7588.0,7584.25,7588.25,7582.25,-520,10000,7585.25,0.4473684210526316,0.0,-2530,control,1,0,1,0,1,
2026-07-13,2026-07-13 10:55:00,7584.25,7582.75,7584.75,7581.75,-774,6000,7583.25,0.16091954022988506,0.0,-3304,control,0,0,0,0,0,
2026-07-13,2026-07-13 11:00:00,7582.75,7582.25,7585.75,7580.5,-354,8000,7582.5,0.0,0.13131313131313133,-3658,control,0,0,1,0,0,
2026-07-13,2026-07-13 11:05:00,7582.0,7587.25,7587.5,7581.5,446,6000,7585.25,0.0,0.0,-3212,control,1,0,1,0,0,
2026-07-13,2026-07-13 11:10:00,7587.25,7581.25,7589.0,7581.0,252,8000,7585.5,0.25862068965517243,0.0,-2960,HIGH,0,1,1,1,0,0.0
2026-07-13,2026-07-13 11:15:00,7581.25,7578.25,7582.0,7577.75,-460,8000,7580.25,0.35964912280701755,0.0,-3420,control,1,0,1,0,0,
2026-07-13,2026-07-13 11:20:00,7578.25,7576.5,7580.25,7576.5,-88,6000,7578.5,0.0,0.08,-3508,control,0,0,1,0,0,
2026-07-13,2026-07-13 11:25:00,7576.5,7571.25,7577.5,7570.25,-1013,13997,7573.25,0.0,0.0,-4521,control,0,0,1,0,0,
2026-07-13,2026-07-13 11:30:00,7571.25,7566.5,7572.5,7566.5,-400,17996,7567.5,0.0,0.0,-4921,control,0,0,1,0,0,
2026-07-13,2026-07-13 11:35:00,7566.5,7570.0,7573.5,7560.0,763,22007,7562.75,0.4918032786885246,0.0,-4158,LOW,1,0,1,1,1,1.0
2026-07-13,2026-07-13 11:40:00,7570.0,7575.5,7576.25,7566.75,1090,12000,7575.75,0.2621359223300971,0.0,-3068,control,0,0,0,0,0,
2026-07-13,2026-07-13 11:45:00,7575.5,7567.75,7578.0,7567.5,-806,12000,7577.0,0.0,0.0,-3874,HIGH,1,0,1,1,0,1.0
2026-07-13,2026-07-13 11:50:00,7567.75,7566.25,7570.25,7563.25,-104,12000,7567.25,0.24358974358974358,0.0,-3978,control,0,0,1,0,0,
2026-07-13,2026-07-13 11:55:00,7566.25,7571.5,7572.75,7566.25,770,10000,7570.0,0.0,0.3488372093023256,-3208,control,1,0,1,0,0,
2026-07-13,2026-07-13 12:00:00,7571.5,7571.5,7574.25,7569.25,340,8000,7572.75,0.3627450980392157,0.1935483870967742,-2868,control,0,0,1,0,0,
2026-07-13,2026-07-13 12:05:00,7571.5,7577.25,7578.0,7571.5,158,8000,7574.5,0.0,0.2631578947368421,-2710,control,0,0,1,1,0,
2026-07-13,2026-07-13 12:10:00,7577.5,7570.0,7577.75,7570.0,-460,6000,7571.75,0.46875,0.3333333333333333,-3170,control,1,0,1,0,0,
2026-07-13,2026-07-13 12:15:00,7570.0,7571.75,7574.5,7568.0,328,6000,7570.75,0.0,0.0,-2842,control,1,0,1,0,0,
2026-07-13,2026-07-13 12:20:00,7571.75,7567.0,7575.25,7566.75,-58,6000,7572.25,0.0,0.0,-2900,control,1,0,1,0,0,
2026-07-13,2026-07-13 12:25:00,7567.0,7569.5,7571.25,7566.75,250,6000,7569.5,0.4,0.05128205128205128,-2650,control,1,0,1,0,0,
2026-07-13,2026-07-13 12:30:00,7569.5,7569.5,7572.5,7568.0,384,6000,7569.75,0.2542372881355932,0.0,-2266,control,0,0,1,0,1,
2026-07-13,2026-07-13 12:35:00,7569.5,7568.25,7570.25,7566.0,-58,6000,7569.0,0.375,0.0,-2324,control,1,0,1,0,0,
