date,side,grp,label,conf,eff_fall,retrace_adr,ext_adr
2021-06-30,1,control,reversal,True,True,0.098,0.197
2021-06-30,1,control,reversal,True,False,0.335,0.0
2021-07-01,1,control,reversal,False,False,0.392,0.392
2021-07-01,1,control,unresolved,False,False,0.054,0.033
2021-07-02,1,control,continuation,False,False,0.068,1.068
2021-07-02,1,control,reversal,False,False,0.122,0.027
2021-07-06,-1,control,continuation,True,False,0.117,0.734
2021-07-06,-1,climax,reversal,False,True,0.602,0.279
2021-07-06,1,control,continuation,False,True,0.044,0.103
2021-07-07,-1,climax,reversal,False,False,1.637,0.0
2021-07-07,1,control,continuation,False,False,0.062,0.769
2021-07-08,1,climax,continuation,False,True,0.119,0.844
2021-07-08,1,control,continuation,False,True,0.206,0.281
2021-07-08,-1,control,reversal,False,True,0.855,0.0
2021-07-08,1,climax,reversal,False,False,0.39,0.0
2021-07-09,1,control,continuation,False,False,0.047,0.606
2021-07-09,1,control,continuation,False,False,0.019,0.521
2021-07-09,1,control,unresolved,False,True,0.095,0.066
2021-07-12,1,control,continuation,False,True,0.061,0.366
2021-07-12,1,control,continuation,False,False,0.009,0.174
2021-07-12,1,control,unresolved,False,True,0.183,0.0
2021-07-13,1,control,continuation,True,False,0.05,0.234
2021-07-13,1,control,reversal,True,False,0.025,0.058
2021-07-13,-1,control,reversal,False,True,0.133,0.058
2021-07-14,-1,control,continuation,False,False,0.064,0.571
2021-07-14,-1,control,continuation,False,False,0.129,0.475
2021-07-14,-1,climax,reversal,True,True,0.129,0.024
2021-07-14,1,control,reversal,False,False,0.169,0.04
2021-07-15,1,control,reversal,False,False,0.069,0.023
2021-07-15,-1,control,reversal,False,False,0.139,0.47
2021-07-15,1,control,reversal,True,True,0.816,0.0
2021-07-15,-1,climax,reversal,False,True,0.293,0.393
2021-07-15,-1,climax,continuation,False,False,0.162,0.3
2021-07-15,-1,climax,reversal,False,False,0.046,0.031
2021-07-15,1,climax,continuation,False,False,0.031,0.162
2021-07-16,-1,climax,continuation,False,True,0.046,0.846
2021-07-16,-1,climax,reversal,True,False,0.2,0.646
2021-07-16,1,control,reversal,False,False,1.023,0.0
2021-07-16,-1,control,continuation,True,True,0.177,0.531
2021-07-19,-1,climax,continuation,False,False,0.059,0.96
2021-07-19,-1,climax,continuation,False,False,0.03,0.561
2021-07-19,-1,climax,reversal,False,False,0.059,0.31
2021-07-19,1,climax,continuation,False,True,0.081,0.362
2021-07-19,1,climax,continuation,False,False,0.066,0.155
2021-07-19,1,climax,reversal,False,False,0.111,0.052
2021-07-19,-1,climax,continuation,False,False,0.052,0.576
2021-07-19,-1,climax,continuation,False,False,0.059,0.318
2021-07-19,-1,climax,reversal,False,False,0.074,0.044
2021-07-19,1,climax,reversal,False,False,0.155,0.584
2021-07-19,-1,climax,reversal,False,True,0.997,0.0
2021-07-19,1,climax,reversal,False,False,0.384,0.547
2021-07-19,1,control,continuation,False,False,0.111,0.524
2021-07-19,1,climax,unresolved,False,True,0.214,0.0
2021-07-20,1,control,continuation,False,True,0.035,1.337
2021-07-20,1,control,continuation,False,False,0.014,0.994
2021-07-20,1,control,continuation,False,False,0.049,0.812
2021-07-20,1,control,continuation,False,True,0.084,0.546
2021-07-20,1,control,continuation,False,False,0.028,0.434
2021-07-20,1,control,reversal,False,True,0.007,0.154
2021-07-20,-1,control,reversal,False,False,0.091,0.007
2021-07-20,1,control,reversal,False,False,0.014,0.091
2021-07-20,-1,control,unresolved,False,True,0.077,0.077
2021-07-21,1,control,continuation,False,False,0.038,0.25
2021-07-21,1,control,continuation,False,True,0.106,0.213
2021-07-21,1,control,unresolved,False,False,0.069,0.075
2021-07-22,1,control,reversal,True,False,0.026,0.193
2021-07-22,-1,control,reversal,False,False,0.026,0.077
2021-07-22,1,control,continuation,True,False,0.064,0.199
2021-07-22,1,control,unresolved,False,False,0.167,0.026
2021-07-22,1,control,unresolved,False,False,0.0,0.0
2021-07-23,1,control,continuation,False,False,0.013,0.68
2021-07-23,1,control,continuation,False,True,0.019,0.369
2021-07-23,1,control,continuation,False,False,0.006,0.149
2021-07-23,1,control,unresolved,False,False,0.084,0.019
2021-07-26,1,control,unresolved,True,True,0.232,0.075
2021-07-26,1,control,unresolved,True,True,0.106,0.069
2021-07-27,-1,climax,reversal,False,False,0.052,0.545
2021-07-27,-1,control,reversal,False,False,0.097,0.526
2021-07-27,-1,climax,continuation,False,False,0.091,0.409
2021-07-27,-1,climax,continuation,False,False,0.078,0.162
2021-07-27,-1,control,reversal,False,False,0.058,0.045
2021-07-27,1,control,continuation,False,False,0.071,0.409
2021-07-28,1,control,reversal,True,False,0.576,0.182
2021-07-28,-1,control,continuation,False,True,0.05,0.263
2021-07-28,1,control,continuation,False,False,0.106,0.257
2021-07-28,1,climax,reversal,True,True,0.451,0.0
2021-07-28,-1,control,unresolved,False,True,0.069,0.0
2021-07-29,1,control,continuation,False,False,0.013,0.168
2021-07-29,1,control,reversal,False,False,0.134,0.013
2021-07-29,-1,control,continuation,False,False,0.013,0.302
2021-07-29,-1,control,continuation,True,True,0.067,0.195
2021-07-30,-1,control,continuation,False,True,0.215,0.215
2021-07-30,-1,control,reversal,False,True,0.104,0.096
2021-07-30,-1,control,reversal,False,False,0.022,0.081
2021-07-30,1,climax,unresolved,False,False,0.096,0.0
2021-08-02,-1,control,continuation,False,False,0.111,0.748
2021-08-02,-1,control,reversal,True,False,0.305,0.314
2021-08-02,-1,control,continuation,True,False,0.055,0.286
2021-08-03,-1,control,reversal,False,False,0.089,0.044
2021-08-03,1,control,reversal,False,False,0.355,1.171
2021-08-03,1,control,reversal,False,False,0.399,1.109
2021-08-03,1,control,continuation,False,False,0.062,1.055
2021-08-03,1,control,continuation,False,False,0.018,0.452
2021-08-03,1,control,continuation,True,False,0.089,0.142
2021-08-03,1,control,unresolved,True,False,0.098,0.071
2021-08-04,-1,control,continuation,False,True,0.055,0.172
2021-08-04,-1,control,reversal,False,True,0.07,0.063
2021-08-04,1,control,reversal,False,False,0.055,0.086
2021-08-04,-1,control,unresolved,False,False,0.039,0.094
2021-08-05,1,control,continuation,False,False,0.068,0.279
2021-08-05,1,control,continuation,False,False,0.025,0.237
2021-08-06,1,control,unresolved,False,True,0.109,0.059
2021-08-06,-1,control,unresolved,True,False,0.084,0.025
2021-08-09,1,control,continuation,False,True,0.218,0.199
2021-08-09,1,control,continuation,False,False,0.038,0.133
2021-08-09,-1,control,unresolved,True,False,0.199,0.0
2021-08-10,-1,climax,reversal,False,True,0.603,0.0
2021-08-10,1,control,continuation,True,False,0.041,0.123
2021-08-10,-1,control,unresolved,False,True,0.051,0.061
2021-08-11,-1,control,continuation,False,False,0.063,0.156
2021-08-11,-1,control,reversal,False,False,0.052,0.01
2021-08-11,1,climax,continuation,True,False,0.094,0.125
2021-08-11,1,control,unresolved,True,False,0.063,0.042
2021-08-12,1,control,continuation,False,False,0.066,0.452
2021-08-12,1,control,continuation,False,True,0.099,0.264
2021-08-13,-1,control,reversal,True,False,0.351,0.0
2021-08-13,1,control,unresolved,False,False,0.012,0.059
2021-08-16,-1,control,reversal,False,True,0.25,0.031
2021-08-16,1,control,continuation,False,False,0.016,2.062
2021-08-16,1,control,continuation,True,False,0.062,1.484
2021-08-16,1,control,continuation,False,True,0.062,0.656
2021-08-16,1,control,continuation,False,False,0.031,0.234
2021-08-17,1,control,reversal,False,False,0.4,0.077
2021-08-17,-1,control,reversal,False,True,0.361,1.548
2021-08-17,-1,control,continuation,False,False,0.103,1.29
2021-08-17,-1,climax,continuation,False,True,0.129,0.271
2021-08-17,1,control,continuation,False,False,0.052,0.942
2021-08-17,1,control,continuation,False,True,0.077,0.142
2021-08-18,-1,control,continuation,False,False,0.091,2.091
2021-08-18,-1,control,reversal,False,True,0.614,1.875
2021-08-18,1,climax,reversal,False,False,0.17,0.011
2021-08-18,-1,climax,continuation,False,True,0.023,1.568
2021-08-18,-1,climax,continuation,False,False,0.011,1.261
2021-08-18,-1,control,continuation,False,False,0.114,0.545
2021-08-18,-1,control,unresolved,False,False,0.182,0.0
2021-08-19,1,climax,continuation,True,False,0.018,0.77
2021-08-19,1,control,continuation,False,False,0.018,0.546
2021-08-19,-1,control,reversal,False,True,0.107,0.054
2021-08-19,1,climax,continuation,False,False,0.054,0.224
2021-08-19,-1,control,continuation,False,False,0.081,0.787
2021-08-19,-1,climax,reversal,False,False,0.054,0.054
2021-08-19,1,climax,continuation,False,False,0.072,0.555
2021-08-19,-1,control,reversal,False,False,0.421,0.0
2021-08-20,1,control,reversal,False,False,0.077,0.255
2021-08-20,-1,control,reversal,False,True,0.542,0.0
2021-08-20,1,control,continuation,False,True,0.008,0.186
2021-08-20,1,control,unresolved,False,True,0.077,0.039
2021-08-23,1,control,continuation,False,False,0.141,0.29
2021-08-23,1,control,continuation,False,False,0.099,0.141
2021-08-23,1,control,reversal,False,True,0.014,0.035
2021-08-23,-1,control,unresolved,False,True,0.035,0.007
2021-08-24,1,control,unresolved,True,False,0.232,0.013
2021-08-24,-1,control,unresolved,True,False,0.093,0.04
2021-08-24,1,control,unresolved,True,False,0.026,0.013
2021-08-25,1,control,continuation,True,False,0.056,0.251
2021-08-25,1,control,unresolved,False,True,0.042,0.042
2021-08-25,1,control,unresolved,False,False,0.181,0.0
2021-08-26,-1,climax,reversal,False,True,0.359,0.115
2021-08-26,-1,climax,reversal,False,False,0.156,0.088
2021-08-26,1,control,reversal,True,False,0.054,0.014
2021-08-26,-1,control,continuation,False,False,0.027,0.23
2021-08-26,-1,control,unresolved,False,False,0.047,0.081
2021-08-27,1,climax,continuation,True,True,0.072,0.474
2021-08-27,1,control,continuation,False,False,0.086,0.208
2021-08-27,1,control,continuation,False,False,0.022,0.108
2021-08-27,1,control,unresolved,False,False,0.029,0.036
2021-08-27,-1,control,unresolved,False,True,0.036,0.0
2021-08-30,1,control,continuation,False,True,0.044,0.22
2021-08-30,-1,control,unresolved,False,True,0.037,0.081
2021-08-31,1,control,continuation,False,False,0.118,0.126
2021-08-31,-1,control,continuation,False,False,0.067,0.101
2021-08-31,-1,control,reversal,False,False,0.202,0.05
