config,period,n,PF,$/tr,risk_pt,R/tr,maxDD_$,bas_n,bas_PF,bas_$,rev_n,rev_PF,rev_$,scr_n,scr_$
MKT base,PRE 2010-06..2021-06-17,1977,0.86,-19.8,6.6,-0.104,-45375.0,1208,0.93,-10.0,461,0.87,-20.0,308,-57.9
MKT base,TICK 2021-06-18..2026-07,1193,0.94,-16.3,13.2,-0.053,-33888.0,760,0.95,-16.3,250,1.13,39.9,183,-92.9
MKT base,FULL 2010-06..2026-07,3170,0.91,-18.5,9.1,-0.085,-70088.0,1968,0.94,-12.4,711,1.01,1.1,491,-71.0
MKT combo,PRE 2010-06..2021-06-17,1858,0.9,-15.2,6.5,-0.1,-37162.0,1345,0.92,-11.8,513,0.85,-24.1,0,
MKT combo,TICK 2021-06-18..2026-07,1107,0.93,-22.9,13.1,-0.061,-35862.0,836,0.87,-40.7,271,1.1,31.8,0,
MKT combo,FULL 2010-06..2026-07,2965,0.92,-18.1,9.0,-0.086,-57000.0,2181,0.89,-22.9,784,0.98,-4.8,0,
LIM base,PRE 2010-06..2021-06-17,1912,0.9,-13.6,6.4,-0.084,-33338.0,1192,0.98,-3.2,422,0.89,-17.7,298,-49.3
LIM base,TICK 2021-06-18..2026-07,1173,0.95,-14.0,13.0,-0.051,-32500.0,754,0.95,-16.4,243,1.17,51.3,176,-94.2
LIM base,FULL 2010-06..2026-07,3085,0.93,-13.7,8.9,-0.071,-54300.0,1946,0.96,-8.3,665,1.04,7.5,474,-66.0
LIM combo,PRE 2010-06..2021-06-17,1801,0.94,-8.5,6.3,-0.074,-24862.0,1335,0.96,-5.3,466,0.89,-17.7,0,
LIM combo,TICK 2021-06-18..2026-07,1087,0.93,-21.6,12.9,-0.059,-35362.0,825,0.86,-42.9,262,1.15,45.5,0,
LIM combo,FULL 2010-06..2026-07,2888,0.94,-13.4,8.8,-0.068,-42362.0,2160,0.91,-19.7,728,1.02,5.0,0,
SE base,PRE 2010-06..2021-06-17,1328,0.97,-4.9,8.0,-0.042,-16550.0,819,1.11,16.2,270,0.95,-9.6,239,-72.1
SE base,TICK 2021-06-18..2026-07,843,1.0,0.6,15.9,-0.006,-25100.0,536,1.08,27.8,156,1.14,46.4,151,-143.5
SE base,FULL 2010-06..2026-07,2171,0.99,-2.8,11.1,-0.028,-29338.0,1355,1.09,20.8,426,1.05,10.9,390,-99.7
SE combo,PRE 2010-06..2021-06-17,1240,0.97,-4.2,7.9,-0.037,-16100.0,931,1.03,4.6,309,0.83,-30.7,0,
SE combo,TICK 2021-06-18..2026-07,779,0.97,-11.7,15.7,-0.013,-29450.0,611,0.94,-21.1,168,1.06,22.2,0,
SE combo,FULL 2010-06..2026-07,2019,0.97,-7.1,10.9,-0.028,-29450.0,1542,0.98,-5.6,477,0.95,-12.1,0,
