i,short,tier,ratio,pnl,res,year
16,True,0,0.7843747730907884,3.0,target,2021
40,True,0,0.8221592981825475,-1.25,stop,2021
26,False,0,0.6619353497784165,4.5,target,2021
32,False,0,0.8257707774159374,-1.5,stop,2021
3,True,0,0.7169631649569319,-1.0,stop,2021
48,True,0,0.7414344895902584,-2.25,stop,2021
77,True,0,0.7436243361259888,-1.25,stop,2021
12,True,0,0.6538485176001866,-0.75,stop,2021
30,True,0,0.7643231603859277,-1.25,stop,2021
2,True,0,0.6731233792875123,2.0,target,2021
1,False,1,0.959765772572724,-4.5,stop,2021
55,False,1,1.0601829349929393,-1.75,stop,2021
1,True,0,0.8292038912050824,-2.75,stop,2021
6,True,0,0.8015300737670076,4.0,target,2021
22,True,0,0.638140613526258,-0.75,stop,2021
31,True,0,0.7579936046539997,6.0,target,2021
27,True,1,0.9090277089421108,-2.0,stop,2021
72,True,0,0.7800990909864374,-1.5,stop,2021
88,True,0,0.6723478245666543,6.0,target,2021
31,False,1,0.9350469594458303,-3.25,stop,2021
42,False,0,0.7745011239819747,-5.25,stop,2021
88,True,0,0.6404925425142077,2.5,target,2021
10,False,0,0.6322186176077124,-1.0,stop,2021
24,False,0,0.7500302183793205,2.5,target,2021
43,True,0,0.6620262246035017,-0.5,stop,2021
49,True,0,0.6145492156524738,1.0,target,2021
53,True,0,0.7407634101989893,-1.75,stop,2021
16,True,0,0.8160212081928303,-1.25,stop,2021
62,True,0,0.6769196880313345,2.0,target,2021
60,False,0,0.6489657889285056,-1.25,stop,2021
123,False,0,0.8156709340919868,5.5,target,2021
90,False,0,0.7338378889368778,-1.25,stop,2021
40,True,0,0.7421817461986103,-1.0,stop,2021
19,True,0,0.7781269737877796,-1.0,stop,2021
15,False,1,1.472579321882008,-2.0,stop,2021
62,False,0,0.7293944623323266,2.0,target,2021
64,False,0,0.6265338396626916,-0.5,stop,2021
16,True,0,0.7720565753742283,2.0,target,2021
18,True,0,0.6840319972948127,2.5,target,2021
21,True,0,0.6763190746560804,-1.75,stop,2021
14,True,0,0.8434976467674016,-2.75,stop,2021
29,True,0,0.756792088177408,-1.75,stop,2021
13,False,0,0.8330237122143149,-2.25,stop,2021
12,False,0,0.7993270781783574,-1.25,stop,2021
19,False,0,0.7467863596873056,-1.25,stop,2021
21,False,0,0.6980505475533071,-1.25,stop,2021
1,True,0,0.6514403058520705,-3.0,stop,2021
20,False,0,0.8394477722746171,8.0,target,2021
28,False,0,0.7476430188319233,-1.25,stop,2021
67,False,0,0.7155194561810075,-0.75,stop,2021
94,False,0,0.6515733789477018,-0.75,stop,2021
80,False,0,0.7545372738467367,7.0,target,2021
27,False,0,0.6496426745522559,-2.5,stop,2021
37,False,0,0.7225504214196108,-4.0,stop,2021
58,False,0,0.5074335599669793,-2.75,stop,2021
88,False,1,0.8886743069143396,-2.25,stop,2021
28,True,0,0.8480357505586026,11.0,target,2021
87,True,0,0.7711707960302588,-2.25,stop,2021
118,True,0,0.7770608513219969,-3.75,stop,2021
155,True,1,0.982168208494302,2.5,target,2021
25,False,0,0.8484184085090364,8.5,target,2021
64,False,0,0.8046341898481977,-0.5,stop,2021
72,False,1,0.8739079477554381,10.5,target,2021
84,False,0,0.7788403942743894,-3.25,stop,2021
88,False,0,0.8197949815671072,-4.75,stop,2021
110,False,0,0.6932939293190493,-4.25,stop,2021
127,False,0,0.6076502591587375,-3.25,stop,2021
144,False,0,0.6674239500045952,6.0,target,2021
48,True,0,0.7181980630526595,-4.25,stop,2021
92,False,0,0.7236757109667488,8.5,target,2021
104,False,0,0.7675317083172303,-5.25,stop,2021
119,False,0,0.8314011896762507,8.0,target,2021
16,False,1,1.0023728108543428,4.0,target,2021
64,False,0,0.6033212788412196,-1.0,stop,2021
67,False,0,0.7227147940131453,-2.0,stop,2021
76,False,0,0.665676694554849,-2.5,stop,2021
104,False,1,0.9574268670460171,-2.25,stop,2021
3,False,1,0.8724337439343038,2.5,target,2021
6,False,0,0.7171025512173451,8.0,target,2021
21,True,1,0.8851571904068097,-2.0,stop,2021
10,False,0,0.7672180281961761,-0.75,stop,2021
22,False,0,0.682958807677501,-4.25,stop,2021
25,False,0,0.7920966609453588,-6.5,stop,2021
40,False,0,0.7581858046113887,-5.75,stop,2021
72,False,0,0.6665989181582029,-3.25,stop,2021
85,False,0,0.7811957500786965,-1.5,stop,2021
28,False,1,1.0906416487665231,-1.5,stop,2021
59,False,0,0.7904556374244031,5.0,target,2021
11,True,0,0.8127684356513863,-0.75,stop,2021
31,True,0,0.788142967893411,5.5,target,2021
47,False,1,0.8751022910804717,-5.0,stop,2021
33,True,0,0.6937304713177123,2.0,target,2021
4,False,0,0.8449321563167693,-2.25,stop,2021
40,True,0,0.7050559751262181,4.5,target,2021
79,True,0,0.7924995431545648,-1.0,stop,2021
13,True,0,0.5967136424420215,4.5,target,2021
47,True,0,0.7659613251296057,-2.75,stop,2021
4,True,0,0.7521798669625515,-1.5,stop,2021
57,True,0,0.8011210315547242,-0.5,stop,2021
3,True,0,0.664248823304923,-1.5,stop,2021
11,False,0,0.7561521308400453,-1.5,stop,2021
53,False,1,1.112060007205509,-2.25,stop,2021
25,True,0,0.5776983837370807,-1.75,stop,2021
21,True,0,0.7662616931506235,-2.25,stop,2021
