feature,value,tr_n,tr_R,te_n,te_R
fade_run20,False,760,0.048,487,0.101
fade_run20,True,957,-0.011,544,0.08
new20,False,1013,0.019,643,0.118
new20,True,704,0.009,388,0.043
new60,False,1181,0.012,722,0.116
new60,True,536,0.022,309,0.03
newsess,False,1281,0.022,771,0.112
newsess,True,436,-0.005,260,0.025
beyond_pd,False,733,0.022,403,0.176
beyond_pd,True,984,0.01,628,0.035
hour_ct,8,208,-0.091,112,-0.033
hour_ct,9,308,0.07,224,0.11
hour_ct,10,247,0.099,158,-0.039
hour_ct,11,186,-0.018,158,-0.006
hour_ct,12,194,0.027,141,0.237
hour_ct,13,251,-0.074,95,0.053
hour_ct,14,269,0.002,115,0.372
hour_ct,15,54,0.276,28,-0.073
dow,0,297,0.082,158,0.129
dow,1,257,-0.006,185,0.068
dow,2,490,-0.029,194,0.206
dow,3,348,0.008,263,0.06
dow,4,325,0.044,231,0.018
side,long,928,-0.009,532,0.04
side,short,789,0.043,499,0.144
prev_state,-1,35,-0.095,11,0.132
prev_state,0,1108,0.012,708,0.134
prev_state,1,95,0.025,51,0.128
prev_state,2,133,0.092,66,0.098
prev_state,3,51,-0.155,27,0.1
prev_state,4,16,0.376,13,-0.475
prev_state,5,6,0.12,6,-0.457
prev_state,6,273,0.008,149,-0.067
prev_res_day,eb_scr,146,0.051,73,-0.102
prev_res_day,none,365,-0.003,181,-0.037
prev_res_day,rev,483,0.043,317,0.182
prev_res_day,stop,464,-0.02,283,0.081
prev_res_day,target,259,0.032,177,0.149
