feature,tr_R1,tr_R2,tr_R3,tr_R4,tr_n1,tr_n4,te_R1,te_R2,te_R3,te_R4,te_n1,te_n4,spread_tr,spread_te,consistent
tpct1,-0.012,0.044,0.015,,436,0,0.129,0.077,0.073,,292,0,,,False
tpct2,-0.053,0.047,-0.026,0.096,445,429,0.075,0.139,0.045,0.099,290,238,0.149,0.024,False
tempo_ratio,0.016,0.042,-0.027,0.029,430,429,0.134,0.03,0.043,0.138,328,227,0.013,0.004,False
amp1,-0.042,0.0,0.034,0.069,430,427,0.215,0.092,-0.029,0.068,243,303,0.111,-0.147,False
amp2,0.104,0.009,-0.005,-0.048,430,429,0.163,0.073,0.071,0.067,218,257,-0.152,-0.096,True
amp_sum,0.014,0.015,-0.004,0.035,430,429,0.142,0.146,0.03,0.05,245,274,0.021,-0.092,False
dur1,0.005,0.059,0.023,-0.027,430,429,0.164,-0.015,0.112,0.086,417,68,-0.032,-0.078,False
dur2,-0.003,0.056,0.013,-0.006,430,429,0.148,0.061,0.01,0.138,419,58,-0.003,-0.01,False
dur_ratio,0.027,-0.02,0.035,0.018,430,429,0.138,0.043,0.03,0.134,227,328,-0.009,-0.004,False
vol_ratio,0.083,0.003,-0.015,-0.011,430,429,0.039,0.169,0.149,-0.006,235,260,-0.094,-0.045,False
ibs1,0.009,0.004,-0.024,0.07,436,429,-0.061,0.162,0.071,0.173,245,292,0.061,0.234,True
ibs2,0.052,0.054,-0.028,-0.019,433,426,0.04,0.199,0.087,0.045,285,260,-0.071,0.005,False
range1,-0.084,0.049,0.017,0.098,483,402,0.15,0.037,0.119,0.079,139,477,0.182,-0.071,False
range2,0.014,-0.001,0.044,0.002,486,400,0.024,0.104,0.068,0.12,140,425,-0.012,0.096,False
box_pts,-0.025,-0.012,0.066,0.039,479,395,0.077,0.154,0.043,0.096,126,451,0.064,0.019,False
box_abr,0.006,0.05,-0.111,0.116,430,429,0.131,0.09,0.093,0.047,253,256,0.11,-0.084,False
overlap,0.063,0.042,0.008,-0.053,430,429,0.039,0.105,0.015,0.201,239,237,-0.116,0.162,False
sb_poke_abr,-0.055,0.06,-0.046,0.102,430,428,0.037,0.061,0.135,0.13,262,276,0.157,0.093,True
rt_depth_abr,0.062,0.092,-0.006,-0.088,430,429,0.058,0.059,0.13,0.117,253,254,-0.15,0.059,False
net6_abr,0.076,-0.008,-0.043,0.067,407,407,0.006,0.076,0.081,0.16,201,238,-0.009,0.154,False
net20_abr,0.005,0.032,0.045,0.013,396,394,0.038,0.007,0.162,0.165,244,238,0.008,0.127,False
eff10,0.045,-0.039,0.007,0.051,405,402,0.074,0.083,0.024,0.176,259,248,0.006,0.102,False
t10,0.047,0.005,0.057,-0.045,403,401,0.106,0.092,0.042,0.114,261,280,-0.092,0.008,False
ncx20,0.02,0.069,-0.04,0.017,556,410,0.119,0.029,0.13,0.049,337,227,-0.003,-0.07,False
sess_net_abr,-0.004,0.049,-0.075,0.09,430,429,-0.063,0.14,0.081,0.209,312,299,0.094,0.272,True
pos_in_day_range,0.015,0.016,-0.04,0.069,430,429,-0.021,0.022,0.192,0.187,309,302,0.054,0.208,True
dayrange_abr,-0.06,0.035,0.053,0.033,430,429,0.04,0.153,0.07,0.092,207,339,0.093,0.052,True
gap_abr,0.022,-0.007,-0.029,0.073,431,429,0.166,0.222,0.005,0.03,264,324,0.051,-0.136,False
room_abr,0.014,-0.006,0.06,-0.039,305,305,0.058,0.271,0.071,0.032,183,178,-0.053,-0.026,False
dist_lvl_abr,-0.016,0.068,0.015,-0.007,430,429,0.165,0.227,-0.002,-0.032,247,214,0.009,-0.197,False
session_min,-0.021,0.102,-0.025,0.005,430,429,0.034,0.018,0.152,0.216,268,181,0.026,0.182,False
